file_path,model,logic,gui,preferences,best_module,best_likelihood
src/jmh/java/org/jabref/benchmarks/Benchmarks.java,0.00,10.00,0.00,0.00,logic,10.00
src/main/java/org/jabref/preferences/JabRefPreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/AppearancePreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/ExternalApplicationsPreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/SidePanePreferences.java,0.00,0.00,30.00,70.00,preferences,70.00
src/main/java/org/jabref/preferences/CleanupPreferences.java,0.00,5.00,10.00,100.00,preferences,100.00
src/main/java/org/jabref/preferences/GuiPreferences.java,0.00,0.00,20.00,100.00,preferences,100.00
src/main/java/org/jabref/preferences/TelemetryPreferences.java,0.00,5.00,10.00,85.00,preferences,85.00
src/main/java/org/jabref/preferences/FilePreferences.java,0.00,5.00,15.00,80.00,preferences,80.00
src/main/java/org/jabref/preferences/PreviewPreferences.java,0.00,0.00,5.00,95.00,preferences,95.00
src/main/java/org/jabref/preferences/PreferencesService.java,0.00,10.00,20.00,100.00,preferences,100.00
src/main/java/org/jabref/preferences/ImportExportPreferences.java,0.00,10.00,0.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/BibEntryPreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/MrDlibPreferences.java,0.00,5.00,15.00,95.00,preferences,95.00
src/main/java/org/jabref/preferences/SearchPreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/GeneralPreferences.java,0.00,0.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/preferences/InternalPreferences.java,0.00,5.00,10.00,95.00,preferences,95.00
src/main/java/org/jabref/preferences/PushToApplicationPreferences.java,0.00,0.00,5.00,95.00,preferences,95.00
src/main/java/org/jabref/preferences/PreferencesFilter.java,0.00,0.00,0.00,100.00,preferences,100.00
src/main/java/org/jabref/logic/crawler/StudyRepository.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/crawler/StudyDatabaseToFetcherConverter.java,0.00,98.00,0.00,2.00,logic,98.00
src/main/java/org/jabref/logic/crawler/Crawler.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/crawler/StudyYamlParser.java,3.00,95.00,1.00,1.00,logic,95.00
src/main/java/org/jabref/logic/crawler/StudyFetcher.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/database/DuplicateCheck.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/database/DatabaseMerger.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/preferences/OwnerPreferences.java,0.00,40.00,5.00,95.00,preferences,95.00
src/main/java/org/jabref/logic/preferences/DOIPreferences.java,0.00,40.00,10.00,90.00,preferences,90.00
src/main/java/org/jabref/logic/preferences/TimestampPreferences.java,0.00,20.00,0.00,80.00,preferences,80.00
src/main/java/org/jabref/logic/preferences/FetcherApiKey.java,0.00,50.00,0.00,100.00,preferences,100.00
src/main/java/org/jabref/logic/help/HelpFile.java,0.00,90.00,5.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/YearAndYearRangeByFilteringQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/ScholarQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/AbstractQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/GVKQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/JstorQueryTransformer.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/SpringerQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/YearRangeByFilteringQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/CollectionOfComputerScienceBibliographiesQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/MedlineQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/ZbMathQueryTransformer.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/DefaultQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/DefaultLuceneQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/ResearchGateQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/ArXivQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/BiodiversityLibraryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/IEEEQueryTransformer.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/transformers/DBLPQueryTransformer.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/isbntobibtex/DoiToBibtexConverterComIsbnFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/isbntobibtex/OpenLibraryIsbnFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/isbntobibtex/IsbnFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/isbntobibtex/EbookDeIsbnFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/DBLPFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/TrustLevel.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/RfcFetcher.java,10.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/CollectionOfComputerScienceBibliographiesFetcher.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/INSPIREFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/SemanticScholar.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/MrDLibFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/DOABFetcher.java,0.00,90.00,5.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/BiodiversityLibrary.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/CompositeSearchBasedFetcher.java,0.00,95.00,5.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/CustomizableKeyFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/SpringerFetcher.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/DOAJFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/CrossRef.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/ApsFetcher.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/SpringerLink.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/AbstractIsbnFetcher.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/GvkFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/DoiFetcher.java,1.00,98.00,0.00,1.00,logic,98.00
src/main/java/org/jabref/logic/importer/fetcher/Medra.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/MedlineFetcher.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/GrobidPreferences.java,0.00,10.00,0.00,90.00,preferences,90.00
src/main/java/org/jabref/logic/importer/fetcher/LibraryOfCongress.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/DoiResolution.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/IEEE.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/BibsonomyScraper.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/GrobidCitationFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/ACS.java,3.00,95.00,1.00,1.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/TitleFetcher.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/JstorFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/CollectionOfComputerScienceBibliographiesParser.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fetcher/ZbMATH.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/DiVA.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/ACMPortalFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/IacrEprintFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/CiteSeer.java,0.00,0.00,0.00,0.00,model,0.00
src/main/java/org/jabref/logic/importer/fetcher/ResearchGate.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/GoogleScholar.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/OpenAccessDoi.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/ComplexSearchQuery.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/ScienceDirect.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/BvbFetcher.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/MathSciNet.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fetcher/AstrophysicsDataSystem.java,0.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fetcher/ArXivFetcher.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/medline/Investigator.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/medline/OtherId.java,0.00,99.00,0.00,1.00,logic,99.00
src/main/java/org/jabref/logic/importer/fileformat/medline/PersonalNameSubject.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/medline/MeshHeading.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fileformat/medline/ArticleId.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/mods/Identifier.java,0.00,90.00,0.00,10.00,logic,90.00
src/main/java/org/jabref/logic/importer/fileformat/mods/Name.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/mods/RecordInfo.java,10.00,85.00,0.00,5.00,logic,85.00
src/main/java/org/jabref/logic/importer/fileformat/mods/package-info.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/EndnoteXmlImporter.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/CustomImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/BibtexImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/IsiImporter.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/MedlineImporter.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/OvidImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/SilverPlatterImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/CffImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/CoinsParser.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/fileformat/BibtexParser.java,0.00,0.00,0.00,0.00,model,0.00
src/main/java/org/jabref/logic/importer/fileformat/InspecImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/PdfXmpImporter.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/PdfMergeMetadataImporter.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/RepecNepImporter.java,0.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/MsBibImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/CopacImporter.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/ModsImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/ACMPortalParser.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/BiblioscapeImporter.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/PdfVerbatimBibTextImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/PicaXmlParser.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/MedlinePlainImporter.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/PdfEmbeddedBibFileImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/EndnoteImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/PdfGrobidImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/RisImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/MarcXmlParser.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/CitaviXmlImporter.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/fileformat/MrDLibImporter.java,5.00,95.00,0.00,0.00,logic,95.00
src/main/java/org/jabref/logic/importer/fileformat/PdfContentImporter.java,0.00,95.00,0.00,5.00,logic,95.00
src/main/java/org/jabref/logic/importer/util/MediaTypes.java,5.00,90.00,3.00,2.00,logic,90.00
src/main/java/org/jabref/logic/importer/util/ShortDOIServiceException.java,3.00,95.00,1.00,1.00,logic,95.00
src/main/java/org/jabref/logic/importer/util/IdentifierParser.java,0.00,100.00,0.00,0.00,logic,100.00
src/main/java/org/jabref/logic/importer/util/MetaDataParser.java,5.00,90.00,0.00,5.00,logic,90.00
src/main/java/org/jabref/logic/importer/util/GroupsParser.java,0.00,99.00,0.00,0.00,logic,99.00
src/main/java/org/jabref/logic/importer/util/JsonReader.java,0.00,95.00,0.00,5.00,logic,95.00
