file_path,Facade,UserManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation/mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,TagWatermarking,100.00
Implementation/mediastore.ejb.packaging/src/edu/kit/ipd/sdq/mediastore/ejb/packaging/PackagingImpl.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation/mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java,0.00,0.00,0.00,0.00,15.00,0.00,0.00,40.00,45.00,FileStorage,45.00
Implementation/mediastore.ejb.reencoder/src/edu/kit/ipd/sdq/mediastore/ejb/reencoder/ReEncoderImpl.java,10.00,0.00,0.00,10.00,5.00,95.00,0.00,10.00,15.00,ReEncoder,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java,0.00,0.00,5.00,0.00,0.00,5.00,20.00,95.00,5.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java,5.00,0.00,0.00,0.00,10.00,0.00,15.00,95.00,30.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java,0.00,0.00,10.00,0.00,0.00,0.00,30.00,95.00,0.00,MediaAccess,95.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheSingleton.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,70.00,FileStorage,70.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/IdAndBitrate.java,10.00,5.00,5.00,0.00,5.00,50.00,0.00,60.00,40.00,MediaAccess,60.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheImpl.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,70.00,FileStorage,70.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/filters/MainFilter.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,0.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/SessionBean.java,90.00,30.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/UploadBean.java,90.00,5.00,0.00,0.00,0.00,5.00,0.00,20.00,10.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/DownloadBean.java,90.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,10.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/WebBeanManager.java,90.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/RegisterBean.java,60.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,60.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/LoginBean.java,90.00,80.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/SessionUtil.java,80.00,30.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/MessageUtil.java,90.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java,5.00,5.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,Facade,5.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java,10.00,0.00,0.00,0.00,0.00,0.00,5.00,35.00,50.00,FileStorage,50.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java,5.00,10.00,5.00,0.00,0.00,5.00,15.00,30.00,30.00,MediaAccess,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java,5.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,20.00,FileStorage,20.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java,10.00,5.00,5.00,0.00,0.00,0.00,15.00,40.00,40.00,MediaAccess,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/GlobalConstantsContainer.java,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,30.00,FileStorage,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java,10.00,5.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,MediaAccess,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedDownloadException.java,80.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,Facade,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java,20.00,15.00,15.00,5.00,5.00,5.00,10.00,20.00,20.00,Facade,20.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java,5.00,15.00,50.00,0.00,0.00,0.00,60.00,40.00,5.00,Database,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UnknownServerException.java,30.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,20.00,MediaAccess,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedUploadException.java,30.00,0.00,0.00,0.00,0.00,0.00,10.00,90.00,90.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UserAlreadyExistsException.java,0.00,60.00,80.00,0.00,0.00,0.00,90.00,5.00,0.00,Database,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/BadLoginDataException.java,0.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/ConversionException.java,0.00,0.00,0.00,10.00,0.00,80.00,0.00,10.00,0.00,ReEncoder,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/PropertiesException.java,0.00,10.00,10.00,0.00,0.00,0.00,50.00,30.00,30.00,Database,50.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/LameUtil.java,0.00,0.00,0.00,30.00,0.00,90.00,0.00,20.00,20.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/FSUtil.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,80.00,FileStorage,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/PropertiesUtil.java,0.00,5.00,5.00,0.00,5.00,5.00,30.00,25.00,70.00,FileStorage,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/JNDIUtil.java,0.00,0.00,0.00,0.00,0.00,0.00,20.00,60.00,40.00,MediaAccess,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenanceRemote.java,0.00,10.00,10.00,5.00,5.00,30.00,30.00,60.00,60.00,MediaAccess,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessRemote.java,5.00,0.00,0.00,0.00,0.00,0.00,10.00,85.00,30.00,MediaAccess,85.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingLocal.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheRemote.java,80.00,5.00,5.00,20.00,10.00,5.00,0.00,30.00,40.00,Facade,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,0.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessRemote.java,0.00,0.00,0.00,20.00,30.00,10.00,0.00,80.00,90.00,FileStorage,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IBusinessInterface.java,0.00,10.00,20.00,0.00,0.00,0.00,5.00,40.00,25.00,MediaAccess,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccess.java,10.00,0.00,0.00,0.00,0.00,0.00,20.00,80.00,50.00,MediaAccess,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessLocal.java,0.00,0.00,0.00,5.00,5.00,0.00,0.00,90.00,25.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackaging.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagement.java,10.00,95.00,30.00,0.00,0.00,0.00,5.00,0.00,0.00,UserManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownload.java,70.00,5.00,5.00,10.00,30.00,10.00,0.00,20.00,25.00,Facade,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementLocal.java,10.00,0.00,0.00,0.00,5.00,5.00,5.00,70.00,5.00,MediaAccess,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoder.java,10.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,20.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccess.java,10.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,30.00,MediaAccess,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoderRemote.java,0.00,0.00,0.00,0.00,10.00,90.00,0.00,20.00,30.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserDBAdapter.java,0.00,20.00,100.00,0.00,0.00,0.00,10.00,0.00,0.00,UserDBAdapter,100.00
