Project,Module,File,ground truth,BM25,BM25 Score,LLM-S,LLM-S Score,IP-RAG-A
teammates,UI,src/main/java/teammates/storage/api/DeadlineExtensionsDb.java,Storage,Storage,94.01,Storage,90,Storage
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorCourseEnrollPageAxeTest.java,E2E,E2E,118.41,E2E,100,E2E
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/FeedbackSubmitPage.java,E2E,E2E,91.87,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/UnauthorizedAccessException.java,None,None,1.09,Common,70,Common
teammates,UI,src/main/java/teammates/ui/webapi/GetRegkeyValidityAction.java,None,Logic,72.93,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/ResetAccountRequestAction.java,None,Logic,79.61,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/RemindFeedbackSessionSubmissionAction.java,None,Logic,64.26,Logic,75,None
teammates,UI,src/main/java/teammates/ui/webapi/GetCourseSectionNamesAction.java,None,Logic,74.61,None,10,None
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/CourseAttributes.java,Common,Common,78.47,Common,90,Common
teammates,UI,src/main/java/teammates/storage/search/package-info.java,Storage,Storage,114.25,Storage,100,Storage
teammates,UI,src/client/java/teammates/client/scripts/package-info.java,Client,Client,130.33,Client,100,Client
teammates,UI,src/main/java/teammates/logic/core/AccountsLogic.java,Logic,Logic,60.71,Logic,95,Logic
teammates,UI,src/client/java/teammates/client/scripts/statistics/FileStore.java,Client,Client,118.89,Client,100,Client
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForFeedbackSessionMismatchedTimezone.java,Client,Client,123.09,Client,80,Client
teammates,UI,src/main/java/teammates/storage/entity/CourseStudent.java,Storage,Storage,101.66,Storage,100,Storage
teammates,UI,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java,None,None,1.05,Common,80,None
teammates,UI,src/main/java/teammates/storage/search/StudentSearchManager.java,Storage,Storage,101.66,Storage,90,Storage
teammates,UI,src/main/java/teammates/common/datatransfer/FeedbackResultFetchType.java,Common,Common,86.41,Common,95,Common
teammates,UI,src/e2e/java/teammates/e2e/cases/BaseFeedbackQuestionE2ETest.java,E2E,E2E,98.91,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/CalculateUsageStatisticsAction.java,None,Logic,82.08,Client,85,Client
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/ErrorReportingModal.java,E2E,E2E,115.55,E2E,100,E2E
teammates,UI,src/main/java/teammates/ui/webapi/DeleteFeedbackSessionAction.java,None,Logic,74.34,None,20,None
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackContributionQuestionDetails.java,Common,Common,74.07,Common,100,Common
teammates,UI,src/main/java/teammates/ui/output/FeedbackResponseData.java,None,None,1,None,30,None
teammates,UI,src/main/java/teammates/ui/webapi/CreateAccountRequestAction.java,None,Logic,70.85,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/DeleteAccountAction.java,None,Logic,68.54,None,10,None
teammates,UI,src/main/java/teammates/ui/output/InstructorPermissionRole.java,None,None,1,None,20,None
teammates,UI,src/main/java/teammates/storage/api/DatastoreEmulatorRunner.java,Storage,Storage,119.78,Storage,85,None
teammates,UI,src/main/java/teammates/logic/external/RecaptchaService.java,Logic,Logic,74.26,Logic,100,Logic
teammates,UI,src/main/java/teammates/ui/output/FeedbackQuestionData.java,None,None,4.96,None,20,None
teammates,UI,src/main/java/teammates/ui/webapi/GetStudentAction.java,None,Logic,76.48,None,10,None
teammates,UI,src/main/java/teammates/ui/webapi/DeleteDataBundleAction.java,None,Logic,69.95,None,20,None
