Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign
teammates,UI,src/main/java/teammates/storage/api/DeadlineExtensionsDb.java,DM,DM,94.01,DM,90,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorCourseEnrollPageAxeTest.java,DM,DM,118.41,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/FeedbackSubmitPage.java,DM,DM,91.87,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/UnauthorizedAccessException.java,UM,UM,1.09,DM,70,DM
teammates,UI,src/main/java/teammates/ui/webapi/GetRegkeyValidityAction.java,UM,DM,72.93,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/ResetAccountRequestAction.java,UM,DM,79.61,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/RemindFeedbackSessionSubmissionAction.java,UM,DM,64.26,DM,75,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetCourseSectionNamesAction.java,UM,DM,74.61,UM,10,UM
teammates,UI,src/main/java/teammates/common/datatransfer/attributes/CourseAttributes.java,DM,DM,78.47,DM,90,DM
teammates,UI,src/main/java/teammates/storage/search/package-info.java,DM,DM,114.25,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/package-info.java,DM,DM,130.33,DM,100,DM
teammates,UI,src/main/java/teammates/logic/core/AccountsLogic.java,DM,DM,60.71,DM,95,DM
teammates,UI,src/client/java/teammates/client/scripts/statistics/FileStore.java,DM,DM,118.89,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForFeedbackSessionMismatchedTimezone.java,DM,DM,123.09,DM,80,DM
teammates,UI,src/main/java/teammates/storage/entity/CourseStudent.java,DM,DM,101.66,DM,100,DM
teammates,UI,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java,UM,UM,1.05,DM,80,UM
teammates,UI,src/main/java/teammates/storage/search/StudentSearchManager.java,DM,DM,101.66,DM,90,DM
teammates,UI,src/main/java/teammates/common/datatransfer/FeedbackResultFetchType.java,DM,DM,86.41,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/BaseFeedbackQuestionE2ETest.java,DM,DM,98.91,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/CalculateUsageStatisticsAction.java,UM,DM,82.08,DM,85,DM
teammates,UI,src/e2e/java/teammates/e2e/pageobjects/ErrorReportingModal.java,DM,DM,115.55,DM,100,DM
teammates,UI,src/main/java/teammates/ui/webapi/DeleteFeedbackSessionAction.java,UM,DM,74.34,UM,20,UM
teammates,UI,src/main/java/teammates/common/datatransfer/questions/FeedbackContributionQuestionDetails.java,DM,DM,74.07,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackResponseData.java,UM,UM,1,UM,30,UM
teammates,UI,src/main/java/teammates/ui/webapi/CreateAccountRequestAction.java,UM,DM,70.85,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/DeleteAccountAction.java,UM,DM,68.54,UM,10,UM
teammates,UI,src/main/java/teammates/ui/output/InstructorPermissionRole.java,UM,UM,1,UM,20,UM
teammates,UI,src/main/java/teammates/storage/api/DatastoreEmulatorRunner.java,DM,DM,119.78,DM,85,UM
teammates,UI,src/main/java/teammates/logic/external/RecaptchaService.java,DM,DM,74.26,DM,100,DM
teammates,UI,src/main/java/teammates/ui/output/FeedbackQuestionData.java,UM,UM,4.96,UM,20,UM
teammates,UI,src/main/java/teammates/ui/webapi/GetStudentAction.java,UM,DM,76.48,UM,10,UM
teammates,UI,src/main/java/teammates/ui/webapi/DeleteDataBundleAction.java,UM,DM,69.95,UM,20,UM
teammates,UI,src/main/java/teammates/common/util/JsonUtils.java,DM,DM,73.69,DM,95,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/InstructorSearchPageAxeTest.java,DM,DM,118.06,DM,100,DM
teammates,UI,src/client/java/teammates/client/scripts/DataMigrationForGoogleIdToGmail.java,DM,DM,131.19,DM,90,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/axe/AdminNotificationsPageAxeTest.java,DM,DM,118.81,DM,100,DM
teammates,UI,src/e2e/java/teammates/e2e/cases/InstructorFeedbackEditPageE2ETest.java,DM,DM,102.25,DM,100,DM
