file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,92.5704345703125,11.311775207519531,10.728291511535645,6.519960880279541,7.197587966918945,14.764410018920898,7.197587966918945,4.115940093994141,5.2454514503479,3.108618974685669,7.197587966918945,5.251025199890137,7.669062614440918,13.240713119506836,IMBS,92.5704345703125
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,10.578923225402832,11.576220512390137,51.82400131225586,6.700292110443115,9.787522315979004,28.210968017578125,6.738406658172607,228.1726837158203,5.117809295654297,13.926732063293457,6.738406658172607,131.47921752929688,7.317663192749023,13.895574569702148,T2F,228.1726837158203
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.139065146446228,7.023242950439453,28.567296981811523,2.295513391494751,1.139065146446228,7.572047233581543,1.139065146446228,18.212892532348633,3.279914140701294,1.139065146446228,1.139065146446228,1.3453584909439087,3.5721073150634766,3.7087717056274414,LBP_MRF,28.567296981811523
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,19.30500602722168,10.931364059448242,26.96319580078125,6.366671085357666,7.029565334320068,13.445083618164062,7.029565334320068,4.006468296051025,5.175836086273193,15.681614875793457,7.029565334320068,5.131974697113037,7.514902114868164,14.896906852722168,LBP_MRF,26.96319580078125
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,18.642412185668945,0.3501557409763336,154.4669647216797,46.74565505981445,6.069055557250977,25.854238510131836,3.605217456817627,26.077978134155273,3.2845633029937744,1.1413792371749878,3.605217456817627,1.321036458015442,3.621467351913452,11.293864250183105,LBP_MRF,154.4669647216797
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,18.955976486206055,6.113414287567139,12.123980522155762,6.672602653503418,5.506711006164551,18.5186824798584,2.440918445587158,3.243475914001465,149.42889404296875,2.440918445587158,2.440918445587158,6.122364521026611,5.0069427490234375,14.789125442504883,TwoPoints,149.42889404296875
bgslibrary\gui\mfc\src\targetver.h,0.0,0.0,10.85132884979248,0.0,0.0,0.0,0.0,0.3014258146286011,1.0015594959259033,0.0,0.0,0.0,0.0,0.0,LBP_MRF,10.85132884979248
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.1292778253555298,0.0,0.0,2.2747154235839844,101.98491668701172,0.0,1.1292778253555298,0.0,3.260324478149414,1.1292778253555298,1.1292778253555298,1.1292778253555298,3.4039931297302246,3.4039931297302246,MultiLayer,101.98491668701172
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,6.815253734588623,14.086892127990723,49.8741455078125,104.70338439941406,1.0657105445861816,1.5977632999420166,1.4084609746932983,23.751970291137695,3.4751675128936768,17.943126678466797,1.4084609746932983,2.2207512855529785,3.4802284240722656,12.76086711883545,LBSP,104.70338439941406
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,2.4556000232696533,4.0,40.622623443603516,108.59989929199219,3.1309218406677246,4.183094024658203,5.409624099731445,2.1721625328063965,4.588230609893799,18.45784568786621,3.4556000232696533,3.303084373474121,5.581293106079102,11.889826774597168,LBSP,108.59989929199219
