Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,1.0,0.0
20,1,0.4,0.041,391.8,27.8
20,2,0.8,0.0983,782.6,61.0
20,3,0.8264,0.4031,1173.4,553.1
20,4,1.0,0.1886,1564.2,217.4
40,0,0.0,0.0,1.0,0.0
40,1,0.4723,0.25,391.8,417.2
40,2,0.7371,0.2891,782.6,331.4
40,3,0.901,0.4143,1173.4,662.7
40,4,0.9982,0.4295,1564.2,673.6
60,0,0.0,0.0,1.0,281.0
60,1,0.2553,0.125,391.8,309.2
60,2,0.537,0.2648,782.6,484.1
60,3,0.7009,0.3302,1173.4,631.4
60,4,0.9106,0.4292,1564.2,756.6
80,0,0.0,0.0,1.0,851.0
80,1,0.27,0.6638,391.8,1135.2
80,2,0.4577,0.756,782.6,1328.3
80,3,0.6491,0.7526,1173.4,1360.3
80,4,0.8435,0.7647,1564.2,1420.0
100,0,0.0,0.0,1.0,604.0
100,1,0.254,0.5807,391.8,1294.2
100,2,0.4149,0.7291,782.6,1467.8
100,3,0.6468,0.875,1173.4,1609.3
100,4,0.8143,0.9611,1564.2,1847.4
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,1.0,0.0
20,1,0.4,0.2141,391.8,37.6
20,2,0.7138,0.2932,782.6,339.4
20,3,0.8517,0.3388,1173.4,587.2
20,4,1.0,0.3379,1564.2,462.2
40,0,0.0,0.0,1.0,0.0
40,1,0.4,0.2453,391.8,68.0
40,2,0.6,0.2194,782.6,152.7
40,3,0.9,0.3588,1173.4,414.2
40,4,1.0,0.5805,1564.2,885.2
60,0,0.0,0.0,1.0,395.0
60,1,0.2939,0.4586,391.8,552.4
60,2,0.5159,0.463,782.6,654.3
60,3,0.7264,0.5025,1173.4,814.9
60,4,0.9101,0.6195,1564.2,1068.8
80,0,0.0,0.0,1.0,565.0
80,1,0.2548,0.6387,391.8,785.0
80,2,0.494,0.6684,782.6,996.1
80,3,0.6706,0.6859,1173.4,1202.2
80,4,0.8503,0.8013,1564.2,1475.2
100,0,0.0008,1.0,1.0,1280.0
100,1,0.2128,0.8323,391.8,1447.2
100,2,0.4182,0.8584,782.6,1592.0
100,3,0.6172,0.9023,1173.4,1720.7
100,4,0.8107,0.9518,1564.2,1839.6
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,1.0,0.0
20,1,0.7576,0.6145,391.8,330.0
20,2,0.9089,0.7764,782.6,747.4
20,3,0.8915,0.8854,1173.4,1224.0
20,4,0.8975,0.9439,1564.2,1664.8
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,1.0,0.0
20,1,0.8,0.618,0.7436,0.4414,391.8,194.6
20,2,0.8385,0.8274,0.7933,0.6576,782.6,822.3
20,3,0.985,0.8937,0.9667,0.8057,1173.4,1028.6
20,4,1.0,0.9177,0.9915,0.8953,1564.2,1396.8
40,0,0.0,0.0,0.0,0.0,1.0,0.0
40,1,0.8,0.7002,0.7585,0.6357,391.8,348.4
40,2,1.0,0.8914,0.9622,0.8186,782.6,699.3
40,3,1.0,0.9286,0.9798,0.897,1173.4,1086.3
40,4,1.0,0.9641,0.9893,0.953,1564.2,1507.4
60,0,0.0,0.0,0.0,0.0,1.0,918.0
60,1,0.3001,0.8724,0.3094,0.7989,391.8,1087.0
60,2,0.5425,0.9268,0.5566,0.905,782.6,1280.7
60,3,0.735,0.9494,0.7482,0.939,1173.4,1496.0
60,4,0.8849,0.9752,0.8919,0.9712,1564.2,1718.2
80,0,0.0007,1.0,0.0007,1.0,1.0,1474.0
80,1,0.2275,0.9263,0.2279,0.914,391.8,1581.0
80,2,0.4396,0.9429,0.4403,0.9347,782.6,1679.3
80,3,0.6382,0.9589,0.6391,0.9552,1173.4,1772.8
80,4,0.8246,0.9799,0.8254,0.9787,1564.2,1864.2
100,0,0.0005,1.0,0.0006,1.0,1.0,1800.0
100,1,0.2025,0.9584,0.2018,0.9613,391.8,1863.8
100,2,0.4034,0.9784,0.4029,0.9777,782.6,1894.1
100,3,0.6033,0.9848,0.6028,0.9782,1173.4,1908.0
100,4,0.8022,0.9927,0.8016,0.9848,1564.2,1922.6
