ModuleName,SentenceId
HTML5 Client,4
HTML5 Client,5
HTML5 Client,6
HTML5 Server,6
HTML5 Server,8
HTML5 Server,9
HTML5 Server,10
HTML5 Client,11
HTML5 Server,12
HTML5 Client,12
HTML5 Server,13
HTML5 Client,13
HTML5 Client,14
HTML5 Server,15
HTML5 Server,18
Apps,25
BBB web,28
BBB web,34
BBB web,35
HTML5 Server,37
Redis PubSub,44
Redis PubSub,45
HTML5 Server,45
Redis DB,46
Redis DB,47
Apps,49
Apps,50
Apps,52
FreeSWITCH,55
FSESL,55
FreeSWITCH,56
Apps,58
Redis PubSub,58
FSESL,58
FreeSWITCH,59
FreeSWITCH,61
WebRTC-SFU,63
FreeSWITCH,64
WebRTC-SFU,65
kurento,65
kurento,66
kurento,67
WebRTC-SFU,68
FreeSWITCH,70
HTML5 Client,70
WebRTC-SFU,71
HTML5 Server,71
HTML5 Client,71
BBB web,76
Redis PubSub,77
Presentation Conversion,78
Presentation Conversion,79
