Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,4.0
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,4.0
20,1,0.4023,0.4138,24.0,27.5
20,2,0.493,0.3962,46.4,41.3
20,3,0.4957,0.4036,62.8,48.9
20,4,0.8294,0.5359,96.0,63.8
20,5,0.9264,0.6968,120.0,91.8333
40,0,0.0,0.0,0.0,48.0
40,1,0.294,0.6482,24.0,54.5
40,2,0.5817,0.7349,50.9,68.0
40,3,0.5653,0.5368,63.7,65.1
40,4,0.7325,0.7449,86.2,88.9
40,5,0.9333,0.8344,120.0,108.6667
60,0,0.0,0.0,0.0,49.0
60,1,0.2852,0.7186,24.0,71.8333
60,2,0.5085,0.7711,49.2,82.3
60,3,0.6052,0.7774,70.9,97.0
60,4,0.8367,0.8731,100.6,108.7
60,5,0.9171,0.8696,120.0,115.6667
80,0,0.0,0.0,0.0,144.0
80,1,0.3408,0.8049,24.0,58.6667
80,2,0.4214,0.9018,42.6,93.0
80,3,0.681,0.8883,77.5,103.2
80,4,0.847,0.9323,101.5,113.1
80,5,0.8904,0.968,120.0,131.5
100,0,0.0,0.0,0.0,80.0
100,1,0.2374,0.9076,24.0,95.5
100,2,0.399,0.8988,44.8,102.7
100,3,0.5454,0.9588,68.0,122.0
100,4,0.8199,0.9458,104.4,121.8
100,5,0.8961,0.9626,120.0,129.3333
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,47.0
20,1,0.2485,0.4651,24.0,56.1667
20,2,0.4439,0.5229,48.5,67.0
20,3,0.7881,0.7035,79.6,76.9
20,4,0.7791,0.8146,90.7,99.5
20,5,0.9259,0.9329,120.0,122.3333
40,0,0.0,0.0,0.0,61.0
40,1,0.273,0.682,24.0,69.5
40,2,0.4017,0.7172,41.3,80.5
40,3,0.6792,0.8097,71.7,92.8
40,4,0.8974,0.8872,101.1,102.3
40,5,0.9259,0.9354,120.0,122.6667
60,0,0.0,0.0,0.0,63.0
60,1,0.2742,0.7075,24.0,71.6667
60,2,0.4599,0.7336,44.3,79.4
60,3,0.7169,0.8634,77.5,99.3
60,4,0.7815,0.8669,94.8,109.1
60,5,0.9259,0.9441,120.0,123.8333
80,0,0.0,0.0,0.0,90.0
80,1,0.2366,0.883,24.0,97.6667
80,2,0.4934,0.9373,53.0,104.5
80,3,0.6316,0.947,73.6,112.9
80,4,0.7901,0.9773,97.2,122.5
80,5,0.8912,0.9854,120.0,133.6667
100,0,0.0,0.0,0.0,103.0
100,1,0.2151,0.9401,24.0,109.5
100,2,0.4034,0.9556,48.1,117.8
100,3,0.5565,0.9642,69.1,124.7
100,4,0.6467,0.987,85.5,132.3
100,5,0.8749,0.9916,120.0,136.8333
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,0.0,47.0
20,1,0.2712,0.578,0.2475,0.4599,24.0,56.5
20,2,0.4993,0.732,0.4781,0.6659,47.4,73.8
20,3,0.6365,0.7463,0.6275,0.698,70.7,85.1
20,4,0.8514,0.8539,0.8424,0.8127,101.4,100.6
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,0.0,47.0
20,1,0.2712,0.578,0.2475,0.4599,24.0,56.5
20,2,0.4119,0.6579,0.3719,0.5628,42.5,71.9
20,3,0.7508,0.7628,0.739,0.695,75.9,76.6
20,4,0.8031,0.8596,0.7916,0.8084,92.2,98.6
20,5,0.9286,0.9117,0.9259,0.888,120.0,116.5
40,0,0.0,0.0,0.0,0.0,0.0,61.0
40,1,0.303,0.7861,0.273,0.682,24.0,69.5
40,2,0.6021,0.877,0.5817,0.8326,53.8,82.9
40,3,0.6102,0.7973,0.5847,0.7397,64.5,88.7
40,4,0.8394,0.8823,0.8307,0.851,96.4,102.6
40,5,0.9279,0.9448,0.9259,0.9316,120.0,122.1667
60,0,0.0,0.0,0.0,0.0,0.0,63.0
60,1,0.2682,0.7787,0.2645,0.7331,24.0,83.3333
60,2,0.4961,0.9107,0.4937,0.8807,46.7,94.1
60,3,0.8111,0.9044,0.8133,0.8694,84.3,95.9
60,4,0.8337,0.9037,0.8311,0.8672,97.1,105.0
60,5,0.9245,0.9578,0.9259,0.9441,120.0,123.8333
80,0,0.0,0.0,0.0,0.0,0.0,90.0
80,1,0.2468,0.9404,0.2366,0.883,24.0,97.6667
80,2,0.485,0.95,0.4762,0.9343,51.4,106.0
80,3,0.6232,0.9665,0.6125,0.9474,71.9,114.3
80,4,0.7707,0.9732,0.764,0.9609,96.0,123.5
80,5,0.8941,0.989,0.8912,0.9854,120.0,133.6667
100,0,0.0,0.0,0.0,0.0,0.0,103.0
100,1,0.2075,0.9605,0.2151,0.9401,24.0,109.5
100,2,0.423,0.971,0.4411,0.9634,50.9,114.7
100,3,0.6239,0.983,0.6349,0.9766,78.4,124.2
100,4,0.7188,0.9921,0.7368,0.9915,95.5,129.7
100,5,0.8694,0.9939,0.8749,0.9916,120.0,136.8333
