Class: src/test/java/teammates/ui/webapi/SendLoginEmailActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UpdateNotificationActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetCoursesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/GetFeedbackResponsesActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/e2e/java/teammates/e2e/cases/FeedbackResultsPageE2ETest.jvtp, Predicted Module: Test Driver, Correct Module: E2E
Class: src/test/java/teammates/common/datatransfer/attributes/FeedbackResponseCommentAttributesTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/UpdateStudentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/util/FieldValidatorTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/GetInstructorPrivilegeActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateFeedbackResponseCommentActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/CreateAccountRequestActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/EnrollStudentsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/storage/api/CoursesDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/storage/api/FeedbackResponseCommentsDbTest.jvtp, Predicted Module: Test Driver, Correct Module: Storage
Class: src/test/java/teammates/ui/webapi/QueryLogsActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/UpdateFeedbackSessionActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/common/datatransfer/questions/FeedbackMsqQuestionDetailsTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/common/util/UrlTest.jvtp, Predicted Module: Test Driver, Correct Module: Common
Class: src/test/java/teammates/ui/webapi/RegenerateInstructorKeyActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/ResetAccountActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
Class: src/test/java/teammates/ui/webapi/RegenerateStudentKeyActionTest.jvtp, Predicted Module: Test Driver, Correct Module: UI
