Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.0407,0.25,28.25,61.5
20,2,,,,
20,3,,,,
20,4,,,,
20,5,,,,
20,6,,,,
20,7,,,,
20,8,,,,
20,9,,,,
20,10,,,,
20,11,,,,
20,12,,,,
40,0,0.0,0.0,0.0,1.0
40,1,0.2,0.1,22.6,2.8
40,2,0.1626,1.0,20.0,123.0
40,3,,,,
40,4,,,,
40,5,,,,
40,6,,,,
40,7,,,,
40,8,,,,
40,9,,,,
40,10,,,,
40,11,,,,
40,12,,,,
60,0,0.0,0.0,0.0,1.0
60,1,0.25,0.125,28.25,3.25
60,2,0.5,0.1724,56.5,5.5
60,3,,,,
60,4,,,,
60,5,,,,
60,6,,,,
60,7,,,,
60,8,,,,
60,9,,,,
60,10,,,,
60,11,,,,
60,12,,,,
80,0,0.0,0.0,0.0,10.0
80,1,0.1579,0.3333,31.0,14.3333
80,2,0.2883,0.3656,62.0,18.6667
80,3,0.3878,0.6552,29.0,49.0
80,4,,,,
80,5,,,,
80,6,,,,
80,7,,,,
80,8,,,,
80,9,,,,
80,10,,,,
80,11,,,,
80,12,,,,
100,0,0.0,0.0,0.0,10.0
100,1,0.3684,0.375,7.25,20.75
100,2,,,,
100,3,,,,
100,4,,,,
100,5,,,,
100,6,,,,
100,7,,,,
100,8,,,,
100,9,,,,
100,10,,,,
100,11,,,,
100,12,,,,
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.1667,0.0833,20.5,1.6667
20,2,0.1667,0.0833,34.3333,1.6667
20,3,,,,
20,4,1.0,0.0894,123.0,11.0
20,5,1.0,0.0894,123.0,11.0
20,6,,,,
20,7,,,,
20,8,,,,
40,0,0.0,0.0,0.0,1.0
40,1,0.3148,0.2315,20.5,3.8333
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
40,2,0.3,0.0772,30.6,3.0
20,1,0.2805,0.25,20.5,30.1667
40,3,0.2763,0.0312,61.0,10.5
20,2,0.1667,0.0556,39.3333,1.6667
40,4,1.0,0.1279,113.5,14.5
20,3,0.0,0.0,94.0,0.0
40,5,0.9729,0.4363,119.6667,53.6667
20,4,,,,
40,6,,,,
20,5,,,,
40,7,,,,
20,6,,,,
40,8,,,,
60,0,0.0,0.0,0.0,10.0
20,7,,,,
60,1,0.2375,0.5833,20.5,67.5
20,8,,,,
40,0,0.0,0.0,0.0,18.0
60,2,0.2982,0.2798,49.5,54.75
40,1,0.25,0.1685,20.5,4.0
60,3,0.7382,0.251,69.0,16.75
40,2,0.5,0.149,36.0,5.5
60,4,0.5263,0.0919,109.0,19.0
40,3,0.0,0.0,94.0,1.0
60,5,,,,
40,4,,,,
60,6,,,,
40,5,,,,
60,7,,,,
40,6,,,,
60,8,,,,
80,0,0.0,0.0,0.0,23.0
40,7,,,,
80,1,0.1366,0.3667,20.5,69.5
40,8,,,,
60,0,0.0,0.0,0.0,10.0
80,2,0.1924,0.0856,69.3333,25.6667
60,1,0.1433,0.25,20.5,33.1667
80,3,0.22,0.0506,68.2,17.8
60,2,0.3693,0.3926,56.5,42.5
80,4,1.0,0.3902,123.0,48.0
80,5,,,,
80,6,,,,
80,7,,,,
80,8,,,,
100,0,0.0,0.0,0.0,79.0
100,1,0.1667,0.4198,20.5,79.0
100,2,0.2616,0.664,32.0,79.0
100,3,0.4209,0.6925,47.75,79.0
100,4,0.7722,0.5922,103.0,79.0
100,5,,,,
100,6,1.0,0.6423,123.0,79.0
100,7,,,,
100,8,,,,
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.1667,0.1167,20.5,2.3333
20,2,0.3333,0.1002,42.6667,4.6667
20,3,0.5,0.0614,99.0,7.0
20,4,0.0,0.0,93.0,0.0
20,5,,,,
20,6,1.0,0.7724,123.0,95.0
20,7,,,,
20,8,,,,
40,0,0.0,0.0,0.0,1.0
40,1,0.3148,0.2648,20.5,4.5
40,2,0.6599,0.4238,34.6667,21.3333
40,3,0.9357,0.3441,93.0,33.0
40,4,1.0,0.6814,113.0,77.0
40,5,,,,
40,6,,,,
40,7,,,,
40,8,,,,
60,0,0.0,0.0,0.0,10.0
60,1,0.2514,0.2833,20.5,12.1667
60,2,0.4817,0.4347,13.6,12.6
60,3,0.9,0.0874,103.0,10.0
60,4,,,,
60,5,1.0,0.7168,113.0,81.0
60,6,,,,
60,7,,,,
60,8,,,,
80,0,0.0,0.0,0.0,27.0
80,1,0.2771,0.4218,20.5,35.8333
80,2,0.2403,0.3567,23.5,35.8333
80,3,0.8139,0.711,54.0,44.6667
80,4,0.6625,0.5638,94.0,80.0
80,5,,,,
80,6,,,,
80,7,,,,
80,8,,,,
100,0,0.0,0.0,0.0,93.0
100,1,0.1622,0.4833,20.5,102.8333
100,2,0.2393,0.5519,30.6,92.6
100,3,0.5481,0.8414,64.0,92.75
100,4,,,,
100,5,,,,
100,6,,,,
100,7,,,,
100,8,,,,
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,0.1667,0.15,0.1667,0.1167,20.5,2.3333
20,2,0.5,0.425,0.5,0.2917,14.75,7.0
20,3,0.3333,0.3,0.3333,0.2333,72.0,4.6667
20,4,,,,,,
20,5,,,,,,
20,6,,,,,,
20,7,,,,,,
20,8,,,,,,
40,0,0.0,0.0,0.0,0.0,0.0,1.0
40,1,0.4045,0.4148,0.4537,0.3481,20.5,5.3333
40,2,0.7943,0.6352,0.8948,0.5376,37.8333,15.1667
40,3,0.925,0.6561,0.9583,0.5089,48.25,18.5
40,4,0.9766,0.628,0.9915,0.64,108.0,70.0
40,5,,,,,,
40,6,,,,,,
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,0.0,123.0
20,1,0.0271,0.1667,0.0271,0.1667,20.5,20.5
20,2,0.4322,0.65,0.4322,0.6167,51.6667,63.8333
20,3,0.5,0.115,0.5,0.1106,61.5,12.5
20,4,1.0,0.6154,1.0,0.6538,104.0,68.0
20,5,1.0,0.6372,1.0,0.6195,113.0,70.0
20,6,,,,,,
20,7,,,,,,
20,8,,,,,,
40,0,0.0,0.0,0.0,0.0,0.0,1.0
40,1,0.265,0.4315,0.3141,0.3981,20.5,23.5
40,2,0.6912,0.5546,0.7179,0.4708,62.2,32.0
40,3,0.7273,0.086,0.8889,0.086,93.0,9.0
40,4,,,,,,
40,5,,,,,,
40,6,,,,,,
40,7,,,,,,
40,8,,,,,,
60,0,0.0,0.0,0.0,0.0,0.0,10.0
60,1,0.2975,0.4333,0.307,0.3667,20.5,13.0
60,2,0.6349,0.5343,0.5953,0.4653,66.0,34.0
60,3,0.8586,0.9038,0.9417,0.8167,19.0,15.75
60,4,,,,,,
60,5,,,,,,
60,6,,,,,,
60,7,,,,,,
60,8,,,,,,
80,0,0.0,0.0,0.0,0.0,0.0,27.0
80,1,0.2144,0.4365,0.2771,0.4218,20.5,35.8333
80,2,0.2397,0.6333,0.3333,0.5333,16.3333,27.0
80,3,0.3864,0.3301,0.3875,0.301,56.5,53.5
80,4,0.8889,0.6923,0.8875,0.6827,104.0,80.0
80,5,,,,,,
80,6,,,,,,
80,7,,,,,,
80,8,,,,,,
100,0,0.0,0.0,0.0,0.0,0.0,94.0
100,1,0.1667,0.4524,0.1667,0.4496,20.5,93.8333
100,2,0.4494,0.3846,0.4521,0.4087,52.0,94.0
100,3,0.2463,0.9211,0.192,0.7024,24.0,93.5
100,4,0.224,0.8711,0.1452,0.5368,24.5,93.0
100,5,0.7917,0.7379,0.8065,0.7282,103.0,93.0
100,6,,,,,,
100,7,,,,,,
100,8,,,,,,
