file_path,contrib,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,9.695267677307129,85.03660583496094,10.774847030639648,6.802454948425293,15.373172760009766,6.345532417297363,107.81453704833984,15.44863224029541,22.187007904052734,tests,107.81453704833984
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,62.30741882324219,15.98387336730957,16.885969161987305,10.392236709594727,11.12266731262207,85.47206115722656,7.32025146484375,10.974434852600098,21.195772171020508,strategy,85.47206115722656
qlib\qlib\rl\reward.py,4.197549819946289,1.3920254707336426,1.752588152885437,87.36031341552734,0.0,2.9482221603393555,1.0012303590774536,5.278863906860352,14.547369003295898,rl,87.36031341552734
qlib\qlib\contrib\model\pytorch_lstm.py,72.45962524414062,90.11287689208984,100.48499298095703,39.63429641723633,44.72506332397461,24.37854766845703,79.68511199951172,76.45584106445312,53.86821746826172,model,100.48499298095703
qlib\tests\ops\test_special_ops.py,9.922706604003906,82.52293395996094,4.831445693969727,4.645816326141357,7.228592395782471,9.630163192749023,110.12387084960938,12.681365013122559,22.380538940429688,tests,110.12387084960938
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,31.63397789001465,78.98428344726562,69.79304504394531,11.296623229980469,11.154022216796875,14.480888366699219,17.68666648864746,22.178146362304688,132.94700622558594,workflow,132.94700622558594
qlib\qlib\workflow\task\collect.py,11.968488693237305,13.175179481506348,16.481830596923828,10.232279777526855,15.431801795959473,15.481101989746094,11.66636848449707,18.012224197387695,147.25601196289062,workflow,147.25601196289062
qlib\qlib\rl\utils\log.py,14.331934928894043,54.13062286376953,13.629339218139648,68.49183654785156,22.380584716796875,14.693111419677734,12.256765365600586,71.03997802734375,42.87189865112305,utils,71.03997802734375
qlib\qlib\backtest\report.py,19.63420295715332,100.61101531982422,26.348087310791016,23.66205406188965,32.130828857421875,25.48665428161621,46.06436538696289,28.662059783935547,45.70904541015625,data,100.61101531982422
qlib\qlib\contrib\data\__init__.py,64.41008758544922,63.963958740234375,1.001301884651184,1.001301884651184,3.9977474212646484,1.001301884651184,4.999049186706543,6.7972517013549805,8.730030059814453,contrib,64.41008758544922
qlib\qlib\rl\order_execution\simulator_simple.py,12.050382614135742,88.19893646240234,8.004326820373535,70.25474548339844,40.394840240478516,6.067049980163574,11.391153335571289,22.954248428344727,33.97850799560547,data,88.19893646240234
qlib\examples\data_demo\data_mem_resuse_demo.py,15.986556053161621,84.98274993896484,7.095047473907471,6.974254608154297,10.395767211914062,10.774322509765625,14.50676155090332,15.298901557922363,142.19754028320312,workflow,142.19754028320312
qlib\qlib\data\cache.py,22.409090042114258,118.32962036132812,47.20931625366211,82.00374603271484,75.62246704101562,25.411287307739258,30.016939163208008,35.30570983886719,64.7188949584961,data,118.32962036132812
qlib\qlib\contrib\report\data\ana.py,59.614288330078125,72.91743469238281,8.318221092224121,5.373353958129883,36.72577667236328,9.76523494720459,10.32279109954834,11.503353118896484,15.877701759338379,data,72.91743469238281
qlib\qlib\contrib\data\processor.py,60.25893020629883,74.50082397460938,3.042210578918457,4.34208345413208,22.458032608032227,6.460906982421875,11.039538383483887,10.7076416015625,18.782264709472656,data,74.50082397460938
qlib\examples\highfreq\highfreq_processor.py,9.783923149108887,73.4560546875,3.980099678039551,2.099783182144165,5.209066390991211,3.1360344886779785,14.191437721252441,10.194215774536133,14.686812400817871,data,73.4560546875
qlib\qlib\rl\strategy\__init__.py,5.94570779800415,0.0,1.0013008117675781,86.6097412109375,0.0,98.20487213134766,1.0013008117675781,5.94570779800415,7.3212785720825195,strategy,98.20487213134766
qlib\scripts\get_data.py,5.4440836906433105,65.40563201904297,4.355930328369141,4.885689735412598,11.254316329956055,5.1080169677734375,7.232298374176025,9.61220932006836,10.679235458374023,data,65.40563201904297
qlib\qlib\rl\data\pickle_styled.py,13.037714004516602,101.72526550292969,9.438997268676758,69.60189056396484,29.528329849243164,5.1823248863220215,12.816473007202148,23.013572692871094,41.64011001586914,data,101.72526550292969
qlib\tests\misc\test_sepdf.py,7.099628925323486,62.27751159667969,2.256809711456299,3.4846580028533936,4.8922882080078125,3.807429313659668,105.2437515258789,10.062397003173828,14.54712200164795,tests,105.2437515258789
qlib\qlib\model\riskmodel\base.py,18.316814422607422,55.681095123291016,71.20721435546875,6.142918109893799,27.138721466064453,9.785868644714355,11.6385498046875,17.70726203918457,43.234989166259766,model,71.20721435546875
qlib\tests\rl\test_finite_env.py,10.946786880493164,59.072349548339844,10.186359405517578,66.392578125,29.59754180908203,6.183948040008545,103.8018798828125,12.050521850585938,44.825042724609375,tests,103.8018798828125
qlib\qlib\contrib\torch.py,63.07352828979492,68.98033905029297,2.557981491088867,1.001240611076355,4.2785491943359375,1.001240611076355,6.254482746124268,7.223929405212402,10.52342700958252,data,68.98033905029297
qlib\qlib\backtest\account.py,15.50266170501709,63.63705825805664,32.73709487915039,15.598482131958008,29.94783592224121,23.89044189453125,14.772671699523926,14.653889656066895,45.12754440307617,data,63.63705825805664
qlib\qlib\rl\order_execution\interpreter.py,9.604872703552246,86.9041748046875,7.04113245010376,72.95708465576172,48.266204833984375,5.298591613769531,9.35704517364502,19.233909606933594,32.369468688964844,data,86.9041748046875
qlib\qlib\contrib\model\pytorch_gats.py,71.55460357666016,114.16792297363281,112.8536376953125,39.06479263305664,53.62386703491211,26.754634857177734,78.45899963378906,75.85958099365234,65.9432373046875,data,114.16792297363281
qlib\qlib\backtest\utils.py,14.24700927734375,76.85414123535156,3.6313297748565674,6.291375160217285,56.15868377685547,8.654924392700195,14.057098388671875,80.88500213623047,22.6122989654541,utils,80.88500213623047
qlib\tests\model\test_general_nn.py,74.94991302490234,86.73836517333984,84.9078369140625,6.326673984527588,21.347557067871094,13.338822364807129,143.876953125,17.92236328125,29.474578857421875,tests,143.876953125
qlib\qlib\contrib\model\pytorch_adarnn.py,68.55065155029297,116.93238830566406,106.28113555908203,49.150177001953125,59.55717849731445,24.975343704223633,70.37705993652344,78.90756225585938,64.82366943359375,data,116.93238830566406
qlib\qlib\rl\simulator.py,4.758212566375732,0.4393358826637268,1.00127375125885,84.8847885131836,0.0,1.2163790464401245,1.00127375125885,5.015395164489746,5.4717230796813965,rl,84.8847885131836
qlib\qlib\contrib\tuner\pipeline.py,67.48222351074219,82.41349029541016,24.84869384765625,4.605122089385986,64.57705688476562,9.481571197509766,33.48808288574219,21.993444442749023,44.03692626953125,data,82.41349029541016
qlib\qlib\contrib\model\catboost_model.py,69.89107513427734,79.38285827636719,85.1153564453125,10.722131729125977,13.521891593933105,13.625744819641113,75.20195007324219,14.973185539245605,50.649986267089844,model,85.1153564453125
qlib\scripts\collect_info.py,3.8397858142852783,17.6600341796875,5.394733905792236,9.66508674621582,11.9383544921875,5.905905723571777,5.863111972808838,9.626220703125,6.623030662536621,data,17.6600341796875
qlib\qlib\contrib\eva\alpha.py,64.27862548828125,69.391357421875,14.599814414978027,5.72651481628418,20.7806339263916,9.082931518554688,9.236461639404297,16.28865623474121,20.003742218017578,data,69.391357421875
qlib\examples\online_srv\online_management_simulate.py,34.41899490356445,68.14295196533203,13.267278671264648,40.215450286865234,31.75857162475586,113.60043334960938,45.076263427734375,24.897798538208008,141.65211486816406,workflow,141.65211486816406
qlib\qlib\contrib\model\pytorch_add.py,67.06531524658203,101.87944793701172,117.08757781982422,36.34835433959961,63.94973373413086,25.711687088012695,66.9975814819336,68.67076110839844,72.17424774169922,model,117.08757781982422
qlib\qlib\contrib\model\pytorch_tabnet.py,66.1628189086914,88.4375228881836,106.12747955322266,38.57147216796875,43.383358001708984,27.08672523498535,73.45109558105469,73.75730895996094,56.20051574707031,model,106.12747955322266
qlib\tests\rolling_tests\test_update_pred.py,25.74085235595703,84.54441833496094,91.5840072631836,9.156044006347656,7.892840385437012,18.27417755126953,115.77265167236328,23.291481018066406,195.81988525390625,workflow,195.81988525390625
qlib\scripts\check_dump_bin.py,12.708732604980469,87.83917236328125,11.848044395446777,33.72492599487305,42.520999908447266,12.508533477783203,22.956819534301758,27.702455520629883,20.808212280273438,data,87.83917236328125
qlib\qlib\contrib\model\__init__.py,66.93370819091797,7.962341785430908,95.55050659179688,2.939119338989258,13.474479675292969,9.172700881958008,3.391594886779785,7.98480224609375,19.397138595581055,model,95.55050659179688
qlib\qlib\utils\index_data.py,15.214344024658203,90.56932830810547,6.403480529785156,6.108712196350098,51.189964294433594,7.7205424308776855,20.727710723876953,76.9015884399414,28.84223175048828,data,90.56932830810547
qlib\qlib\data\ops.py,24.40323257446289,70.32038879394531,21.688247680664062,168.89781188964844,44.324684143066406,23.222518920898438,32.29597091674805,17.49662971496582,42.030677795410156,rl,168.89781188964844
qlib\qlib\utils\serial.py,9.216103553771973,13.960273742675781,3.922726631164551,25.373167037963867,2.3842785358428955,8.999728202819824,3.844536304473877,76.66951751708984,9.933794975280762,utils,76.66951751708984
qlib\qlib\data\storage\__init__.py,3.7253358364105225,67.27139282226562,1.0012961626052856,1.0012961626052856,3.990036964416504,1.0012961626052856,5.9913330078125,5.055347919464111,12.147467613220215,data,67.27139282226562
qlib\examples\online_srv\update_online_pred.py,22.913402557373047,75.1301040649414,22.965160369873047,11.317472457885742,10.235674858093262,18.71735954284668,19.458179473876953,18.812715530395508,191.1141815185547,workflow,191.1141815185547
qlib\qlib\rl\utils\env_wrapper.py,13.675844192504883,2.665073871612549,19.300724029541016,83.68135070800781,60.78181838989258,10.541516304016113,8.074212074279785,93.08139038085938,19.980602264404297,utils,93.08139038085938
qlib\examples\benchmarks\TFT\expt_settings\configs.py,22.55950355529785,81.72582244873047,90.18374633789062,5.050491809844971,12.106986045837402,9.112363815307617,12.423933982849121,12.812760353088379,41.746707916259766,model,90.18374633789062
qlib\qlib\model\riskmodel\shrink.py,7.189413070678711,21.730558395385742,56.93850326538086,6.53845739364624,18.25905990600586,8.034500122070312,9.809669494628906,10.010899543762207,18.414493560791016,model,56.93850326538086
qlib\qlib\rl\trainer\trainer.py,14.310042381286621,22.728130340576172,18.210020065307617,78.26652526855469,77.80026245117188,18.930206298828125,45.086769104003906,19.29999542236328,43.13322830200195,rl,78.26652526855469
qlib\qlib\contrib\report\__init__.py,67.61569213867188,1.4070649147033691,70.62239074707031,5.499880790710449,0.48394185304641724,5.429525375366211,2.503692150115967,5.29860258102417,24.58913230895996,model,70.62239074707031
