Precision
Project,10,20,30,40,50,60,70,80,90
audioflux,0.5480,0.5480,0.5480,0.5480,0.5480,0.5483,0.5486,0.5490,0.6918
bgslibrary,0.5409,0.5409,0.5409,0.5409,0.5420,0.5421,0.5451,0.5465,0.5940
distributed_camera,0.6776,0.6776,0.6776,0.6776,0.6805,0.6908,0.7040,0.7243,0.8828
proxygen,0.8699,0.8699,0.8699,0.8699,0.8707,0.8747,0.8835,0.8963,0.9413

Recall
Project,10,20,30,40,50,60,70,80,90
audioflux,0.7000,0.7000,0.7000,0.7000,0.7000,0.6968,0.6900,0.6677,0.5860
bgslibrary,0.5048,0.5048,0.5048,0.5048,0.5048,0.5038,0.5008,0.4968,0.4683
distributed_camera,0.7111,0.7111,0.7111,0.7111,0.7070,0.6941,0.6855,0.6708,0.5191
proxygen,0.8852,0.8852,0.8852,0.8852,0.8826,0.8670,0.8437,0.8004,0.5977

F1
Project,10,20,30,40,50,60,70,80,90
audioflux,0.6147,0.6147,0.6147,0.6147,0.6147,0.6137,0.6112,0.6025,0.6345
bgslibrary,0.5222,0.5222,0.5222,0.5222,0.5228,0.5223,0.5220,0.5205,0.5237
distributed_camera,0.6940,0.6940,0.6940,0.6940,0.6935,0.6925,0.6946,0.6965,0.6537
proxygen,0.8775,0.8775,0.8775,0.8775,0.8766,0.8708,0.8632,0.8456,0.7311
