Precision
Project,10,20,30,40,50,60,70,80,90
audioflux,0.4000,0.4000,0.3333,0.3333,0.4000,0.4286,0.4286,0.3333,0.2949
bgslibrary,0.0345,0.0339,0.0333,0.0325,0.0320,0.0315,0.0580,0.0541,0.0667
distributed_camera,0.5000,0.5000,0.5333,0.3214,0.2093,0.1467,0.1346,0.1611,0.1328
proxygen,0.1190,0.1591,0.1591,0.1633,0.1333,0.0952,0.0730,0.0561,0.0595

Recall
Project,10,20,30,40,50,60,70,80,90
audioflux,0.0155,0.0155,0.0233,0.0233,0.0310,0.0465,0.0698,0.1085,0.4961
bgslibrary,0.0727,0.0727,0.0727,0.0727,0.0727,0.0727,0.1455,0.1455,0.3273
distributed_camera,0.0625,0.0625,0.1000,0.1125,0.1125,0.1375,0.1750,0.3000,0.7750
proxygen,0.0575,0.0805,0.0805,0.0920,0.0920,0.1149,0.1494,0.1954,0.5632

F1
Project,10,20,30,40,50,60,70,80,90
audioflux,0.0299,0.0299,0.0435,0.0435,0.0576,0.0839,0.1200,0.1637,0.3699
bgslibrary,0.0468,0.0462,0.0457,0.0449,0.0444,0.0440,0.0829,0.0788,0.1108
distributed_camera,0.1111,0.1111,0.1684,0.1667,0.1463,0.1419,0.1522,0.2096,0.2267
proxygen,0.0775,0.1069,0.1069,0.1176,0.1088,0.1042,0.0981,0.0872,0.1077
