Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
audioflux,dsp,src/dsp/dct_algorithm.c,non,non,18.61,general,85.00,general,general,non
audioflux,dsp,src/dsp/flux_window.c,non,non,38.42,general,90.00,general,non,non
audioflux,dsp,include/feature/deconv_algorithm.h,feature,feature,128.28,non,70.00,feature,feature,non
audioflux,dsp,src/filterbank/coef/__coef_r.h,filter_bank,non,47.23,filter_bank,85.00,filter_bank,filter_bank,non
audioflux,dsp,src/filterbank/chroma_filterBank.c,filter_bank,filter_bank,80.81,non,80.00,filter_bank,filter_bank,non
audioflux,dsp,src/dsp/filterDesign_fir.c,non,filter_bank,220.54,filter_bank,90.00,filter_bank,filter_bank,non
audioflux,dsp,src/cqt_algorithm.c,general,non,25.38,non,80.00,feature,general,non
audioflux,dsp,include/dsp/czt_algorithm.h,non,non,4.88,non,80.00,general,general,non
audioflux,dsp,include/emd_algorithm.h,general,non,4.88,non,70.00,general,general,non
audioflux,dsp,src/dsp/dft_algorithm.c,non,non,10.70,non,80.00,general,general,non
audioflux,dsp,src/dsp/conv_algorithm.h,non,non,10.20,non,50.00,general,non,non
audioflux,dsp,src/flux_base.h,general,filter_bank,185.65,non,40.00,feature,general,non
audioflux,dsp,src/mir/harmonicRatio_algorithm.h,mir,mir,76.91,non,70.00,mir,mir,non
audioflux,dsp,src/mir/_pitch_stft.h,mir,mir,83.27,non,60.00,mir,mir,non
audioflux,dsp,src/filterbank/cwt_filterBank.h,filter_bank,filter_bank,100.15,non,45.00,filter_bank,filter_bank,non
audioflux,dsp,src/st_algorithm.c,general,non,7.05,non,80.00,general,general,non
audioflux,dsp,include/spectrogram_algorithm.h,general,non,38.66,feature,85.00,general,non,non
audioflux,dsp,src/filterbank/auditory_weight.h,filter_bank,filter_bank,102.54,non,80.00,filter_bank,filter_bank,non
audioflux,dsp,src/cwt_algorithm.c,general,filter_bank,64.54,general,85.00,filter_bank,non,non
audioflux,dsp,src/filterbank/cqt_filterBank.c,filter_bank,filter_bank,113.48,non,75.00,filter_bank,filter_bank,non
audioflux,dsp,src/dsp/resample_algorithm.h,non,non,29.03,general,90.00,general,general,non
audioflux,dsp,src/flux_spectral.h,general,non,28.31,feature,95.00,feature,feature,non
audioflux,dsp,src/filterbank/nsgt_filterBank.c,filter_bank,filter_bank,168.78,filter_bank,95.00,filter_bank,filter_bank,non
audioflux,dsp,src/dsp/filterDesign_freqz.c,non,filter_bank,65.96,non,55.00,general,non,non
audioflux,dsp,src/dsp/fft_algorithm.h,non,non,4.85,general,85.00,general,general,non
audioflux,dsp,src/feature/xxcc_algorithm.c,feature,feature,104.08,feature,90.00,feature,feature,non
audioflux,dsp,src/wpt_algorithm.c,general,filter_bank,71.62,general,85.00,general,general,non
audioflux,dsp,include/hht_algorithm.h,general,non,4.88,general,85.00,general,general,non
audioflux,dsp,src/dsp/fft_algorithm.c,non,non,28.63,general,85.00,general,general,non
audioflux,dsp,include/flux_base.h,general,filter_bank,185.65,non,55.00,general,non,non
audioflux,dsp,src/cwt_algorithm.h,general,non,7.85,non,70.00,general,general,non
audioflux,dsp,include/util/flux_util.h,general,non,43.56,non,55.00,general,general,non
audioflux,dsp,include/util/flux_wave.h,general,non,15.61,non,80.00,general,general,non
audioflux,dsp,include/cwd_algorithm.h,general,non,4.88,non,80.00,general,general,non
audioflux,dsp,src/filterbank/dwt_filterCoef.c,filter_bank,mir,71.47,general,90.00,filter_bank,filter_bank,non
audioflux,dsp,src/fst_algorithm.c,general,non,13.25,general,85.00,general,general,non
audioflux,dsp,include/pwt_algorithm.h,general,non,7.00,non,60.00,filter_bank,general,non
audioflux,dsp,src/dsp/flux_correct.c,non,non,21.44,non,70.00,non,non,non
audioflux,dsp,include/feature/xxcc_algorithm.h,feature,feature,130.30,feature,90.00,feature,feature,non
audioflux,dsp,src/mir/_pitch_yin.c,mir,mir,84.31,mir,90.00,mir,mir,non
audioflux,dsp,include/swt_algorithm.h,general,non,4.88,general,85.00,general,general,non
audioflux,dsp,src/spectrogram_algorithm.c,general,filter_bank,121.00,non,70.00,general,general,non
audioflux,dsp,include/st_algorithm.h,general,non,5.87,non,70.00,general,general,non
audioflux,dsp,src/temporal_algorithm.c,general,non,22.69,feature,90.00,feature,feature,non
audioflux,dsp,src/filterbank/dwt_filterCoef.h,filter_bank,filter_bank,87.63,non,70.00,general,general,non
audioflux,dsp,src/util/flux_util.c,general,mir,129.11,general,90.00,general,general,non
audioflux,dsp,include/mir/hpss_algorithm.h,mir,mir,78.57,non,60.00,mir,mir,non
audioflux,dsp,include/mir/harmonicRatio_algorithm.h,mir,mir,76.91,non,50.00,mir,mir,non
audioflux,dsp,src/stft_algorithm.h,general,non,5.40,non,75.00,general,general,non
audioflux,dsp,src/mir/hpss_algorithm.c,mir,mir,67.10,mir,100.00,mir,mir,non
audioflux,dsp,src/dwt_algorithm.h,general,non,4.88,non,70.00,general,general,non
audioflux,dsp,src/dsp/filterDesign_iir.c,non,non,36.00,non,25.00,non,filter_bank,non
audioflux,dsp,src/util/flux_util.h,general,non,45.56,non,50.00,general,general,non
audioflux,dsp,src/bft_algorithm.c,general,filter_bank,80.03,non,50.00,general,general,non
audioflux,dsp,src/temporal_algorithm.h,general,non,14.10,feature,85.00,feature,feature,non
