Project,Module,File,GT,LLMProb@10,Score@10,LLMProb@20,Score@20,LLMProb@30,Score@30,LLMProb@40,Score@40,LLMProb@50,Score@50,LLMProb@60,Score@60,LLMProb@70,Score@70,LLMProb@80,Score@80,LLMProb@90,Score@90
audioflux,dsp,src/dsp/dct_algorithm.c,None,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,src/dsp/flux_window.c,None,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,None,90.00
audioflux,dsp,include/feature/deconv_algorithm.h,feature,feature,70.00,feature,70.00,feature,70.00,feature,70.00,feature,70.00,feature,70.00,None,70.00,None,70.00,None,70.00
audioflux,dsp,src/filterbank/coef/__coef_r.h,filter_bank,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,filter_bank,85.00,None,85.00
audioflux,dsp,src/filterbank/chroma_filterBank.c,filter_bank,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,None,80.00,None,80.00
audioflux,dsp,src/dsp/filterDesign_fir.c,None,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,filter_bank,90.00,None,90.00
audioflux,dsp,src/cqt_algorithm.c,general,feature,80.00,feature,80.00,feature,80.00,feature,80.00,feature,80.00,feature,80.00,feature,80.00,None,80.00,None,80.00
audioflux,dsp,include/dsp/czt_algorithm.h,None,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,None,80.00,None,80.00
audioflux,dsp,include/emd_algorithm.h,general,general,70.00,general,70.00,general,70.00,general,70.00,general,70.00,general,70.00,None,70.00,None,70.00,None,70.00
audioflux,dsp,src/dsp/dft_algorithm.c,None,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,None,80.00,None,80.00
audioflux,dsp,src/dsp/conv_algorithm.h,None,general,50.00,general,50.00,general,50.00,general,50.00,None,50.00,None,50.00,None,50.00,None,50.00,None,50.00
audioflux,dsp,src/flux_base.h,general,None,40.00,None,40.00,None,40.00,None,40.00,None,40.00,None,40.00,None,40.00,None,40.00,None,40.00
audioflux,dsp,src/mir/harmonicRatio_algorithm.h,mir,mir,70.00,mir,70.00,mir,70.00,mir,70.00,mir,70.00,mir,70.00,None,70.00,None,70.00,None,70.00
audioflux,dsp,src/mir/_pitch_stft.h,mir,mir,60.00,mir,60.00,mir,60.00,mir,60.00,mir,60.00,None,60.00,None,60.00,None,60.00,None,60.00
audioflux,dsp,src/filterbank/cwt_filterBank.h,filter_bank,None,45.00,None,45.00,None,45.00,None,45.00,None,45.00,None,45.00,None,45.00,None,45.00,None,45.00
audioflux,dsp,src/cwt_algorithm.c,general,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,include/spectrogram_algorithm.h,general,feature,85.00,feature,85.00,feature,85.00,feature,85.00,feature,85.00,feature,85.00,feature,85.00,feature,85.00,None,85.00
audioflux,dsp,src/filterbank/auditory_weight.h,filter_bank,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,filter_bank,80.00,None,80.00,None,80.00
audioflux,dsp,src/st_algorithm.c,general,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,None,80.00,None,80.00
audioflux,dsp,src/filterbank/cqt_filterBank.c,filter_bank,filter_bank,75.00,filter_bank,75.00,filter_bank,75.00,filter_bank,75.00,filter_bank,75.00,filter_bank,75.00,filter_bank,75.00,None,75.00,None,75.00
audioflux,dsp,src/dsp/resample_algorithm.h,None,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,None,90.00
audioflux,dsp,src/filterbank/nsgt_filterBank.c,filter_bank,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00,filter_bank,95.00
audioflux,dsp,src/flux_spectral.h,general,feature,95.00,feature,95.00,feature,95.00,feature,95.00,feature,95.00,feature,95.00,feature,95.00,feature,95.00,feature,95.00
audioflux,dsp,src/dsp/filterDesign_freqz.c,None,general,55.00,general,55.00,general,55.00,general,55.00,general,55.00,None,55.00,None,55.00,None,55.00,None,55.00
audioflux,dsp,src/dsp/fft_algorithm.h,None,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,src/feature/xxcc_algorithm.c,feature,feature,90.00,feature,90.00,feature,90.00,feature,90.00,feature,90.00,feature,90.00,feature,90.00,feature,90.00,None,90.00
audioflux,dsp,src/wpt_algorithm.c,general,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,include/hht_algorithm.h,general,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,src/dsp/fft_algorithm.c,None,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,general,85.00,None,85.00
audioflux,dsp,include/flux_base.h,general,general,55.00,general,55.00,general,55.00,general,55.00,general,55.00,None,55.00,None,55.00,None,55.00,None,55.00
audioflux,dsp,src/cwt_algorithm.h,general,general,70.00,general,70.00,general,70.00,general,70.00,general,70.00,general,70.00,None,70.00,None,70.00,None,70.00
audioflux,dsp,include/util/flux_util.h,general,general,55.00,general,55.00,general,55.00,general,55.00,general,55.00,None,55.00,None,55.00,None,55.00,None,55.00
audioflux,dsp,include/util/flux_wave.h,general,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,None,80.00,None,80.00
audioflux,dsp,include/cwd_algorithm.h,general,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,general,80.00,None,80.00,None,80.00
audioflux,dsp,src/filterbank/dwt_filterCoef.c,filter_bank,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,general,90.00,None,90.00
