Precision
Project,10,20,30,40,50,60,70,80,90
audioflux,0.2436,0.2405,0.2375,0.2375,0.2375,0.2561,0.2558,0.2889,0.2903
bgslibrary,0.1111,0.1277,0.1228,0.1493,0.1549,0.1398,0.1214,0.1059,0.1058
distributed_camera,0.0278,0.0278,0.0278,0.0278,0.0278,0.0541,0.1250,0.2174,0.2344
proxygen,0.0405,0.0405,0.0460,0.0460,0.0460,0.0460,0.0919,0.0990,0.1467

Recall
Project,10,20,30,40,50,60,70,80,90
audioflux,0.1473,0.1473,0.1473,0.1473,0.1473,0.1628,0.1705,0.2016,0.2791
bgslibrary,0.0909,0.1091,0.1273,0.1818,0.2000,0.2364,0.3091,0.3273,0.7636
distributed_camera,0.0132,0.0132,0.0132,0.0132,0.0132,0.0263,0.0658,0.1316,0.3947
proxygen,0.0805,0.0805,0.0920,0.0920,0.0920,0.0920,0.1954,0.2184,0.5057

F1
Project,10,20,30,40,50,60,70,80,90
audioflux,0.1836,0.1827,0.1818,0.1818,0.1818,0.1991,0.2047,0.2374,0.2846
bgslibrary,0.1000,0.1176,0.1250,0.1639,0.1746,0.1757,0.1744,0.1600,0.1858
distributed_camera,0.0179,0.0179,0.0179,0.0179,0.0179,0.0354,0.0862,0.1639,0.2941
proxygen,0.0538,0.0538,0.0613,0.0613,0.0613,0.0613,0.1250,0.1362,0.2274
