Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
audioflux,dsp,src/flux_spectral.c,general,mir,28.28,mir,28.28,None,28.28,None,28.28,None,28.28,None,28.28,None,28.28,None,28.28,None,28.28
audioflux,dsp,src/nsgt_algorithm.h,general,filter_bank,38.00,filter_bank,38.00,filter_bank,38.00,None,38.00,None,38.00,None,38.00,None,38.00,None,38.00,None,38.00
audioflux,dsp,src/wsst_algorithm.h,general,None,7.86,None,7.86,None,7.86,None,7.86,None,7.86,None,7.86,None,7.86,None,7.86,None,7.86
audioflux,dsp,src/mir/_pitch_stft.c,mir,mir,97.46,mir,97.46,mir,97.46,mir,97.46,mir,97.46,mir,97.46,mir,97.46,mir,97.46,mir,97.46
audioflux,dsp,src/filterbank/cqt_filterBank.c,filter_bank,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48,filter_bank,113.48
audioflux,dsp,include/st_algorithm.h,general,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87
audioflux,dsp,src/dsp/dct_algorithm.h,None,None,4.86,None,4.86,None,4.86,None,4.86,None,4.86,None,4.86,None,4.86,None,4.86,None,4.86
audioflux,dsp,src/st_algorithm.h,general,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87,None,5.87
audioflux,dsp,src/cqt_algorithm.c,general,mir,25.38,mir,25.38,None,25.38,None,25.38,None,25.38,None,25.38,None,25.38,None,25.38,None,25.38
audioflux,dsp,include/dsp/czt_algorithm.h,None,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,include/util/flux_util.h,general,mir,43.56,mir,43.56,mir,43.56,mir,43.56,None,43.56,None,43.56,None,43.56,None,43.56,None,43.56
audioflux,dsp,src/mir/onset_algorithm.h,mir,mir,93.50,mir,93.50,mir,93.50,mir,93.50,mir,93.50,mir,93.50,mir,93.50,mir,93.50,mir,93.50
audioflux,dsp,src/feature/deconv_algorithm.h,feature,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28
audioflux,dsp,src/dsp/conv_algorithm.h,None,general,10.20,None,10.20,None,10.20,None,10.20,None,10.20,None,10.20,None,10.20,None,10.20,None,10.20
audioflux,dsp,src/filterbank/dwt_filterCoef.h,filter_bank,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,filter_bank,87.63,None,87.63
audioflux,dsp,src/reassign_algorithm.h,general,None,7.25,None,7.25,None,7.25,None,7.25,None,7.25,None,7.25,None,7.25,None,7.25,None,7.25
audioflux,dsp,include/util/flux_wave.h,general,mir,15.61,None,15.61,None,15.61,None,15.61,None,15.61,None,15.61,None,15.61,None,15.61,None,15.61
audioflux,dsp,src/pwt_algorithm.c,general,filter_bank,65.70,filter_bank,65.70,filter_bank,65.70,filter_bank,65.70,filter_bank,65.70,filter_bank,65.70,None,65.70,None,65.70,None,65.70
audioflux,dsp,include/mir/hpss_algorithm.h,mir,mir,78.57,mir,78.57,mir,78.57,mir,78.57,mir,78.57,mir,78.57,mir,78.57,None,78.57,None,78.57
audioflux,dsp,include/feature/deconv_algorithm.h,feature,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28,feature,128.28
audioflux,dsp,include/dwt_algorithm.h,general,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,include/wpt_algorithm.h,general,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,src/pwt_algorithm.h,general,None,7.00,None,7.00,None,7.00,None,7.00,None,7.00,None,7.00,None,7.00,None,7.00,None,7.00
audioflux,dsp,src/swt_algorithm.h,general,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,src/mir/harmonicRatio_algorithm.h,mir,mir,76.91,mir,76.91,mir,76.91,mir,76.91,mir,76.91,mir,76.91,mir,76.91,None,76.91,None,76.91
audioflux,dsp,src/dwt_algorithm.h,general,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,src/bft_algorithm.h,general,filter_bank,38.69,filter_bank,38.69,filter_bank,38.69,None,38.69,None,38.69,None,38.69,None,38.69,None,38.69,None,38.69
audioflux,dsp,src/cqt_algorithm.h,general,filter_bank,38.00,filter_bank,38.00,filter_bank,38.00,None,38.00,None,38.00,None,38.00,None,38.00,None,38.00,None,38.00
audioflux,dsp,src/filterbank/nsgt_filterBank.c,filter_bank,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78,filter_bank,168.78
audioflux,dsp,src/dsp/czt_algorithm.h,None,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88,None,4.88
audioflux,dsp,src/flux_temporal.c,general,None,8.00,None,8.00,None,8.00,None,8.00,None,8.00,None,8.00,None,8.00,None,8.00,None,8.00
audioflux,dsp,src/feature/spectral_algorithm.h,feature,feature,126.00,feature,126.00,feature,126.00,feature,126.00,feature,126.00,feature,126.00,feature,126.00,feature,126.00,feature,126.00
audioflux,dsp,src/spectrogram_algorithm.h,general,filter_bank,38.66,filter_bank,38.66,filter_bank,38.66,None,38.66,None,38.66,None,38.66,None,38.66,None,38.66,None,38.66
