Precision
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.6545,0.6545,0.6545,0.6545,0.6268,0.6146,0.5748,0.5698,0.5800
jabref,0.8862,0.8862,0.8862,0.8862,0.8901,0.9035,0.9233,0.9383,0.9518
mediastore,0.9249,0.9249,0.9249,0.9249,0.9336,0.9482,0.9636,0.9700,0.9800
teammates,0.7999,0.7999,0.7999,0.7999,0.8082,0.8360,0.8947,0.9467,0.9752
teastore,0.9491,0.9491,0.9491,0.9491,0.9491,0.9551,0.9622,0.9779,0.9962

Recall
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.6846,0.6846,0.6846,0.6846,0.5967,0.5257,0.3888,0.2681,0.0655
jabref,0.9452,0.9452,0.9452,0.9452,0.9427,0.9348,0.9074,0.8184,0.5312
mediastore,0.9481,0.9481,0.9481,0.9481,0.9481,0.9227,0.8562,0.7446,0.3726
teammates,0.8648,0.8648,0.8648,0.8648,0.8562,0.8331,0.7802,0.6848,0.4047
teastore,0.9774,0.9774,0.9774,0.9774,0.9774,0.9730,0.9624,0.9465,0.7869

F1
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.6692,0.6692,0.6692,0.6692,0.6114,0.5667,0.4638,0.3646,0.1178
jabref,0.9148,0.9148,0.9148,0.9148,0.9156,0.9189,0.9153,0.8743,0.6818
mediastore,0.9363,0.9363,0.9363,0.9363,0.9408,0.9352,0.9068,0.8425,0.5399
teammates,0.8311,0.8311,0.8311,0.8311,0.8315,0.8345,0.8336,0.7947,0.5721
teastore,0.9630,0.9630,0.9630,0.9630,0.9630,0.9640,0.9623,0.9619,0.8793
