Precision
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.5718,0.5718,0.5718,0.5718,0.5718,0.5724,0.5764,0.5750,0.5791
jabref,0.8464,0.8464,0.8464,0.8464,0.8471,0.8575,0.8859,0.9057,0.9554
mediastore,0.8219,0.8219,0.8219,0.8219,0.8219,0.8219,0.8343,0.8343,0.8390
teammates,0.7464,0.7464,0.7464,0.7464,0.7464,0.7512,0.7703,0.7918,0.9025
teastore,0.9105,0.9105,0.9105,0.9105,0.9105,0.9199,0.9481,0.9510,0.9745

Recall
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.6582,0.6582,0.6582,0.6582,0.6582,0.6582,0.6582,0.6546,0.5987
jabref,0.9697,0.9697,0.9697,0.9697,0.9697,0.9697,0.9681,0.9669,0.9383
mediastore,0.9047,0.9047,0.9047,0.9047,0.9047,0.9047,0.9047,0.9047,0.8982
teammates,0.8831,0.8831,0.8831,0.8831,0.8831,0.8831,0.8823,0.8811,0.8236
teastore,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737,0.9737

F1
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.6119,0.6119,0.6119,0.6119,0.6119,0.6123,0.6146,0.6122,0.5888
jabref,0.9039,0.9039,0.9039,0.9039,0.9042,0.9101,0.9252,0.9353,0.9468
mediastore,0.8613,0.8613,0.8613,0.8613,0.8613,0.8613,0.8681,0.8681,0.8676
teammates,0.8090,0.8090,0.8090,0.8090,0.8090,0.8119,0.8226,0.8341,0.8613
teastore,0.9410,0.9410,0.9410,0.9410,0.9410,0.9460,0.9607,0.9622,0.9741
