Precision
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.1607,0.1607,0.1607,0.1754,0.1754,0.1724,0.1875,0.1818,0.1791
jabref,0.7672,0.8787,0.9098,0.9195,0.9230,0.9306,0.9305,0.9143,0.7973
mediastore,0.2500,0.2500,0.2500,0.3333,0.3333,0.3333,0.3333,0.3333,0.3571
teammates,0.0515,0.0800,0.1402,0.2000,0.2000,0.2955,0.5121,0.5903,0.5142
teastore,0.6667,0.8182,0.8605,0.8824,0.8868,0.8929,0.9077,0.9091,0.9041

Recall
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.0508,0.0508,0.0508,0.0565,0.0565,0.0565,0.0678,0.0678,0.1356
jabref,0.1232,0.2706,0.3772,0.4270,0.4478,0.5010,0.6304,0.7017,0.8740
mediastore,0.0769,0.0769,0.0769,0.1154,0.1154,0.1154,0.1538,0.1538,0.1923
teammates,0.0092,0.0147,0.0275,0.0421,0.0421,0.0714,0.1941,0.3114,0.7289
teastore,0.1667,0.3750,0.5139,0.6250,0.6528,0.6944,0.8194,0.8333,0.9167

F1
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.0773,0.0773,0.0773,0.0855,0.0855,0.0851,0.0996,0.0988,0.1543
jabref,0.2123,0.4138,0.5333,0.5832,0.6030,0.6514,0.7517,0.7940,0.8339
mediastore,0.1176,0.1176,0.1176,0.1714,0.1714,0.1714,0.2105,0.2105,0.2500
teammates,0.0156,0.0248,0.0459,0.0696,0.0696,0.1150,0.2815,0.4077,0.6030
teastore,0.2667,0.5143,0.6435,0.7317,0.7520,0.7812,0.8613,0.8696,0.9103
