Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
celery,app,app/routes.py,non,non,11.41,non-None,95.0,non,non,non
celery,app,bin/shell.py,non-None,non-None,154.93,non-None,98.0,non-None,non-None,non
celery,app,contrib/migrate.py,non-None,non-None,76.61,non-None,95.0,non-None,non-None,non
celery,app,worker/state.py,non-None,non-None,82.34,non-None,98.0,non-None,non-None,non
celery,app,worker/heartbeat.py,non-None,non-None,99.77,non-None,85.0,non-None,non-None,non
celery,app,apps/worker.py,non,non-None,141.0,non-None,82.0,non-None,non-None,non
celery,app,worker/consumer/control.py,non-None,non-None,80.56,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/heart.py,non-None,non-None,134.56,non-None,90.0,non-None,non-None,non
celery,app,concurrency/gevent.py,non-None,non-None,90.68,non-None,99.0,non-None,non-None,non
celery,app,platforms.py,non-None,non-None,123.02,non-None,90.0,non-None,non-None,non
celery,app,backends/cache.py,non-None,non-None,149.56,non-None,100.0,non-None,non-None,non
celery,app,utils/functional.py,non-None,non-None,72.77,non-None,99.0,non-None,non-None,non
celery,app,utils/iso8601.py,non-None,non-None,79.94,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/delayed_delivery.py,non-None,non-None,107.82,non-None,99.0,non-None,non-None,non
celery,app,utils/text.py,non-None,non-None,75.57,non-None,99.0,non-None,non-None,non
celery,app,contrib/pytest.py,non-None,non-None,106.47,non-None,99.0,non-None,non-None,non
celery,app,bin/purge.py,non-None,non-None,131.8,non-None,100.0,non-None,non-None,non
celery,app,backends/database/session.py,non-None,non-None,84.32,non-None,95.0,non-None,non-None,non
celery,app,apps/__init__.py,non,non,3.0,non,10.0,non,non,non
celery,app,app/defaults.py,non,non-None,124.4,non-None,90.0,non-None,non-None,non
celery,app,contrib/testing/mocks.py,non-None,non-None,89.23,non-None,90.0,non-None,non-None,non
celery,app,events/dispatcher.py,non-None,non-None,154.3,non-None,98.0,non-None,non-None,non
celery,app,beat.py,non-None,non-None,74.52,non,0.0,non,non,non
celery,app,backends/cosmosdbsql.py,non-None,non-None,107.25,non-None,100.0,non-None,non-None,non
celery,app,security/key.py,non-None,non-None,130.59,non-None,100.0,non-None,non-None,non
celery,app,bin/logtool.py,non-None,non-None,105.35,non-None,99.0,non-None,non-None,non
celery,app,contrib/abortable.py,non-None,non-None,102.41,non-None,100.0,non-None,non-None,non
celery,app,exceptions.py,non-None,non,48.02,non,25.0,non-None,non,non
celery,app,security/utils.py,non-None,non-None,128.7,non-None,90.0,non-None,non-None,non
celery,app,utils/term.py,non-None,non-None,74.88,non-None,95.0,non-None,non-None,non
celery,app,contrib/testing/worker.py,non-None,non-None,137.17,non,55.0,non-None,non-None,non
celery,app,app/autoretry.py,non,non,7.99,non,0.0,non-None,non-None,non
celery,app,worker/consumer/tasks.py,non-None,non-None,105.5,non,0.0,non-None,non-None,non
celery,app,backends/rpc.py,non-None,non-None,134.3,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/gossip.py,non-None,non-None,152.11,non-None,95.0,non-None,non-None,non
celery,app,app/control.py,non,non-None,96.19,non-None,99.0,non-None,non-None,non
celery,app,security/certificate.py,non-None,non-None,121.94,non-None,98.0,non-None,non-None,non
celery,app,worker/worker.py,non-None,non-None,136.46,non-None,99.0,non-None,non-None,non
celery,app,backends/database/models.py,non-None,non-None,82.19,non-None,100.0,non-None,non-None,non
celery,app,worker/consumer/connection.py,non-None,non-None,84.45,non-None,100.0,non-None,non-None,non
celery,app,utils/imports.py,non-None,non-None,83.23,non-None,95.0,non-None,non-None,non
celery,app,backends/couchdb.py,non-None,non-None,80.14,non-None,100.0,non-None,non-None,non
celery,app,utils/threads.py,non-None,non-None,79.34,non-None,85.0,non-None,non-None,non
celery,app,concurrency/prefork.py,non-None,non-None,112.77,non-None,100.0,non-None,non-None,non
celery,app,utils/deprecated.py,non-None,non-None,83.55,non-None,98.0,non-None,non-None,non
celery,app,backends/gcs.py,non-None,non-None,124.18,non-None,100.0,non-None,non-None,non
celery,app,app/amqp.py,non,non-None,112.29,non-None,98.0,non,non,non
celery,app,app/annotations.py,non,non,6.21,non-None,90.0,non-None,non,non
celery,app,events/dumper.py,non-None,non-None,152.56,non-None,95.0,non-None,non-None,non
celery,app,app/registry.py,non,non,14.3,non-None,85.0,non-None,non,non
celery,app,contrib/testing/__init__.py,non-None,non-None,101.78,non,10.0,non,non-None,non
celery,app,schedules.py,non-None,non-None,137.46,non-None,95.0,non,non,non
celery,app,_state.py,non-None,non-None,115.52,non-None,95.0,non-None,non-None,non
celery,app,contrib/testing/tasks.py,non-None,non-None,103.88,non-None,85.0,non-None,non-None,non
celery,app,backends/asynchronous.py,non-None,non-None,200.37,non-None,95.0,non-None,non-None,non
celery,app,concurrency/asynpool.py,non-None,non-None,124.78,non-None,95.0,non-None,non-None,non
celery,app,utils/nodenames.py,non-None,non-None,77.37,non-None,90.0,non-None,non-None,non
celery,app,bin/celery.py,non-None,non-None,137.58,non-None,100.0,non-None,non-None,non
celery,app,bin/upgrade.py,non-None,non-None,120.69,non-None,99.0,non-None,non-None,non
celery,app,app/utils.py,non,non-None,90.29,non-None,95.0,non-None,non-None,non
celery,app,app/task.py,non,non-None,114.76,non-None,93.0,non-None,non-None,non
celery,app,backends/s3.py,non-None,non-None,108.74,non-None,100.0,non-None,non-None,non
celery,app,contrib/sphinx.py,non-None,non-None,116.88,non-None,100.0,non-None,non-None,non
celery,app,worker/__init__.py,non-None,non-None,64.88,non-None,99.0,non-None,non-None,non
celery,app,bin/list.py,non-None,non-None,106.87,non-None,100.0,non-None,non-None,non
celery,app,utils/__init__.py,non-None,non-None,85.65,non-None,99.0,non-None,non-None,non
celery,app,backends/redis.py,non-None,non-None,127.55,non-None,99.0,non-None,non-None,non
celery,app,backends/__init__.py,non-None,non-None,79.68,non-None,100.0,non-None,non-None,non
celery,app,backends/mongodb.py,non-None,non-None,119.04,non-None,100.0,non-None,non-None,non
celery,app,contrib/django/task.py,non-None,non-None,102.24,non-None,85.0,non-None,non-None,non
celery,app,bin/worker.py,non-None,non-None,161.88,non-None,98.0,non-None,non-None,non
celery,app,loaders/app.py,non-None,non-None,97.0,non-None,99.0,non-None,non-None,non
celery,app,result.py,non-None,non-None,87.32,non-None,95.0,non-None,non,non
celery,app,concurrency/thread.py,non-None,non-None,118.34,non-None,98.0,non-None,non-None,non
celery,app,worker/consumer/consumer.py,non-None,non-None,147.88,non-None,98.0,non-None,non-None,non
celery,app,backends/cassandra.py,non-None,non-None,110.62,non-None,100.0,non-None,non-None,non
celery,app,utils/abstract.py,non-None,non-None,80.88,non-None,90.0,non,non-None,non
celery,app,contrib/testing/manager.py,non-None,non-None,132.65,non-None,95.0,non-None,non-None,non
celery,app,utils/annotations.py,non-None,non-None,82.89,non-None,95.0,non-None,non-None,non
celery,app,utils/sysinfo.py,non-None,non-None,82.09,non-None,99.0,non-None,non-None,non
celery,app,bin/result.py,non-None,non-None,109.87,non-None,100.0,non-None,non-None,non
celery,app,worker/request.py,non-None,non-None,185.96,non-None,98.0,non-None,non-None,non
celery,app,events/state.py,non-None,non-None,159.97,non,0.0,non-None,non-None,non
celery,app,fixups/__init__.py,non-None,non-None,140.25,non-None,100.0,non-None,non-None,non
celery,app,apps/beat.py,non,non-None,70.97,non-None,95.0,non-None,non-None,non
celery,app,backends/arangodb.py,non-None,non-None,120.07,non-None,100.0,non-None,non-None,non
celery,app,bin/__init__.py,non-None,non-None,98.93,non,0.0,non,non-None,non
celery,app,loaders/base.py,non-None,non-None,127.28,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/agent.py,non-None,non-None,71.42,non-None,95.0,non-None,non-None,non
celery,app,events/__init__.py,non-None,non-None,142.82,non-None,100.0,non-None,non-None,non
celery,app,signals.py,non-None,non-None,88.77,non-None,95.0,non-None,non-None,non
celery,app,bin/migrate.py,non-None,non-None,116.59,non-None,90.0,non-None,non-None,non
celery,app,loaders/__init__.py,non-None,non-None,171.36,non-None,95.0,non-None,non-None,non
celery,app,utils/log.py,non-None,non-None,116.25,non-None,99.0,non-None,non-None,non
celery,app,__main__.py,non-None,non-None,100.12,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/__init__.py,non-None,non-None,96.06,non-None,98.0,non-None,non-None,non
celery,app,backends/couchbase.py,non-None,non-None,116.88,non-None,100.0,non-None,non-None,non
celery,app,bin/graph.py,non-None,non-None,131.93,non-None,95.0,non-None,non-None,non
celery,app,loaders/default.py,non-None,non-None,159.61,non-None,99.0,non-None,non-None,non
celery,app,utils/serialization.py,non-None,non-None,80.25,non-None,98.0,non-None,non-None,non
celery,app,app/builtins.py,non,non-None,97.04,non-None,85.0,non,non,non
celery,app,events/snapshot.py,non-None,non-None,146.99,non-None,98.0,non-None,non-None,non
celery,app,app/base.py,non,non-None,220.22,non,15.0,non,non,non
celery,app,events/event.py,non-None,non-None,145.2,non-None,99.0,non-None,non-None,non
celery,app,local.py,non-None,non-None,73.75,non-None,90.0,non-None,non-None,non
celery,app,utils/dispatch/__init__.py,non-None,non-None,86.75,non-None,85.0,non-None,non-None,non
celery,app,app/__init__.py,non,non-None,56.3,non,10.0,non-None,non,non
celery,app,concurrency/base.py,non-None,non-None,113.21,non-None,95.0,non-None,non-None,non
celery,app,bin/base.py,non-None,non-None,105.41,non-None,95.0,non-None,non-None,non
celery,app,events/cursesmon.py,non-None,non-None,155.31,non-None,95.0,non-None,non-None,non
celery,app,worker/autoscale.py,non-None,non-None,127.77,non-None,99.0,non-None,non-None,non
celery,app,worker/consumer/events.py,non-None,non-None,194.32,non-None,85.0,non-None,non-None,non
celery,app,backends/filesystem.py,non-None,non-None,113.45,non-None,100.0,non-None,non-None,non
celery,app,app/events.py,non,non-None,109.35,non-None,99.0,non-None,non-None,non
celery,app,app/log.py,non,non-None,72.74,non,70.0,non-None,non-None,non
celery,app,bin/control.py,non-None,non-None,99.73,non-None,100.0,non-None,non-None,non
celery,app,fixups/django.py,non-None,non-None,213.67,non-None,85.0,non-None,non-None,non
celery,app,utils/graph.py,non-None,non-None,80.41,non-None,100.0,non-None,non-None,non
celery,app,worker/control.py,non-None,non-None,144.83,non-None,98.0,non-None,non-None,non
celery,app,worker/consumer/mingle.py,non-None,non-None,132.97,non-None,95.0,non-None,non-None,non
celery,app,worker/pidbox.py,non-None,non-None,131.34,non-None,85.0,non-None,non-None,non
celery,app,utils/quorum_queues.py,non-None,non-None,85.22,non-None,90.0,non-None,non-None,non
celery,app,utils/time.py,non-None,non-None,91.33,non-None,100.0,non-None,non-None,non
celery,app,utils/timer2.py,non-None,non-None,80.46,non,70.0,non-None,non-None,non
celery,app,apps/multi.py,non,non-None,79.08,non-None,95.0,non-None,non-None,non
celery,app,backends/elasticsearch.py,non-None,non-None,114.6,non-None,100.0,non-None,non-None,non
celery,app,utils/dispatch/signal.py,non-None,non-None,73.06,non-None,95.0,non-None,non-None,non
celery,app,utils/collections.py,non-None,non-None,98.59,non-None,95.0,non-None,non-None,non
celery,app,app/backends.py,non,non-None,162.57,non-None,95.0,non-None,non-None,non
celery,app,bin/amqp.py,non-None,non-None,123.57,non-None,90.0,non-None,non-None,non
celery,app,backends/database/__init__.py,non-None,non-None,120.6,non-None,100.0,non-None,non-None,non
celery,app,concurrency/eventlet.py,non-None,non-None,113.94,non-None,99.0,non-None,non-None,non
celery,app,canvas.py,non-None,non-None,66.79,non-None,95.0,non,non,non
celery,app,backends/base.py,non-None,non-None,128.23,non-None,99.0,non-None,non-None,non
celery,app,utils/saferepr.py,non-None,non-None,69.13,non-None,98.0,non-None,non-None,non
celery,app,worker/components.py,non-None,non-None,171.14,non-None,98.0,non-None,non-None,non
celery,app,bin/call.py,non-None,non-None,101.98,non-None,100.0,non-None,non-None,non
celery,app,concurrency/__init__.py,non-None,non-None,135.42,non-None,95.0,non-None,non-None,non
celery,app,security/__init__.py,non-None,non-None,156.41,non-None,98.0,non-None,non-None,non
celery,app,states.py,non-None,non,8.79,non-None,85.0,non-None,non-None,non
celery,app,security/serialization.py,non-None,non-None,146.13,non-None,99.0,non-None,non-None,non
celery,app,events/receiver.py,non-None,non-None,140.2,non-None,98.0,non-None,non-None,non
celery,app,contrib/testing/app.py,non-None,non-None,95.58,non-None,95.0,non-None,non-None,non
celery,app,contrib/django/__init__.py,non-None,non-None,102.83,non,10.0,non,non-None,non
celery,app,utils/debug.py,non-None,non-None,108.14,non-None,99.0,non-None,non-None,non
celery,app,app/trace.py,non,non-None,99.9,non-None,94.0,non-None,non-None,non
celery,app,bin/beat.py,non-None,non-None,130.39,non-None,100.0,non-None,non-None,non
celery,app,backends/consul.py,non-None,non-None,75.25,non-None,100.0,non-None,non-None,non
celery,app,worker/strategy.py,non-None,non-None,188.47,non-None,98.0,non-None,non-None,non
celery,app,bootsteps.py,non-None,non-None,87.61,non-None,95.0,non-None,non-None,non
celery,app,bin/events.py,non-None,non-None,125.72,non-None,95.0,non-None,non-None,non
celery,app,concurrency/solo.py,non-None,non-None,112.12,non-None,95.0,non-None,non-None,non
celery,app,utils/static/__init__.py,non-None,non-None,86.09,non-None,85.0,non-None,non-None,non
celery,app,bin/multi.py,non-None,non-None,132.55,non-None,99.0,non-None,non-None,non
celery,app,__init__.py,non-None,non-None,127.59,non-None,95.0,non-None,non-None,non
celery,app,backends/dynamodb.py,non-None,non-None,82.63,non-None,100.0,non-None,non-None,non
celery,app,backends/azureblockblob.py,non-None,non-None,99.66,non-None,99.0,non-None,non-None,non
celery,app,contrib/rdb.py,non-None,non-None,88.61,non-None,100.0,non-None,non-None,non
celery,app,worker/loops.py,non-None,non-None,149.54,non-None,90.0,non-None,non-None,non
celery,app,contrib/__init__.py,non-None,non-None,99.85,non,10.0,non,non-None,non
celery,app,utils/objects.py,non-None,non-None,87.46,non-None,99.0,non-None,non-None,non
celery,backends,app/routes.py,non-None,non-None,58.74,non-None,100.0,non-None,non-None,non
celery,backends,bin/shell.py,non-None,non-None,154.93,non-None,99.0,non-None,non-None,non
celery,backends,contrib/migrate.py,non-None,non-None,91.06,non,0.0,non-None,non-None,non
celery,backends,worker/state.py,non-None,non-None,82.34,non-None,98.0,non-None,non-None,non
celery,backends,worker/heartbeat.py,non-None,non-None,99.77,non,80.0,non-None,non-None,non
celery,backends,apps/worker.py,non-None,non-None,141.0,non-None,90.0,non-None,non-None,non
celery,backends,worker/consumer/control.py,non-None,non-None,80.56,non-None,100.0,non-None,non-None,non
celery,backends,worker/consumer/heart.py,non-None,non-None,134.56,non-None,95.0,non-None,non-None,non
celery,backends,concurrency/gevent.py,non-None,non-None,91.6,non-None,99.0,non-None,non-None,non
celery,backends,platforms.py,non-None,non-None,123.02,non-None,92.0,non-None,non-None,non
celery,backends,backends/cache.py,non,non-None,60.55,non,70.0,non,non,non
celery,backends,utils/functional.py,non-None,non-None,72.67,non-None,99.0,non-None,non-None,non
celery,backends,utils/iso8601.py,non-None,non-None,79.94,non-None,99.0,non-None,non-None,non
celery,backends,worker/consumer/delayed_delivery.py,non-None,non-None,106.76,non-None,99.0,non-None,non-None,non
celery,backends,utils/text.py,non-None,non-None,75.57,non-None,98.0,non-None,non-None,non
celery,backends,contrib/pytest.py,non-None,non-None,106.47,non-None,100.0,non-None,non-None,non
celery,backends,bin/purge.py,non-None,non-None,131.8,non-None,99.0,non-None,non-None,non
