Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
celery,app,app/routes.py,None,bin,11.41,None,11.41,None,11.41,None,11.41,None,11.41,None,11.41,None,11.41,None,11.41,None,11.41
celery,app,bin/shell.py,bin,bin,154.93,bin,154.93,bin,154.93,bin,154.93,bin,154.93,bin,154.93,bin,154.93,bin,154.93,bin,154.93
celery,app,contrib/migrate.py,contrib,contrib,76.61,contrib,76.61,contrib,76.61,contrib,76.61,contrib,76.61,contrib,76.61,contrib,76.61,None,76.61,None,76.61
celery,app,worker/state.py,worker,worker,82.34,worker,82.34,worker,82.34,worker,82.34,worker,82.34,worker,82.34,worker,82.34,worker,82.34,None,82.34
celery,app,worker/heartbeat.py,worker,events,99.77,events,99.77,events,99.77,events,99.77,events,99.77,events,99.77,events,99.77,events,99.77,events,99.77
celery,app,apps/worker.py,None,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00,loaders,141.00
celery,app,worker/consumer/control.py,worker,worker,80.56,worker,80.56,worker,80.56,worker,80.56,worker,80.56,worker,80.56,worker,80.56,worker,80.56,None,80.56
celery,app,worker/consumer/heart.py,worker,events,134.56,events,134.56,events,134.56,events,134.56,events,134.56,events,134.56,events,134.56,events,134.56,events,134.56
celery,app,concurrency/gevent.py,concurrency,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68,concurrency,90.68
celery,app,platforms.py,bin,security,123.02,security,123.02,security,123.02,security,123.02,security,123.02,security,123.02,security,123.02,security,123.02,security,123.02
celery,app,backends/cache.py,backends,backends,149.56,backends,149.56,backends,149.56,backends,149.56,backends,149.56,backends,149.56,backends,149.56,backends,149.56,backends,149.56
celery,app,utils/functional.py,utils,utils,72.77,utils,72.77,utils,72.77,utils,72.77,utils,72.77,utils,72.77,utils,72.77,None,72.77,None,72.77
celery,app,utils/iso8601.py,utils,utils,79.94,utils,79.94,utils,79.94,utils,79.94,utils,79.94,utils,79.94,utils,79.94,None,79.94,None,79.94
celery,app,worker/consumer/delayed_delivery.py,worker,bin,107.82,bin,107.82,bin,107.82,bin,107.82,bin,107.82,bin,107.82,bin,107.82,bin,107.82,bin,107.82
celery,app,utils/text.py,utils,utils,75.57,utils,75.57,utils,75.57,utils,75.57,utils,75.57,utils,75.57,utils,75.57,None,75.57,None,75.57
celery,app,contrib/pytest.py,contrib,worker,106.47,worker,106.47,worker,106.47,worker,106.47,worker,106.47,worker,106.47,worker,106.47,worker,106.47,worker,106.47
celery,app,bin/purge.py,bin,bin,131.80,bin,131.80,bin,131.80,bin,131.80,bin,131.80,bin,131.80,bin,131.80,bin,131.80,bin,131.80
celery,app,backends/database/session.py,backends,bin,84.32,bin,84.32,bin,84.32,bin,84.32,bin,84.32,bin,84.32,bin,84.32,bin,84.32,None,84.32
celery,app,apps/__init__.py,None,None,3.00,None,3.00,None,3.00,None,3.00,None,3.00,None,3.00,None,3.00,None,3.00,None,3.00
celery,app,app/defaults.py,None,events,124.40,events,124.40,events,124.40,events,124.40,events,124.40,events,124.40,events,124.40,events,124.40,events,124.40
celery,app,contrib/testing/mocks.py,contrib,contrib,89.23,contrib,89.23,contrib,89.23,contrib,89.23,contrib,89.23,contrib,89.23,contrib,89.23,contrib,89.23,None,89.23
celery,app,events/dispatcher.py,events,events,154.30,events,154.30,events,154.30,events,154.30,events,154.30,events,154.30,events,154.30,events,154.30,events,154.30
celery,app,beat.py,bin,bin,74.52,bin,74.52,bin,74.52,bin,74.52,bin,74.52,bin,74.52,bin,74.52,None,74.52,None,74.52
celery,app,backends/cosmosdbsql.py,backends,backends,107.25,backends,107.25,backends,107.25,backends,107.25,backends,107.25,backends,107.25,backends,107.25,backends,107.25,backends,107.25
celery,app,security/key.py,security,security,130.59,security,130.59,security,130.59,security,130.59,security,130.59,security,130.59,security,130.59,security,130.59,security,130.59
celery,app,bin/logtool.py,bin,bin,105.35,bin,105.35,bin,105.35,bin,105.35,bin,105.35,bin,105.35,bin,105.35,bin,105.35,bin,105.35
celery,app,contrib/abortable.py,contrib,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41
celery,app,exceptions.py,bin,backends,48.02,backends,48.02,backends,48.02,backends,48.02,None,48.02,None,48.02,None,48.02,None,48.02,None,48.02
celery,app,security/utils.py,security,security,128.70,security,128.70,security,128.70,security,128.70,security,128.70,security,128.70,security,128.70,security,128.70,security,128.70
celery,app,utils/term.py,utils,utils,74.88,utils,74.88,utils,74.88,utils,74.88,utils,74.88,utils,74.88,utils,74.88,None,74.88,None,74.88
celery,app,contrib/testing/worker.py,contrib,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17,concurrency,137.17
celery,app,app/autoretry.py,None,None,7.99,None,7.99,None,7.99,None,7.99,None,7.99,None,7.99,None,7.99,None,7.99,None,7.99
celery,app,worker/consumer/tasks.py,worker,worker,105.50,worker,105.50,worker,105.50,worker,105.50,worker,105.50,worker,105.50,worker,105.50,worker,105.50,worker,105.50
celery,app,backends/rpc.py,backends,backends,134.30,backends,134.30,backends,134.30,backends,134.30,backends,134.30,backends,134.30,backends,134.30,backends,134.30,backends,134.30
celery,app,worker/consumer/gossip.py,worker,events,152.11,events,152.11,events,152.11,events,152.11,events,152.11,events,152.11,events,152.11,events,152.11,events,152.11
celery,app,app/control.py,None,events,96.19,events,96.19,events,96.19,events,96.19,events,96.19,events,96.19,events,96.19,events,96.19,events,96.19
celery,app,security/certificate.py,security,security,121.94,security,121.94,security,121.94,security,121.94,security,121.94,security,121.94,security,121.94,security,121.94,security,121.94
celery,app,worker/worker.py,worker,events,136.46,events,136.46,events,136.46,events,136.46,events,136.46,events,136.46,events,136.46,events,136.46,events,136.46
celery,app,backends/database/models.py,backends,backends,82.19,backends,82.19,backends,82.19,backends,82.19,backends,82.19,backends,82.19,backends,82.19,backends,82.19,None,82.19
celery,app,worker/consumer/connection.py,worker,worker,84.45,worker,84.45,worker,84.45,worker,84.45,worker,84.45,worker,84.45,worker,84.45,worker,84.45,None,84.45
celery,app,utils/imports.py,utils,utils,83.23,utils,83.23,utils,83.23,utils,83.23,utils,83.23,utils,83.23,utils,83.23,utils,83.23,None,83.23
celery,app,backends/couchdb.py,backends,backends,80.14,backends,80.14,backends,80.14,backends,80.14,backends,80.14,backends,80.14,backends,80.14,backends,80.14,None,80.14
celery,app,utils/threads.py,utils,utils,79.34,utils,79.34,utils,79.34,utils,79.34,utils,79.34,utils,79.34,utils,79.34,None,79.34,None,79.34
celery,app,concurrency/prefork.py,concurrency,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77,concurrency,112.77
celery,app,utils/deprecated.py,utils,utils,83.55,utils,83.55,utils,83.55,utils,83.55,utils,83.55,utils,83.55,utils,83.55,utils,83.55,None,83.55
celery,app,backends/gcs.py,backends,backends,124.18,backends,124.18,backends,124.18,backends,124.18,backends,124.18,backends,124.18,backends,124.18,backends,124.18,backends,124.18
celery,app,app/amqp.py,None,events,112.29,events,112.29,events,112.29,events,112.29,events,112.29,events,112.29,events,112.29,events,112.29,events,112.29
celery,app,app/annotations.py,None,None,6.21,None,6.21,None,6.21,None,6.21,None,6.21,None,6.21,None,6.21,None,6.21,None,6.21
celery,app,events/dumper.py,events,events,152.56,events,152.56,events,152.56,events,152.56,events,152.56,events,152.56,events,152.56,events,152.56,events,152.56
celery,app,app/registry.py,None,bin,14.30,None,14.30,None,14.30,None,14.30,None,14.30,None,14.30,None,14.30,None,14.30,None,14.30
celery,app,contrib/testing/__init__.py,contrib,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78,contrib,101.78
celery,app,schedules.py,bin,events,137.46,events,137.46,events,137.46,events,137.46,events,137.46,events,137.46,events,137.46,events,137.46,events,137.46
celery,app,_state.py,bin,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52,fixups,115.52
celery,app,contrib/testing/tasks.py,contrib,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88,contrib,103.88
celery,app,backends/asynchronous.py,backends,events,200.37,events,200.37,events,200.37,events,200.37,events,200.37,events,200.37,events,200.37,events,200.37,events,200.37
celery,app,concurrency/asynpool.py,concurrency,events,124.78,events,124.78,events,124.78,events,124.78,events,124.78,events,124.78,events,124.78,events,124.78,events,124.78
celery,app,utils/nodenames.py,utils,utils,77.37,utils,77.37,utils,77.37,utils,77.37,utils,77.37,utils,77.37,utils,77.37,None,77.37,None,77.37
celery,app,bin/celery.py,bin,bin,137.58,bin,137.58,bin,137.58,bin,137.58,bin,137.58,bin,137.58,bin,137.58,bin,137.58,bin,137.58
celery,app,bin/upgrade.py,bin,bin,120.69,bin,120.69,bin,120.69,bin,120.69,bin,120.69,bin,120.69,bin,120.69,bin,120.69,bin,120.69
celery,app,app/utils.py,None,events,90.29,events,90.29,events,90.29,events,90.29,events,90.29,events,90.29,events,90.29,events,90.29,events,90.29
celery,app,app/task.py,None,events,114.76,events,114.76,events,114.76,events,114.76,events,114.76,events,114.76,events,114.76,events,114.76,events,114.76
celery,app,backends/s3.py,backends,backends,108.74,backends,108.74,backends,108.74,backends,108.74,backends,108.74,backends,108.74,backends,108.74,backends,108.74,backends,108.74
celery,app,contrib/sphinx.py,contrib,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88,contrib,116.88
celery,app,worker/__init__.py,worker,worker,64.88,worker,64.88,worker,64.88,worker,64.88,worker,64.88,worker,64.88,None,64.88,None,64.88,None,64.88
celery,app,bin/list.py,bin,bin,106.87,bin,106.87,bin,106.87,bin,106.87,bin,106.87,bin,106.87,bin,106.87,bin,106.87,bin,106.87
celery,app,utils/__init__.py,utils,utils,85.65,utils,85.65,utils,85.65,utils,85.65,utils,85.65,utils,85.65,utils,85.65,utils,85.65,None,85.65
celery,app,backends/redis.py,backends,backends,127.55,backends,127.55,backends,127.55,backends,127.55,backends,127.55,backends,127.55,backends,127.55,backends,127.55,backends,127.55
celery,app,backends/__init__.py,backends,backends,79.68,backends,79.68,backends,79.68,backends,79.68,backends,79.68,backends,79.68,backends,79.68,None,79.68,None,79.68
celery,app,backends/mongodb.py,backends,backends,119.04,backends,119.04,backends,119.04,backends,119.04,backends,119.04,backends,119.04,backends,119.04,backends,119.04,backends,119.04
celery,app,contrib/django/task.py,contrib,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24,contrib,102.24
celery,app,bin/worker.py,bin,bin,161.88,bin,161.88,bin,161.88,bin,161.88,bin,161.88,bin,161.88,bin,161.88,bin,161.88,bin,161.88
celery,app,loaders/app.py,loaders,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00
celery,app,result.py,bin,worker,87.32,worker,87.32,worker,87.32,worker,87.32,worker,87.32,worker,87.32,worker,87.32,worker,87.32,None,87.32
celery,app,concurrency/thread.py,concurrency,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34,concurrency,118.34
celery,app,worker/consumer/consumer.py,worker,events,147.88,events,147.88,events,147.88,events,147.88,events,147.88,events,147.88,events,147.88,events,147.88,events,147.88
celery,app,backends/cassandra.py,backends,backends,110.62,backends,110.62,backends,110.62,backends,110.62,backends,110.62,backends,110.62,backends,110.62,backends,110.62,backends,110.62
celery,app,utils/abstract.py,utils,utils,80.88,utils,80.88,utils,80.88,utils,80.88,utils,80.88,utils,80.88,utils,80.88,utils,80.88,None,80.88
celery,app,contrib/testing/manager.py,contrib,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65,contrib,132.65
celery,app,utils/annotations.py,utils,utils,82.89,utils,82.89,utils,82.89,utils,82.89,utils,82.89,utils,82.89,utils,82.89,utils,82.89,None,82.89
celery,app,utils/sysinfo.py,utils,utils,82.09,utils,82.09,utils,82.09,utils,82.09,utils,82.09,utils,82.09,utils,82.09,utils,82.09,None,82.09
celery,app,bin/result.py,bin,bin,109.87,bin,109.87,bin,109.87,bin,109.87,bin,109.87,bin,109.87,bin,109.87,bin,109.87,bin,109.87
celery,app,worker/request.py,worker,events,185.96,events,185.96,events,185.96,events,185.96,events,185.96,events,185.96,events,185.96,events,185.96,events,185.96
celery,app,events/state.py,events,events,159.97,events,159.97,events,159.97,events,159.97,events,159.97,events,159.97,events,159.97,events,159.97,events,159.97
celery,app,fixups/__init__.py,fixups,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25,fixups,140.25
celery,app,apps/beat.py,None,worker,70.97,worker,70.97,worker,70.97,worker,70.97,worker,70.97,worker,70.97,worker,70.97,None,70.97,None,70.97
celery,app,backends/arangodb.py,backends,backends,120.07,backends,120.07,backends,120.07,backends,120.07,backends,120.07,backends,120.07,backends,120.07,backends,120.07,backends,120.07
celery,app,bin/__init__.py,bin,bin,98.93,bin,98.93,bin,98.93,bin,98.93,bin,98.93,bin,98.93,bin,98.93,bin,98.93,bin,98.93
celery,app,loaders/base.py,loaders,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28,loaders,127.28
celery,app,worker/consumer/agent.py,worker,worker,71.42,worker,71.42,worker,71.42,worker,71.42,worker,71.42,worker,71.42,worker,71.42,None,71.42,None,71.42
celery,app,events/__init__.py,events,events,142.82,events,142.82,events,142.82,events,142.82,events,142.82,events,142.82,events,142.82,events,142.82,events,142.82
celery,app,signals.py,bin,worker,88.77,worker,88.77,worker,88.77,worker,88.77,worker,88.77,worker,88.77,worker,88.77,worker,88.77,None,88.77
celery,app,bin/migrate.py,bin,bin,116.59,bin,116.59,bin,116.59,bin,116.59,bin,116.59,bin,116.59,bin,116.59,bin,116.59,bin,116.59
