Precision
Project,10,20,30,40,50,60,70,80,90
celery,0.7374,0.7374,0.7374,0.7374,0.7383,0.7499,0.7747,0.7884,0.8701
fastmcp,0.6700,0.6700,0.6700,0.6700,0.6700,0.6835,0.7136,0.7408,0.7821
lerobot,0.6894,0.6894,0.6894,0.6894,0.6914,0.7028,0.7216,0.7286,0.6810
qlib,0.4825,0.4825,0.4825,0.4825,0.4844,0.4824,0.4929,0.5019,0.5947

Recall
Project,10,20,30,40,50,60,70,80,90
celery,0.7839,0.7839,0.7839,0.7839,0.7839,0.7824,0.7668,0.7512,0.5936
fastmcp,0.7690,0.7690,0.7690,0.7690,0.7690,0.7468,0.7468,0.7363,0.5175
lerobot,0.7954,0.7954,0.7954,0.7954,0.7901,0.7711,0.7485,0.7235,0.3946
qlib,0.4541,0.4541,0.4541,0.4541,0.4482,0.4229,0.3850,0.3547,0.1862

F1
Project,10,20,30,40,50,60,70,80,90
celery,0.7599,0.7599,0.7599,0.7599,0.7604,0.7658,0.7707,0.7694,0.7058
fastmcp,0.7161,0.7161,0.7161,0.7161,0.7161,0.7137,0.7298,0.7385,0.6229
lerobot,0.7386,0.7386,0.7386,0.7386,0.7375,0.7354,0.7348,0.7260,0.4997
qlib,0.4679,0.4679,0.4679,0.4679,0.4656,0.4507,0.4323,0.4157,0.2836
