Project,Module,File,GT,LLMProb@10,Score@10,LLMProb@20,Score@20,LLMProb@30,Score@30,LLMProb@40,Score@40,LLMProb@50,Score@50,LLMProb@60,Score@60,LLMProb@70,Score@70,LLMProb@80,Score@80,LLMProb@90,Score@90
celery,app,loaders/default.py,loaders,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00,loaders,95.00
celery,app,utils/__init__.py,utils,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00
celery,app,worker/__init__.py,worker,worker,100.00,worker,100.00,worker,100.00,worker,100.00,worker,100.00,worker,100.00,worker,100.00,worker,100.00,worker,100.00
celery,app,loaders/__init__.py,loaders,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00,loaders,100.00
celery,app,backends/filesystem.py,backends,backends,100.00,backends,100.00,backends,100.00,backends,100.00,backends,100.00,backends,100.00,backends,100.00,backends,100.00,backends,100.00
celery,app,states.py,bin,worker,85.00,worker,85.00,worker,85.00,worker,85.00,worker,85.00,worker,85.00,worker,85.00,worker,85.00,None,85.00
celery,app,_state.py,bin,None,30.00,None,30.00,None,30.00,None,30.00,None,30.00,None,30.00,None,30.00,None,30.00,None,30.00
celery,app,utils/iso8601.py,utils,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00,utils,95.00
celery,app,worker/components.py,worker,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00
celery,app,worker/consumer/events.py,worker,worker,80.00,worker,80.00,worker,80.00,worker,80.00,worker,80.00,worker,80.00,worker,80.00,None,80.00,None,80.00
celery,app,worker/consumer/agent.py,worker,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00,contrib,100.00
celery,app,app/annotations.py,None,loaders,80.00,loaders,80.00,loaders,80.00,loaders,80.00,loaders,80.00,loaders,80.00,loaders,80.00,None,80.00,None,80.00
celery,app,worker/request.py,worker,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00,worker,95.00
