Precision
Project,10,20,30,40,50,60,70,80,90
celery,0.7521,0.7521,0.7521,0.7521,0.7531,0.7574,0.7602,0.7674,0.8166
fastmcp,0.7135,0.7135,0.7135,0.7135,0.7135,0.7135,0.7296,0.7296,0.7790
lerobot,0.6387,0.6387,0.6387,0.6387,0.6387,0.6387,0.6554,0.6723,0.7019
qlib,0.5569,0.5569,0.5569,0.5569,0.5565,0.5641,0.5767,0.5816,0.6068

Recall
Project,10,20,30,40,50,60,70,80,90
celery,0.7827,0.7827,0.7827,0.7827,0.7827,0.7798,0.7783,0.7783,0.7684
fastmcp,0.7232,0.7232,0.7232,0.7232,0.7232,0.7232,0.7232,0.7232,0.7121
lerobot,0.6229,0.6229,0.6229,0.6229,0.6229,0.6229,0.6229,0.6229,0.5915
qlib,0.5574,0.5574,0.5574,0.5574,0.5565,0.5555,0.5466,0.5436,0.4775

F1
Project,10,20,30,40,50,60,70,80,90
celery,0.7671,0.7671,0.7671,0.7671,0.7676,0.7685,0.7691,0.7728,0.7918
fastmcp,0.7183,0.7183,0.7183,0.7183,0.7183,0.7183,0.7264,0.7264,0.7441
lerobot,0.6307,0.6307,0.6307,0.6307,0.6307,0.6307,0.6387,0.6466,0.6420
qlib,0.5571,0.5571,0.5571,0.5571,0.5565,0.5598,0.5612,0.5620,0.5345
