Precision
Project,10,20,30,40,50,60,70,80,90
celery,0.0612,0.0727,0.0645,0.0781,0.1176,0.1200,0.1392,0.1744,0.3261
fastmcp,0.1538,0.1538,0.1538,0.1538,0.2143,0.2143,0.3125,0.3125,0.3478
lerobot,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.2381,0.3043,0.3276
qlib,0.0690,0.0678,0.0656,0.0746,0.0725,0.0706,0.0732,0.0735,0.0761

Recall
Project,10,20,30,40,50,60,70,80,90
celery,0.0316,0.0421,0.0421,0.0526,0.0842,0.0947,0.1158,0.1579,0.4737
fastmcp,0.1333,0.1333,0.1333,0.1333,0.2000,0.2000,0.3333,0.3333,0.5333
lerobot,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.3125,0.4375,0.5938
qlib,0.0588,0.0588,0.0588,0.0735,0.0735,0.0882,0.1324,0.1471,0.3235

F1
Project,10,20,30,40,50,60,70,80,90
celery,0.0417,0.0533,0.0510,0.0629,0.0982,0.1059,0.1264,0.1657,0.3863
fastmcp,0.1429,0.1429,0.1429,0.1429,0.2069,0.2069,0.3226,0.3226,0.4211
lerobot,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.2703,0.3590,0.4222
qlib,0.0635,0.0630,0.0620,0.0741,0.0730,0.0784,0.0942,0.0980,0.1232
