Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
celery,app,worker/consumer/delayed_delivery.py,worker,bin,111.47,bin,111.47,bin,111.47,bin,111.47,bin,111.47,bin,111.47,bin,111.47,bin,111.47,bin,111.47
celery,app,app/registry.py,None,bin,19.03,None,19.03,None,19.03,None,19.03,None,19.03,None,19.03,None,19.03,None,19.03,None,19.03
celery,app,app/backends.py,None,backends,175.62,backends,175.62,backends,175.62,backends,175.62,backends,175.62,backends,175.62,backends,175.62,backends,175.62,backends,175.62
celery,app,bin/list.py,bin,bin,118.36,bin,118.36,bin,118.36,bin,118.36,bin,118.36,bin,118.36,bin,118.36,bin,118.36,bin,118.36
celery,app,backends/filesystem.py,backends,backends,120.85,backends,120.85,backends,120.85,backends,120.85,backends,120.85,backends,120.85,backends,120.85,backends,120.85,backends,120.85
celery,app,worker/autoscale.py,worker,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49,concurrency,135.49
celery,app,worker/consumer/control.py,worker,worker,86.21,worker,86.21,worker,86.21,worker,86.21,worker,86.21,worker,86.21,worker,86.21,worker,86.21,None,86.21
celery,app,worker/heartbeat.py,worker,events,110.56,events,110.56,events,110.56,events,110.56,events,110.56,events,110.56,events,110.56,events,110.56,events,110.56
celery,app,utils/threads.py,utils,utils,87.11,utils,87.11,utils,87.11,utils,87.11,utils,87.11,utils,87.11,utils,87.11,utils,87.11,None,87.11
celery,app,exceptions.py,bin,backends,51.17,backends,51.17,backends,51.17,backends,51.17,backends,51.17,None,51.17,None,51.17,None,51.17,None,51.17
celery,app,app/utils.py,None,events,98.48,events,98.48,events,98.48,events,98.48,events,98.48,events,98.48,events,98.48,events,98.48,events,98.48
celery,app,contrib/migrate.py,contrib,worker,83.61,worker,83.61,worker,83.61,worker,83.61,worker,83.61,worker,83.61,worker,83.61,worker,83.61,None,83.61
celery,app,utils/sysinfo.py,utils,utils,82.43,utils,82.43,utils,82.43,utils,82.43,utils,82.43,utils,82.43,utils,82.43,utils,82.43,None,82.43
celery,app,events/dumper.py,events,events,166.17,events,166.17,events,166.17,events,166.17,events,166.17,events,166.17,events,166.17,events,166.17,events,166.17
celery,app,backends/__init__.py,backends,backends,81.80,backends,81.80,backends,81.80,backends,81.80,backends,81.80,backends,81.80,backends,81.80,backends,81.80,None,81.80
celery,app,__init__.py,bin,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76,concurrency,138.76
celery,app,contrib/abortable.py,contrib,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41,contrib,102.41
celery,app,backends/couchdb.py,backends,backends,91.28,backends,91.28,backends,91.28,backends,91.28,backends,91.28,backends,91.28,backends,91.28,backends,91.28,backends,91.28
celery,app,contrib/testing/worker.py,contrib,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78,concurrency,147.78
celery,app,loaders/__init__.py,loaders,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36,loaders,171.36
celery,app,utils/time.py,utils,utils,107.07,utils,107.07,utils,107.07,utils,107.07,utils,107.07,utils,107.07,utils,107.07,utils,107.07,utils,107.07
celery,app,worker/consumer/mingle.py,worker,events,144.98,events,144.98,events,144.98,events,144.98,events,144.98,events,144.98,events,144.98,events,144.98,events,144.98
celery,app,app/__init__.py,None,bin,56.45,bin,56.45,bin,56.45,bin,56.45,bin,56.45,None,56.45,None,56.45,None,56.45,None,56.45
celery,app,bin/base.py,bin,bin,129.38,bin,129.38,bin,129.38,bin,129.38,bin,129.38,bin,129.38,bin,129.38,bin,129.38,bin,129.38
celery,app,bin/events.py,bin,bin,140.75,bin,140.75,bin,140.75,bin,140.75,bin,140.75,bin,140.75,bin,140.75,bin,140.75,bin,140.75
celery,app,app/base.py,None,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38,fixups,226.38
celery,app,loaders/app.py,loaders,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00,loaders,97.00
celery,app,signals.py,bin,worker,94.72,worker,94.72,worker,94.72,worker,94.72,worker,94.72,worker,94.72,worker,94.72,worker,94.72,worker,94.72
celery,app,backends/dynamodb.py,backends,backends,90.07,backends,90.07,backends,90.07,backends,90.07,backends,90.07,backends,90.07,backends,90.07,backends,90.07,backends,90.07
celery,app,backends/mongodb.py,backends,backends,135.87,backends,135.87,backends,135.87,backends,135.87,backends,135.87,backends,135.87,backends,135.87,backends,135.87,backends,135.87
celery,app,backends/redis.py,backends,backends,144.30,backends,144.30,backends,144.30,backends,144.30,backends,144.30,backends,144.30,backends,144.30,backends,144.30,backends,144.30
celery,app,concurrency/__init__.py,concurrency,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07,concurrency,147.07
