Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,non,non,5.55,Redis PubSub,85.00,non,non,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,non,non,5.29,Presentation Conversion,90.00,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/TextFileCreatorImp.java,Presentation Conversion,Presentation Conversion,99.53,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,97.10,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,FreeSWITCH,FreeSWITCH,108.02,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PresentationConvertMessage.java,Presentation Conversion,Presentation Conversion,94.61,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java,FreeSWITCH,FreeSWITCH,104.62,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionUpdateMessage.java,Presentation Conversion,Presentation Conversion,159.91,Presentation Conversion,90.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PresentationUrlDownloadService.java,Presentation Conversion,Presentation Conversion,137.86,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Pdf2PngPageConverterHandler.java,Presentation Conversion,Presentation Conversion,96.53,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,Presentation Conversion,Presentation Conversion,223.45,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,non,non,5.56,Redis PubSub,95.00,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/StunServer.java,non,non,5.51,non,0.00,non,non,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ImageSlidesGenerationService.java,Presentation Conversion,Presentation Conversion,210.87,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageConverter.java,Presentation Conversion,Presentation Conversion,106.13,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/HeartbeatThread.java,FreeSWITCH,FreeSWITCH,91.76,non,5.00,non,FreeSWITCH,non
