Precision
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.8194,0.8261,0.8282,0.8303,0.8313,0.8363,0.8418,0.8351,0.7799
jabref,0.9993,0.9993,0.9993,0.9993,0.9993,0.9993,0.9982,0.9972,0.9804
mediastore,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7429
teammates,0.9450,0.9302,0.9186,0.9186,0.9186,0.8884,0.8554,0.8370,0.5793
teastore,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9789

Recall
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.2490,0.2608,0.2647,0.2686,0.2706,0.2804,0.2922,0.3078,0.6392
jabref,0.8064,0.8239,0.8311,0.8353,0.8356,0.8366,0.8426,0.8504,0.9062
mediastore,0.0172,0.0172,0.0172,0.0345,0.0345,0.0690,0.1379,0.2759,0.8966
teammates,0.1981,0.2096,0.2128,0.2128,0.2128,0.2170,0.2233,0.2369,0.4057
teastore,0.7073,0.7256,0.7439,0.7561,0.7561,0.7622,0.7744,0.7805,0.8476

F1
Project,10,20,30,40,50,60,70,80,90
bigbluebutton,0.3820,0.3964,0.4012,0.4059,0.4083,0.4200,0.4338,0.4499,0.7026
jabref,0.8925,0.9031,0.9075,0.9100,0.9102,0.9107,0.9138,0.9180,0.9419
mediastore,0.0339,0.0339,0.0339,0.0667,0.0667,0.1290,0.2424,0.4324,0.8125
teammates,0.3276,0.3422,0.3455,0.3455,0.3455,0.3488,0.3541,0.3693,0.4772
teastore,0.8286,0.8410,0.8531,0.8611,0.8611,0.8651,0.8729,0.8767,0.9085
