Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,None,None,5.55,None,5.55,None,5.55,None,5.55,None,5.55,None,5.55,None,5.55,None,5.55,None,5.55
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,None,None,5.29,None,5.29,None,5.29,None,5.29,None,5.29,None,5.29,None,5.29,None,5.29,None,5.29
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/TextFileCreatorImp.java,Presentation Conversion,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53,Presentation Conversion,99.53
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10,Presentation Conversion,97.10
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,FreeSWITCH,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02,FreeSWITCH,108.02
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PresentationConvertMessage.java,Presentation Conversion,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61,Presentation Conversion,94.61
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java,FreeSWITCH,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62,FreeSWITCH,104.62
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionUpdateMessage.java,Presentation Conversion,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91,Presentation Conversion,159.91
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PresentationUrlDownloadService.java,Presentation Conversion,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86,Presentation Conversion,137.86
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Pdf2PngPageConverterHandler.java,Presentation Conversion,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53,Presentation Conversion,96.53
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,Presentation Conversion,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45,Presentation Conversion,223.45
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,None,None,5.56,None,5.56,None,5.56,None,5.56,None,5.56,None,5.56,None,5.56,None,5.56,None,5.56
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/StunServer.java,None,None,5.51,None,5.51,None,5.51,None,5.51,None,5.51,None,5.51,None,5.51,None,5.51,None,5.51
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ImageSlidesGenerationService.java,Presentation Conversion,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87,Presentation Conversion,210.87
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageConverter.java,Presentation Conversion,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13,Presentation Conversion,106.13
bigbluebutton,Apps__BBB web__FSESL,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/HeartbeatThread.java,FreeSWITCH,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76,FreeSWITCH,91.76
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/GetUsersCommand.java,FreeSWITCH,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46,FreeSWITCH,106.46
bigbluebutton,Apps__BBB web__FSESL,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java,None,Presentation Conversion,20.11,Presentation Conversion,20.11,None,20.11,None,20.11,None,20.11,None,20.11,None,20.11,None,20.11,None,20.11
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/Office2PdfPageConverter.java,Presentation Conversion,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01,Presentation Conversion,252.01
