Project,Module,File,GT,TFIDF,TFIDF Score,LLMProb,LLMProb Score,LLMAssign,LLMAssign-IPRAG,SAMCodeTLR
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/example/SimpleHangupPipelineFactory.java,FreeSWITCH,FSESL,101.78,FSESL,99.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ThumbnailCreator.java,Presentation Conversion,Presentation Conversion,103.36,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommand.java,FreeSWITCH,FreeSWITCH,105.53,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageDistributor.java,Redis PubSub,Redis PubSub,309.26,Redis PubSub,100.00,Redis PubSub,Redis PubSub,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/Util.java,Presentation Conversion,Presentation Conversion,97.94,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/FreeswitchStatusReplyEvent.java,FreeSWITCH,FreeSWITCH,100.74,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocConversionProgress.java,Presentation Conversion,Presentation Conversion,89.68,Presentation Conversion,90.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/web/services/UserCleanupTimerTask.java,non,non,7.48,non,0.00,non,non,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMemberFlags.java,FreeSWITCH,FreeSWITCH,107.09,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceCallStateEvent.java,FreeSWITCH,FreeSWITCH,101.80,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java,FreeSWITCH,FreeSWITCH,100.40,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/DelayCallback.java,non,non,9.99,Redis PubSub,85.00,non,non,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,Presentation Conversion,Presentation Conversion,100.78,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/UploadFileTimedoutMessage.java,Presentation Conversion,Presentation Conversion,143.49,Presentation Conversion,90.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/FreeswitchConferenceEventListener.java,FreeSWITCH,FreeSWITCH,87.12,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningEvent.java,FreeSWITCH,FreeSWITCH,101.92,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageConversionStarted.java,Presentation Conversion,Presentation Conversion,90.40,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/TransferUserToMeetingCommand.java,FreeSWITCH,FreeSWITCH,109.15,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Pdf2PngPageConverterHandler.java,Presentation Conversion,Presentation Conversion,96.53,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Office2PdfConverterHandler.java,Presentation Conversion,Presentation Conversion,94.53,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java,FreeSWITCH,FreeSWITCH,101.72,FreeSWITCH,98.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocInvalidMimeType.java,Presentation Conversion,Presentation Conversion,90.64,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java,FreeSWITCH,FSESL,98.15,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLockedEvent.java,FreeSWITCH,FreeSWITCH,102.54,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,non,non,5.56,Redis PubSub,100.00,non,non,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java,FreeSWITCH,FreeSWITCH,101.98,FreeSWITCH,99.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/web/services/EnteredUserCleanupTimerTask.java,non,non,7.48,non,0.00,non,non,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfPageCounter.java,Presentation Conversion,Presentation Conversion,106.58,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationToConvert.java,Presentation Conversion,Presentation Conversion,95.77,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ImageSlidesGenerationService.java,Presentation Conversion,Presentation Conversion,209.77,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserJoinedEvent.java,FreeSWITCH,FreeSWITCH,99.06,FreeSWITCH,99.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/Client.java,FreeSWITCH,FSESL,91.33,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,Presentation Conversion,Presentation Conversion,223.45,Presentation Conversion,98.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathCommands.java,non,non,3.22,Presentation Conversion,95.00,Presentation Conversion,non,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundClientHandler.java,FreeSWITCH,FSESL,100.82,FSESL,99.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/IVoiceConferenceService.java,FreeSWITCH,FreeSWITCH,97.47,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedDocumentFilter.java,Presentation Conversion,Presentation Conversion,140.17,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfPageDownscaler.java,Presentation Conversion,Presentation Conversion,96.94,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/event/EslEventHeaderNames.java,FreeSWITCH,FSESL,116.26,FSESL,99.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundPipelineFactory.java,FreeSWITCH,FSESL,100.10,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ExternalProcessExecutor.java,Presentation Conversion,Presentation Conversion,92.03,Presentation Conversion,98.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/GeneratedSlidesInfoHelper.java,Presentation Conversion,Presentation Conversion,95.40,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java,FreeSWITCH,FreeSWITCH,101.92,FreeSWITCH,98.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/MuteUserCommand.java,FreeSWITCH,FreeSWITCH,110.85,FreeSWITCH,98.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisStorageService.java,Redis DB,Redis DB,141.36,Redis DB,95.00,Redis DB,Redis DB,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/HeaderParser.java,FreeSWITCH,FSESL,87.97,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/ReceivedMessageHandler.java,Redis PubSub,Redis PubSub,318.24,Redis PubSub,100.00,Redis PubSub,Redis PubSub,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/DefaultManagerConnection.java,FreeSWITCH,FSESL,87.10,FSESL,99.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionMessageConstants.java,Presentation Conversion,Presentation Conversion,136.67,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/ExampleClient.java,FreeSWITCH,FSESL,105.46,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java,non,non,17.74,Presentation Conversion,95.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,105.37,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Png2SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,94.53,Presentation Conversion,99.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/ReceivedMessage.java,Redis PubSub,Redis PubSub,314.07,Redis PubSub,100.00,Redis PubSub,Redis PubSub,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageCounter.java,Presentation Conversion,Presentation Conversion,102.30,Presentation Conversion,98.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java,FreeSWITCH,FreeSWITCH,106.46,FreeSWITCH,99.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisAwareCommunicator.java,Redis DB,Redis PubSub,169.42,Redis PubSub,95.00,Redis PubSub,Redis PubSub,non
bigbluebutton,Apps__BBB web,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java,non,non,5.39,Presentation Conversion,95.00,non,non,non
bigbluebutton,Apps__BBB web,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/IEslEventListener.java,FreeSWITCH,FSESL,103.55,FSESL,100.00,FSESL,FSESL,non
bigbluebutton,Apps__BBB web,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java,non,non,6.38,Presentation Conversion,95.00,non,non,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java,FreeSWITCH,FreeSWITCH,111.23,FreeSWITCH,95.00,FreeSWITCH,FreeSWITCH,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SupportedFileTypes.java,Presentation Conversion,Presentation Conversion,110.50,Presentation Conversion,98.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,non,non,6.00,Presentation Conversion,95.00,non,non,non
bigbluebutton,Apps__BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeToPdfConversionService.java,Presentation Conversion,Presentation Conversion,185.51,Presentation Conversion,100.00,Presentation Conversion,Presentation Conversion,non
bigbluebutton,Apps__BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,109.26,FreeSWITCH,100.00,FreeSWITCH,FreeSWITCH,non
