Project,Module,File,GT,LLMAssign-IPRAG
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacade.java,non,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacadeLocal.java,non,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacadeRemote.java,non,non
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccess.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessLocal.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenance.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceLocal.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceRemote.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessRemote.java,MediaAccess,MediaAccess
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagement.java,MediaManagement,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementLocal.java,MediaManagement,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementRemote.java,MediaManagement,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackaging.java,Packaging,Packaging
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingLocal.java,Packaging,Packaging
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingRemote.java,Packaging,Packaging
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagement.java,UserManagement,UserManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagementLocal.java,UserManagement,UserManagement
mediastore-无角色说明,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagementRemote.java,UserManagement,UserManagement
mediastore-无角色说明,Facade,Implementation/mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java,non,MediaManagement
mediastore-无角色说明,Facade,Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java,MediaAccess,MediaAccess
