file_path,dsp,feature,general,mir,best_module,best_likelihood
audioflux\include\hht_algorithm.h,1.4655463695526123,1.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
audioflux\src\vector\flux_vectorOp.h,15.517781257629395,1.8355485200881958,2.1821630001068115,0.9765719175338745,dsp,15.517781257629395
audioflux\include\temporal_algorithm.h,1.4568651914596558,9.832931518554688,1.862967610359192,13.103859901428223,mir,13.103859901428223
audioflux\src\st_algorithm.c,1.3043456077575684,1.0,4.048867225646973,0.27052944898605347,general,4.048867225646973
audioflux\include\vector\flux_vector.h,1.450846791267395,6.527839660644531,0.0,58.83108139038086,mir,58.83108139038086
audioflux\include\mir\harmonic_algorithm.h,1.4584681987762451,3.504462957382202,1.8659954071044922,81.55231475830078,mir,81.55231475830078
audioflux\src\wsst_algorithm.c,2.264864206314087,6.704462051391602,3.7982845306396484,29.85379409790039,mir,29.85379409790039
audioflux\src\stft_algorithm.c,12.524823188781738,1.8001737594604492,3.09694766998291,34.41990280151367,mir,34.41990280151367
audioflux\src\classic\hmm.c,29.20155906677246,3.909614086151123,35.439414978027344,29.31283950805664,general,35.439414978027344
audioflux\src\dsp\hilbert_algorithm.c,75.29686737060547,1.0,2.277926445007324,0.35410386323928833,dsp,75.29686737060547
audioflux\src\dsp\conv_algorithm.h,82.44979858398438,4.952935218811035,6.854717254638672,2.742093563079834,dsp,82.44979858398438
audioflux\src\mir\timeStretch_algorithm.h,1.4622524976730347,5.01844596862793,1.8731435537338257,77.2903060913086,mir,77.2903060913086
audioflux\src\vector\flux_vectorInt.c,0.0,0.0,0.47288182377815247,17.786420822143555,mir,17.786420822143555
audioflux\src\feature\xxcc_algorithm.h,1.4558027982711792,129.29539489746094,1.8609607219696045,2.405158042907715,feature,129.29539489746094
audioflux\src\reassign_algorithm.c,1.174378514289856,1.0,3.765604019165039,27.178380966186523,mir,27.178380966186523
audioflux\src\mir\_pitch_yin.c,10.540515899658203,3.1263394355773926,0.742802083492279,83.27397918701172,mir,83.27397918701172
audioflux\src\dsp\phase_vocoder.c,73.52943420410156,3.860976219177246,1.2095004320144653,3.2672016620635986,dsp,73.52943420410156
audioflux\include\vector\flux_complex.h,0.0,1.0041590929031372,0.3109874725341797,1.0439162254333496,mir,1.0439162254333496
audioflux\src\mir\_pitch_ncf.h,0.0,2.080145835876465,0.0,81.62765502929688,mir,81.62765502929688
audioflux\include\cqt_algorithm.h,2.4298152923583984,17.335468292236328,2.811873435974121,0.3820580542087555,feature,17.335468292236328
audioflux\src\filterbank\cwt_filterBank.h,1.0,6.884842872619629,1.0,0.9752228856086731,feature,6.884842872619629
audioflux\src\filterbank\coef\__coef_d.h,38.46221160888672,0.0,0.27974933385849,15.406521797180176,dsp,38.46221160888672
audioflux\include\ewt_algorithm.h,1.4655463695526123,1.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
audioflux\src\temporal_algorithm.h,1.4568651914596558,9.832931518554688,1.862967610359192,13.103859901428223,mir,13.103859901428223
