file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
audioflux\include\dsp\resample_algorithm.h,57.63401412963867,2.729431629180908,0.0,37.67992401123047,dsp,57.63401412963867
audioflux\include\cwt_algorithm.h,4.224999904632568,7.6323652267456055,2.0,1.1999998092651367,feature,7.6323652267456055
audioflux\include\dsp\conv_algorithm.h,61.765228271484375,4.683160781860352,1.7025713920593262,3.397578716278076,dsp,61.765228271484375
audioflux\include\dsp\czt_algorithm.h,62.8138427734375,1.0,0.0,1.2286430597305298,dsp,62.8138427734375
audioflux\include\classic\hmm.h,2.0,3.6879425048828125,2.6127655506134033,19.815595626831055,mir,19.815595626831055
audioflux\include\dsp\phase_vocoder.h,66.16899871826172,4.298744201660156,0.0,3.9771082401275635,dsp,66.16899871826172
audioflux\include\cepstrogram_algorithm.h,3.228006601333618,6.419361591339111,0.0,1.2026724815368652,feature,6.419361591339111
audioflux\include\cwd_algorithm.h,3.263174533843994,2.0,0.0,1.2339329719543457,dsp,3.263174533843994
audioflux\include\classic\viterbi.h,2.0,1.0,0.0,1.0,dsp,2.0
audioflux\include\dsp\xcorr_algorithm.h,62.26512908935547,1.0,0.0,1.2235870361328125,dsp,62.26512908935547
audioflux\include\feature\chroma_algorithm.h,3.251535415649414,106.5430908203125,0.0,3.2235870361328125,feature,106.5430908203125
audioflux\include\classic\nmf.h,2.0,1.713647723197937,1.1493722200393677,2.532496452331543,mir,2.532496452331543
audioflux\include\bft_algorithm.h,4.208502769470215,9.989035606384277,38.87900161743164,2.3573365211486816,filter_bank,38.87900161743164
audioflux\include\dsp\hilbert_algorithm.h,63.387939453125,2.0,0.0,1.2339329719543457,dsp,63.387939453125
audioflux\include\cqt_algorithm.h,4.185798168182373,15.517515182495117,38.0,1.1651540994644165,filter_bank,38.0
