file_path,dsp,feature,filter_bank,general,best_module,best_likelihood
include\dsp\resample_algorithm.h,95.00,0.00,0.00,5.00,dsp,95.00
include\dsp\xcorr_algorithm.h,90.00,5.00,0.00,5.00,dsp,90.00
include\dsp\czt_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\feature\xxcc_algorithm.h,5.00,95.00,3.00,2.00,feature,95.00
include\feature\deconv_algorithm.h,10.00,95.00,0.00,5.00,feature,95.00
include\feature\chroma_algorithm.h,5.00,95.00,10.00,3.00,feature,95.00
include\feature\spectral_algorithm.h,10.00,95.00,0.00,5.00,feature,95.00
include\filterbank\auditory_weight.h,15.00,5.00,95.00,5.00,filter_bank,95.00
include\mir\harmonicRatio_algorithm.h,10.00,90.00,0.00,5.00,feature,90.00
include\mir\_pitch_yin.h,90.00,5.00,0.00,5.00,dsp,90.00
include\mir\hpss_algorithm.h,90.00,5.00,0.00,5.00,dsp,90.00
include\mir\onset_algorithm.h,10.00,75.00,0.00,15.00,feature,75.00
include\util\flux_wave.h,5.00,0.00,0.00,95.00,general,95.00
include\util\flux_util.h,10.00,5.00,0.00,95.00,general,95.00
include\hht_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\emd_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\dwt_algorithm.h,90.00,5.00,2.00,3.00,dsp,90.00
include\fst_algorithm.h,90.00,2.00,1.00,7.00,dsp,90.00
include\cwt_algorithm.h,92.00,2.00,3.00,3.00,dsp,92.00
include\ewt_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\reassign_algorithm.h,10.00,0.00,0.00,90.00,general,90.00
include\cqt_algorithm.h,10.00,85.00,5.00,20.00,feature,85.00
include\cwd_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\nsgt_algorithm.h,90.00,0.00,10.00,30.00,dsp,90.00
include\flux_base.h,85.00,5.00,20.00,40.00,dsp,85.00
include\pwt_algorithm.h,90.00,0.00,5.00,5.00,dsp,90.00
include\temporal_algorithm.h,5.00,95.00,0.00,10.00,feature,95.00
include\wpt_algorithm.h,95.00,2.00,1.00,2.00,dsp,95.00
include\wvd_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\swt_algorithm.h,85.00,5.00,0.00,10.00,dsp,85.00
include\spectrogram_algorithm.h,15.00,90.00,5.00,30.00,feature,90.00
include\st_algorithm.h,90.00,0.00,0.00,10.00,dsp,90.00
include\synsq_algorithm.h,10.00,0.00,5.00,95.00,general,95.00
include\wsst_algorithm.h,15.00,0.00,0.00,85.00,general,85.00
src\dsp\czt_algorithm.c,95.00,0.00,0.00,5.00,dsp,95.00
src\dsp\filterDesign_fir.h,95.00,0.00,3.00,2.00,dsp,95.00
src\dsp\fft_algorithm.c,95.00,0.00,0.00,5.00,dsp,95.00
src\dsp\dft_algorithm.c,95.00,0.00,0.00,5.00,dsp,95.00
src\dsp\filterDesign_fir.c,98.00,0.00,2.00,0.00,dsp,98.00
src\dsp\conv_algorithm.h,95.00,20.00,5.00,30.00,dsp,95.00
src\dsp\dct_algorithm.h,95.00,3.00,0.00,2.00,dsp,95.00
src\dsp\czt_algorithm.h,95.00,0.00,0.00,5.00,dsp,95.00
src\dsp\conv_algorithm.c,95.00,2.00,1.00,2.00,dsp,95.00
