file_path,dp,IMBS,lb,LBP_MRF,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\dp\Image.cpp,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\Error.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\GrimsonGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\Image.h,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\Error.cpp,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,dp,98.00
bgslibrary\algorithms\dp\Eigenbackground.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\Eigenbackground.cpp,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\Bgs.h,99.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,99.00
bgslibrary\algorithms\dp\BgsParams.h,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,dp,98.00
bgslibrary\algorithms\dp\GrimsonGMM.cpp,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\PratiMediodBGS.h,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\WrenGA.h,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,dp,99.00
bgslibrary\algorithms\dp\MeanBGS.cpp,99.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,99.00
bgslibrary\algorithms\dp\MeanBGS.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
