file_path,IMBS,KDE,lb,LBP_MRF,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\dp\Image.h,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,3.00,TwoPoints,95.00
bgslibrary\algorithms\dp\Error.cpp,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\algorithms\dp\Image.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,TwoPoints,99.00
bgslibrary\algorithms\dp\Bgs.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\algorithms\dp\Error.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\algorithms\dp\BgsParams.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\algorithms\dp\GrimsonGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,4.00,TwoPoints,95.00
bgslibrary\algorithms\dp\Eigenbackground.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\dp\Eigenbackground.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,TwoPoints,99.00
bgslibrary\algorithms\dp\GrimsonGMM.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\dp\PratiMediodBGS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,TwoPoints,99.00
bgslibrary\algorithms\dp\MeanBGS.cpp,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,TwoPoints,98.00
bgslibrary\algorithms\dp\WrenGA.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\dp\ZivkovicAGMM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\dp\TextureBGS.h,0.00,0.00,0.00,90.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,LBP_MRF,90.00
bgslibrary\algorithms\dp\TextureBGS.cpp,0.00,0.00,0.00,90.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,LBP_MRF,90.00
bgslibrary\algorithms\dp\PratiMediodBGS.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\dp\MeanBGS.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\dp\WrenGA.h,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,5.00
