file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelCommon,ChannelSource,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
camera_hdf\hdi_impl\include\dcamera_device\dcamera_device.h,2.00,3.00,1.00,1.00,2.00,1.00,1.00,5.00,98.00,1.00,VirtualCameraHdf,98.00
camera_hdf\hdi_impl\include\dcamera_device\dmetadata_processor.h,5.00,5.00,0.00,0.00,10.00,0.00,0.00,20.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dcamera_host\dcamera_host.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\include\dcamera_provider\dcamera_provider.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,98.00,2.00,VirtualCameraHdf,98.00
camera_hdf\hdi_impl\include\dstream_operator\dimage_buffer.h,5.00,5.00,10.00,3.00,60.00,2.00,2.00,40.00,5.00,85.00,utils,85.00
camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dstream_operator\dstream_operator.h,5.00,5.00,0.00,0.00,3.00,0.00,0.00,10.00,95.00,2.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,5.00,5.00,5.00,3.00,30.00,5.00,5.00,15.00,2.00,30.00,None,30.00
camera_hdf\hdi_impl\include\dstream_operator\dcamera_steam.h,5.00,5.00,0.00,0.00,10.00,0.00,0.00,15.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\utils\dcamera.h,0.00,0.00,0.00,0.00,2.00,0.00,0.00,8.00,0.00,90.00,utils,90.00
camera_hdf\hdi_impl\include\utils\constants.h,5.00,5.00,10.00,0.00,15.00,0.00,0.00,85.00,5.00,20.00,CameraServiceCommon,85.00
camera_hdf\hdi_impl\src\dcamera_device\dmetadata_processor.cpp,5.00,10.00,0.00,0.00,30.00,5.00,5.00,70.00,15.00,10.00,CameraServiceCommon,70.00
camera_hdf\hdi_impl\src\dcamera_device\dcamera_device.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dcamera_host\dcamera_host.cpp,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,80.00,0.00,VirtualCameraHdf,80.00
camera_hdf\hdi_impl\src\dcamera_provider\dcamera_provider.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dstream_operator\dimage_buffer.cpp,5.00,5.00,5.00,5.00,10.00,5.00,5.00,15.00,5.00,90.00,utils,90.00
camera_hdf\hdi_impl\src\dstream_operator\dstream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,98.00,2.00,VirtualCameraHdf,98.00
camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dstream_operator\dcamera_steam.cpp,5.00,10.00,0.00,0.00,5.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dstream_operator\dbuffer_manager.cpp,5.00,5.00,5.00,5.00,70.00,10.00,5.00,20.00,3.00,12.00,CameraDataProcessCommon,70.00
camera_hdf\hdi_impl\src\utils\dcamera.cpp,0.00,0.00,5.00,0.00,3.00,0.00,0.00,10.00,0.00,95.00,utils,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.h,90.00,5.00,1.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,DistributedCameraSourceMgr,90.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.h,25.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,55.00,5.00,VirtualCameraHdf,55.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.cpp,10.00,15.00,0.00,0.00,0.00,0.00,0.00,5.00,90.00,5.00,VirtualCameraHdf,90.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.cpp,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.cpp,2.00,2.00,1.00,1.00,1.00,1.00,1.00,8.00,98.00,1.00,VirtualCameraHdf,98.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,80.00,0.00,VirtualCameraHdf,80.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.cpp,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.h,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.cpp,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,95.00,5.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\client\operator\doffline_stream_operator_proxy.h,2.00,3.00,1.00,1.00,1.00,0.00,0.00,5.00,98.00,2.00,VirtualCameraHdf,98.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.cpp,2.00,3.00,1.00,1.00,1.00,0.00,0.00,5.00,96.00,1.00,VirtualCameraHdf,96.00
