file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
include\dsp\czt_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
include\dsp\xcorr_algorithm.h,85.00,1.00,10.00,4.00,dsp,85.00
include\dsp\resample_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\feature\spectral_algorithm.h,85.00,10.00,5.00,0.00,dsp,85.00
include\feature\deconv_algorithm.h,85.00,3.00,10.00,2.00,dsp,85.00
include\feature\xxcc_algorithm.h,10.00,3.00,85.00,2.00,general,85.00
include\feature\chroma_algorithm.h,10.00,5.00,30.00,55.00,mir,55.00
include\filterbank\auditory_weight.h,20.00,60.00,10.00,10.00,filter_bank,60.00
include\mir\hpss_algorithm.h,0.00,0.00,0.00,95.00,mir,95.00
include\mir\harmonicRatio_algorithm.h,10.00,5.00,25.00,60.00,mir,60.00
include\mir\_pitch_yin.h,0.00,0.00,0.00,100.00,mir,100.00
include\mir\onset_algorithm.h,10.00,5.00,30.00,55.00,mir,55.00
include\util\flux_wave.h,10.00,10.00,80.00,10.00,general,80.00
include\util\flux_util.h,70.00,0.00,20.00,10.00,dsp,70.00
include\dwt_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\ewt_algorithm.h,30.00,10.00,50.00,10.00,general,50.00
include\cqt_algorithm.h,10.00,3.00,85.00,2.00,general,85.00
include\cwd_algorithm.h,75.00,3.00,20.00,2.00,dsp,75.00
include\flux_base.h,30.00,30.00,20.00,20.00,None,30.00
include\reassign_algorithm.h,10.00,5.00,85.00,0.00,general,85.00
include\cwt_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\pwt_algorithm.h,50.00,40.00,9.00,1.00,dsp,50.00
include\nsgt_algorithm.h,30.00,10.00,55.00,5.00,general,55.00
include\fst_algorithm.h,70.00,5.00,20.00,5.00,dsp,70.00
include\emd_algorithm.h,30.00,10.00,40.00,20.00,None,40.00
include\hht_algorithm.h,80.00,10.00,50.00,5.00,dsp,80.00
include\spectrogram_algorithm.h,0.00,0.00,90.00,0.00,general,90.00
include\st_algorithm.h,70.00,5.00,20.00,5.00,dsp,70.00
include\wpt_algorithm.h,10.00,10.00,80.00,0.00,general,80.00
include\synsq_algorithm.h,40.00,0.00,0.00,0.00,None,40.00
include\temporal_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\wvd_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\swt_algorithm.h,40.00,10.00,45.00,5.00,None,45.00
include\wsst_algorithm.h,60.00,8.00,30.00,2.00,dsp,60.00
src\dsp\dft_algorithm.c,95.00,0.00,0.00,0.00,dsp,95.00
src\dsp\fft_algorithm.h,80.00,3.00,15.00,2.00,dsp,80.00
src\dsp\dct_algorithm.c,60.00,5.00,30.00,5.00,dsp,60.00
src\dsp\filterDesign_fir.c,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\dct_algorithm.h,85.00,3.00,10.00,2.00,dsp,85.00
src\dsp\filterDesign_fir.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\fft_algorithm.c,30.00,0.00,70.00,0.00,general,70.00
src\dsp\czt_algorithm.h,60.00,5.00,30.00,5.00,dsp,60.00
src\dsp\czt_algorithm.c,80.00,0.00,0.00,0.00,dsp,80.00
src\dsp\conv_algorithm.c,80.00,5.00,10.00,5.00,dsp,80.00
src\dsp\conv_algorithm.h,90.00,0.00,0.00,0.00,dsp,90.00
src\dsp\dft_algorithm.h,90.00,5.00,10.00,0.00,dsp,90.00
src\dsp\filterDesign_iir.c,0.00,0.00,0.00,0.00,None,0.00
src\dsp\flux_correct.c,0.00,0.00,85.00,0.00,general,85.00
