file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelSource,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
camera_hdf\hdi_impl\include\dcamera_device\dcamera_device.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dcamera_device\dmetadata_processor.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,CameraServiceCommon,70.00
camera_hdf\hdi_impl\include\dcamera_host\dcamera_host.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
camera_hdf\hdi_impl\include\dcamera_provider\dcamera_provider.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,0.00,0.00,0.00,0.00,75.00,0.00,0.00,15.00,0.00,10.00,CameraDataProcessCommon,75.00
camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dstream_operator\dimage_buffer.h,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
camera_hdf\hdi_impl\include\dstream_operator\dstream_operator.h,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dstream_operator\dcamera_steam.h,10.00,10.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,None,10.00
camera_hdf\hdi_impl\include\utils\dcamera.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
camera_hdf\hdi_impl\include\utils\constants.h,5.00,5.00,5.00,5.00,15.00,5.00,5.00,30.00,5.00,35.00,None,35.00
camera_hdf\hdi_impl\src\dcamera_device\dcamera_device.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,80.00,5.00,VirtualCameraHdf,80.00
camera_hdf\hdi_impl\src\dcamera_device\dmetadata_processor.cpp,3.00,2.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,15.00,CameraServiceCommon,80.00
camera_hdf\hdi_impl\src\dcamera_host\dcamera_host.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
camera_hdf\hdi_impl\src\dcamera_provider\dcamera_provider.cpp,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
camera_hdf\hdi_impl\src\dstream_operator\dbuffer_manager.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\src\dstream_operator\dstream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\src\dstream_operator\dcamera_steam.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,CameraServiceCommon,70.00
camera_hdf\hdi_impl\src\dstream_operator\dimage_buffer.cpp,10.00,10.00,5.00,5.00,15.00,10.00,10.00,15.00,5.00,35.00,None,35.00
camera_hdf\hdi_impl\src\utils\dcamera.cpp,5.00,5.00,5.00,5.00,5.00,5.00,5.00,30.00,5.00,40.00,None,40.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.h,30.00,30.00,20.00,20.00,0.00,0.00,0.00,15.00,15.00,0.00,None,30.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback_stub.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,CameraServiceCommon,80.00
camera_hdf\interfaces\hdi_ipc\client\host\dcamera_host_callback.cpp,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_proxy.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
camera_hdf\interfaces\hdi_ipc\client\operator\doffline_stream_operator_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.cpp,20.00,20.00,15.00,15.00,5.00,5.00,5.00,25.00,30.00,5.00,None,30.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.cpp,80.00,40.00,10.00,10.00,5.00,5.00,5.00,30.00,5.00,5.00,DistributedCameraSourceMgr,80.00
camera_hdf\interfaces\hdi_ipc\client\operator\doffline_stream_operator_proxy.h,20.00,20.00,15.00,15.00,5.00,5.00,5.00,30.00,25.00,5.00,None,30.00
camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.h,20.00,15.00,10.00,5.00,0.00,0.00,0.00,30.00,25.00,0.00,None,30.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.h,0.00,85.00,0.00,10.00,0.00,0.00,0.00,5.00,0.00,0.00,DistributedCameraSinkMgr,85.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback.cpp,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,80.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback.h,10.00,5.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_callback_stub.h,10.00,10.00,5.00,5.00,0.00,0.00,0.00,70.00,0.00,0.00,CameraServiceCommon,70.00
camera_hdf\interfaces\hdi_ipc\config\host\dcamera_host_config.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,95.00,1.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\hdi_ipc\config\provider\dcamera_provider_config.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\ipc_data_utils.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,85.00,utils,85.00
camera_hdf\interfaces\include\idistributed_camera_provider_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\include\idistributed_camera_provider.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\interfaces\include\types.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
common\include\constants\distributed_camera_constants.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,None,40.00
common\include\constants\distributed_camera_errno.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,70.00,utils,70.00
common\include\utils\data_buffer.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
common\include\utils\dcamera_index.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,utils,80.00
common\include\utils\dcamera_utils_tools.h,5.00,5.00,5.00,5.00,10.00,5.00,5.00,15.00,5.00,60.00,utils,60.00
common\src\utils\data_buffer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
common\src\utils\dcamera_utils_tools.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,utils,100.00
interfaces\inner_kits\native_cpp\camera_sink\include\distributed_camera_sink_proxy.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
interfaces\inner_kits\native_cpp\camera_sink\include\dcamera_sink_handler_ipc.h,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
interfaces\inner_kits\native_cpp\camera_sink\include\idistributed_camera_sink.h,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,80.00
interfaces\inner_kits\native_cpp\camera_sink\include\dcamera_sink_handler.h,0.00,80.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,80.00
interfaces\inner_kits\native_cpp\camera_sink\src\dcamera_sink_handler_ipc.cpp,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,85.00
interfaces\inner_kits\native_cpp\camera_sink\src\dcamera_sink_handler.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_sink\src\distributed_camera_sink_proxy.cpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\idcamera_source_callback.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\dcamera_source_callback_stub.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,90.00
interfaces\inner_kits\native_cpp\camera_source\include\callback\dcamera_source_callback.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
interfaces\inner_kits\native_cpp\camera_source\include\dcamera_source_handler_ipc.h,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,75.00
interfaces\inner_kits\native_cpp\camera_source\include\idistributed_camera_source.h,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,70.00
interfaces\inner_kits\native_cpp\camera_source\include\distributed_camera_source_proxy.h,70.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,DistributedCameraSourceMgr,70.00
interfaces\inner_kits\native_cpp\camera_source\include\dcamera_source_handler.h,85.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,DistributedCameraSourceMgr,85.00
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback_stub.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
interfaces\inner_kits\native_cpp\camera_source\src\callback\dcamera_source_callback.cpp,70.00,10.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,70.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler_ipc.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
interfaces\inner_kits\native_cpp\camera_source\src\distributed_camera_source_proxy.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,85.00
interfaces\inner_kits\native_cpp\camera_source\src\dcamera_source_handler.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\base\include\icamera_controller.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
services\cameraservice\base\include\dcamera_open_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\base\include\dcamera_info_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,None,25.00
services\cameraservice\base\include\dcamera_channel_info_cmd.h,10.00,10.00,30.00,30.00,5.00,5.00,5.00,60.00,5.00,5.00,CameraServiceCommon,60.00
services\cameraservice\base\include\dcamera_metadata_setting_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,None,40.00
services\cameraservice\base\include\dcamera_event_cmd.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\base\include\dcamera_capture_info_cmd.h,70.00,70.00,60.00,60.00,20.00,10.00,10.00,80.00,10.00,50.00,CameraServiceCommon,80.00
services\cameraservice\base\include\dcamera_protocol.h,10.00,10.00,15.00,15.00,0.00,0.00,0.00,50.00,0.00,0.00,CameraServiceCommon,50.00
services\cameraservice\base\src\dcamera_open_info_cmd.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,CameraServiceCommon,85.00
services\cameraservice\base\src\dcamera_capture_info_cmd.cpp,0.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,0.00,85.00,utils,85.00
