file_path,DistributedCameraSourceMgr,ChannelCommon,ChannelSource,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
camera_hdf\hdi_impl\include\dcamera_device\dcamera_device.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dcamera_device\dmetadata_processor.h,0.00,0.00,0.00,0.00,15.00,0.00,0.00,80.00,0.00,5.00,CameraServiceCommon,80.00
camera_hdf\hdi_impl\include\dcamera_host\dcamera_host.h,35.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,45.00,0.00,None,45.00
camera_hdf\hdi_impl\include\dcamera_provider\dcamera_provider.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dstream_operator\dimage_buffer.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
camera_hdf\hdi_impl\include\dstream_operator\dstream_operator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,0.00,0.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,70.00,utils,70.00
camera_hdf\hdi_impl\include\dstream_operator\dcamera_steam.h,70.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,DistributedCameraSourceMgr,70.00
camera_hdf\hdi_impl\include\utils\constants.h,10.00,5.00,5.00,5.00,15.00,10.00,10.00,20.00,10.00,65.00,utils,65.00
camera_hdf\hdi_impl\include\utils\dcamera.h,10.00,5.00,5.00,5.00,15.00,5.00,5.00,25.00,30.00,20.00,None,30.00
camera_hdf\hdi_impl\src\dcamera_device\dcamera_device.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\hdi_impl\src\dcamera_device\dmetadata_processor.cpp,0.00,0.00,0.00,0.00,10.00,0.00,0.00,60.00,0.00,6.00,CameraServiceCommon,60.00
camera_hdf\hdi_impl\src\dcamera_host\dcamera_host.cpp,85.00,5.00,5.00,5.00,5.00,5.00,5.00,60.00,80.00,20.00,DistributedCameraSourceMgr,85.00
camera_hdf\hdi_impl\src\dcamera_provider\dcamera_provider.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,DistributedCameraSourceMgr,85.00
camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,20.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,70.00,0.00,VirtualCameraHdf,70.00
camera_hdf\hdi_impl\src\dstream_operator\dcamera_steam.cpp,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,70.00
camera_hdf\hdi_impl\src\dstream_operator\dimage_buffer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,utils,90.00
camera_hdf\hdi_impl\src\dstream_operator\dbuffer_manager.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\src\dstream_operator\dstream_operator.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\src\utils\dcamera.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,utils,85.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_callback_stub.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\interfaces\hdi_ipc\client\device\dcamera_device_proxy.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
