file_path,dp,IMBS,KDE,lb,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\dp\Eigenbackground.cpp,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,99.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\Bgs.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\Error.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\Image.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\Error.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\algorithms\dp\GrimsonGMM.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\BgsParams.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\GrimsonGMM.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\Image.h,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,dp,90.00
bgslibrary\algorithms\dp\Eigenbackground.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\MeanBGS.h,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,99.00
bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\PratiMediodBGS.cpp,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,99.00
bgslibrary\algorithms\dp\PratiMediodBGS.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\TextureBGS.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\WrenGA.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\TextureBGS.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\dp\MeanBGS.cpp,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\WrenGA.h,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,100.00
bgslibrary\algorithms\dp\ZivkovicAGMM.h,90.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,dp,90.00
bgslibrary\algorithms\IMBS\IMBS.cpp,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,100.00
bgslibrary\algorithms\IMBS\IMBS.hpp,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,IMBS,95.00
bgslibrary\algorithms\KDE\NPBGSubtractor.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,95.00
bgslibrary\algorithms\KDE\KernelTable.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,95.00
bgslibrary\algorithms\KDE\NPBGmodel.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\KDE\KernelTable.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,100.00
bgslibrary\algorithms\KDE\NPBGmodel.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KDE,95.00
