file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelCommon,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
camera_hdf\hdi_impl\include\dcamera_device\dmetadata_processor.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dcamera_device\dcamera_device.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,VirtualCameraHdf,85.00
camera_hdf\hdi_impl\include\dcamera_host\dcamera_host.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\hdi_impl\include\dcamera_provider\dcamera_provider.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
camera_hdf\hdi_impl\include\dstream_operator\dimage_buffer.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
camera_hdf\hdi_impl\include\dstream_operator\dcamera_steam.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,VirtualCameraHdf,90.00
camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\dstream_operator\dstream_operator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\include\utils\dcamera.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
camera_hdf\hdi_impl\include\utils\constants.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,utils,95.00
camera_hdf\hdi_impl\src\dcamera_device\dmetadata_processor.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,CameraServiceCommon,95.00
camera_hdf\hdi_impl\src\dcamera_device\dcamera_device.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,VirtualCameraHdf,95.00
camera_hdf\hdi_impl\src\dcamera_host\dcamera_host.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
camera_hdf\hdi_impl\src\dcamera_provider\dcamera_provider.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,VirtualCameraHdf,98.00
