file_path,Apps,BBB web,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,5.00,5.00,5.00,5.00,5.00,5.00,None,5.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,0.00,10.00,0.00,30.00,0.00,0.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,0.00,20.00,0.00,0.00,0.00,0.00,None,20.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,10.00,5.00,0.00,20.00,0.00,0.00,None,20.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,0.00,0.00,0.00,70.00,0.00,0.00,Presentation Conversion,70.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,5.00,15.00,0.00,30.00,0.00,0.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,20.00,25.00,5.00,30.00,5.00,5.00,None,30.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,0.00,0.00,90.00,0.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.00,0.00,90.00,0.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,5.00,0.00,95.00,0.00,5.00,5.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,0.00,0.00,85.00,0.00,0.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,10.00,5.00,90.00,0.00,5.00,5.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,3.00,1.00,85.00,0.00,1.00,10.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\AudioFloorChangedEvent.java,0.00,0.00,90.00,0.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceCallStateEvent.java,0.00,0.00,90.00,0.00,0.00,0.00,FreeSWITCH,90.00
