file_path,Apps,BBB web,FSESL,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,5.00,15.00,0.00,80.00,0.00,0.00,Presentation Conversion,80.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,30.00,20.00,5.00,25.00,0.00,0.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,0.00,10.00,0.00,40.00,0.00,0.00,None,40.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,10.00,20.00,5.00,40.00,5.00,5.00,None,40.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,5.00,15.00,2.00,20.00,1.00,2.00,None,20.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,0.00,5.00,0.00,10.00,0.00,0.00,None,10.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,5.00,10.00,5.00,30.00,5.00,5.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,20.00,15.00,5.00,25.00,5.00,5.00,None,25.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,20.00,5.00,60.00,0.00,10.00,5.00,FSESL,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,80.00,10.00,90.00,0.00,5.00,30.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,60.00,5.00,85.00,0.00,10.00,40.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,30.00,5.00,40.00,0.00,10.00,15.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,60.00,5.00,75.00,0.00,5.00,20.00,FSESL,75.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,10.00,1.00,80.00,1.00,5.00,50.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConferenceEvent.java,0.00,0.00,80.00,0.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,0.00,0.00,80.00,0.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceCallStateEvent.java,30.00,5.00,40.00,0.00,10.00,15.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchStatusReplyEvent.java,80.00,10.00,90.00,5.00,40.00,75.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningAndRecordingEvent.java,0.00,0.00,40.00,0.00,0.00,0.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,20.00,5.00,70.00,0.00,10.00,15.00,FSESL,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceStartRecordingEvent.java,70.00,5.00,80.00,0.00,10.00,60.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,30.00,5.00,40.00,5.00,10.00,10.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConferenceEventListener.java,0.00,0.00,80.00,0.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfMember.java,30.00,5.00,45.00,0.00,10.00,10.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\AudioFloorChangedEvent.java,20.00,5.00,70.00,0.00,10.00,30.00,FSESL,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,10.00,0.00,60.00,0.00,5.00,25.00,FSESL,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLockedEvent.java,80.00,10.00,85.00,5.00,15.00,50.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLeftEvent.java,75.00,5.00,90.00,1.00,10.00,20.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserJoinedEvent.java,80.00,5.00,90.00,1.00,10.00,30.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUsersStatusEvent.java,0.00,0.00,70.00,0.00,0.00,0.00,FSESL,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserMutedEvent.java,80.00,10.00,90.00,0.00,10.00,20.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserTalkingEvent.java,30.00,5.00,40.00,0.00,10.00,25.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckIfConfIsRunningCommand.java,10.00,5.00,80.00,0.00,5.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\ForceEjectUserCommand.java,70.00,5.00,85.00,0.00,10.00,60.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\BroadcastConferenceCommand.java,0.00,0.00,80.00,0.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectUserCommand.java,40.00,5.00,30.00,0.00,5.00,20.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,70.00,5.00,85.00,0.00,5.00,20.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,10.00,5.00,80.00,5.00,10.00,20.00,FSESL,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\ConferenceCheckRecordCommand.java,5.00,5.00,85.00,0.00,5.00,0.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckFreeswitchStatusCommand.java,10.00,5.00,85.00,0.00,10.00,15.00,FSESL,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\GetAllUsersCommand.java,0.00,0.00,90.00,0.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\GetUsersStatusCommand.java,5.00,5.00,80.00,5.00,5.00,20.00,FSESL,80.00
