file_path,Apps,BBB web,FSESL,FreeSWITCH,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,5.00,15.00,0.00,0.00,0.00,0.00,None,15.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,40.00,20.00,5.00,0.00,0.00,5.00,None,40.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,5.00,10.00,0.00,0.00,0.00,0.00,None,10.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,30.00,40.00,5.00,5.00,5.00,5.00,None,40.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,0.00,30.00,0.00,0.00,0.00,0.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,30.00,25.00,5.00,0.00,0.00,10.00,None,30.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,10.00,20.00,5.00,5.00,5.00,5.00,None,20.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,10.00,20.00,5.00,5.00,10.00,5.00,None,20.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,20.00,5.00,30.00,35.00,5.00,5.00,None,35.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,10.00,5.00,40.00,45.00,0.00,10.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,0.00,0.00,0.00,85.00,0.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,10.00,5.00,30.00,70.00,5.00,20.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,10.00,5.00,30.00,50.00,5.00,20.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,20.00,5.00,40.00,30.00,0.00,5.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConferenceEventListener.java,10.00,5.00,60.00,20.00,5.00,10.00,FSESL,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConferenceEvent.java,10.00,0.00,30.00,50.00,0.00,10.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfMember.java,0.00,0.00,70.00,0.00,0.00,0.00,FSESL,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceCallStateEvent.java,20.00,5.00,30.00,40.00,0.00,5.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,10.00,5.00,40.00,45.00,0.00,10.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,10.00,5.00,60.00,80.00,10.00,40.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchStatusReplyEvent.java,10.00,5.00,30.00,50.00,5.00,30.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,5.00,1.00,20.00,70.00,2.00,2.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,0.00,0.00,15.00,80.00,0.00,5.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceStartRecordingEvent.java,10.00,5.00,30.00,50.00,10.00,20.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningAndRecordingEvent.java,5.00,1.00,40.00,50.00,1.00,4.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\AudioFloorChangedEvent.java,10.00,5.00,60.00,70.00,5.00,30.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLockedEvent.java,5.00,0.00,30.00,60.00,0.00,5.00,FreeSWITCH,60.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUsersStatusEvent.java,10.00,5.00,40.00,45.00,5.00,20.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserJoinedEvent.java,10.00,5.00,40.00,45.00,0.00,0.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLeftEvent.java,0.00,0.00,0.00,45.00,0.00,0.00,None,45.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserMutedEvent.java,0.00,0.00,20.00,80.00,0.00,0.00,FreeSWITCH,80.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserTalkingEvent.java,10.00,5.00,30.00,40.00,10.00,15.00,None,40.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\ConferenceCheckRecordCommand.java,0.00,0.00,4.00,95.00,0.00,1.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,0.00,0.00,0.00,95.00,0.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DeafUserCommand.java,10.00,5.00,30.00,50.00,5.00,30.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\FreeswitchCommand.java,10.00,5.00,30.00,50.00,5.00,30.00,FreeSWITCH,50.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectUserCommand.java,5.00,0.00,20.00,70.00,0.00,5.00,FreeSWITCH,70.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\GetUsersStatusCommand.java,0.00,0.00,70.00,0.00,0.00,0.00,FSESL,70.00
