file_path,logic,gui,cli,preferences,best_module,best_likelihood
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationLoader.java,100.00,0.00,0.00,0.00,logic,100.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationPreferences.java,20.00,10.00,5.00,65.00,preferences,65.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationWriter.java,100.00,0.00,0.00,0.00,logic,100.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationFormat.java,100.00,0.00,0.00,0.00,logic,100.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,95.00,0.00,0.00,0.00,logic,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\Abbreviation.java,100.00,0.00,0.00,0.00,logic,100.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationParser.java,95.00,0.00,0.00,0.00,logic,95.00
src\main\java\org\jabref\cli\ArgumentProcessor.java,5.00,0.00,95.00,0.00,cli,95.00
src\main\java\org\jabref\cli\SystemOutputPrinter.java,0.00,0.00,90.00,0.00,cli,90.00
src\main\java\org\jabref\cli\Launcher.java,0.00,0.00,90.00,0.00,cli,90.00
src\main\java\org\jabref\cli\AuxCommandLine.java,10.00,5.00,95.00,0.00,cli,95.00
src\main\java\org\jabref\cli\JabRefCLI.java,5.00,0.00,95.00,10.00,cli,95.00
src\main\java\org\jabref\gui\actions\StandardActions.java,0.00,100.00,0.00,0.00,gui,100.00
src\main\java\org\jabref\gui\actions\JabRefAction.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\actions\Action.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\actions\ActionFactory.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\actions\Sources.java,5.00,90.00,0.00,5.00,gui,90.00
src\main\java\org\jabref\gui\actions\SimpleCommand.java,5.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\actions\ActionHelper.java,10.00,90.00,0.00,5.00,gui,90.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionInput.java,0.00,100.00,0.00,0.00,gui,100.00
src\main\java\org\jabref\gui\autocompleter\AppendPersonNamesStrategy.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\autocompleter\AppendWordsStrategy.java,10.00,80.00,5.00,5.00,gui,80.00
src\main\java\org\jabref\gui\autocompleter\ContentSelectorSuggestionProvider.java,5.00,90.00,0.00,5.00,gui,90.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionTextInputBinding.java,5.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\autocompleter\EmptySuggestionProvider.java,10.00,90.00,0.00,5.00,gui,90.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionStrategy.java,10.00,80.00,5.00,5.00,gui,80.00
src\main\java\org\jabref\gui\autocompleter\AutoCompleteFirstNameMode.java,10.00,80.00,5.00,15.00,gui,80.00
src\main\java\org\jabref\gui\autocompleter\BibEntrySuggestionProvider.java,0.00,90.00,0.00,0.00,gui,90.00
