file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,0.00,85.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,MediaManagement,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,100.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,MediaAccess,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,5.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,15.00,MediaAccess,70.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,5.00,10.00,0.00,0.00,0.00,0.00,0.00,70.00,15.00,MediaAccess,70.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,MediaAccess,70.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,10.00,80.00,5.00,5.00,5.00,5.00,5.00,20.00,5.00,MediaManagement,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,10.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,5.00,10.00,0.00,0.00,0.00,0.00,0.00,70.00,15.00,MediaAccess,70.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,30.00,80.00,0.00,0.00,10.00,0.00,0.00,20.00,10.00,MediaManagement,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,Packaging,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,100.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,10.00,0.00,90.00,5.00,0.00,0.00,0.00,0.00,0.00,UserManagement,90.00
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,95.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\MediaAccessImpl.java,5.00,10.00,5.00,5.00,5.00,5.00,10.00,60.00,35.00,MediaAccess,60.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\Audio.java,0.00,5.00,0.00,0.00,0.00,0.00,10.00,85.00,0.00,MediaAccess,85.00
