file_path,model,logic,cli,preferences,best_module,best_likelihood
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationFormat.java,0.00,95.00,0.00,0.00,logic,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\Abbreviation.java,0.00,95.00,0.00,0.00,logic,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationParser.java,0.00,98.00,0.00,0.00,logic,98.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationWriter.java,0.00,98.00,0.00,0.00,logic,98.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationLoader.java,0.00,95.00,0.00,0.00,logic,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationPreferences.java,5.00,95.00,2.00,30.00,logic,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,0.00,95.00,0.00,0.00,logic,95.00
src\main\java\org\jabref\cli\AuxCommandLine.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\ArgumentProcessor.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\JabRefCLI.java,0.00,0.00,99.00,0.00,cli,99.00
src\main\java\org\jabref\cli\Launcher.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\SystemOutputPrinter.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\gui\actions\Action.java,0.00,15.00,0.00,5.00,None,15.00
src\main\java\org\jabref\gui\actions\ActionFactory.java,5.00,45.00,5.00,5.00,None,45.00
src\main\java\org\jabref\gui\actions\ActionHelper.java,5.00,10.00,1.00,25.00,None,25.00
src\main\java\org\jabref\gui\actions\JabRefAction.java,5.00,20.00,2.00,3.00,None,20.00
src\main\java\org\jabref\gui\actions\SimpleCommand.java,5.00,12.00,1.00,2.00,None,12.00
src\main\java\org\jabref\gui\actions\Sources.java,5.00,40.00,2.00,5.00,None,40.00
src\main\java\org\jabref\gui\actions\StandardActions.java,0.00,70.00,0.00,0.00,logic,70.00
src\main\java\org\jabref\gui\autocompleter\AppendPersonNamesStrategy.java,5.00,85.00,0.00,10.00,logic,85.00
src\main\java\org\jabref\gui\autocompleter\AppendWordsStrategy.java,0.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletePreferences.java,0.00,0.00,0.00,95.00,preferences,95.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionInput.java,5.00,70.00,0.00,0.00,logic,70.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionStrategy.java,0.00,95.00,0.00,0.00,logic,95.00
src\main\java\org\jabref\gui\autocompleter\AutoCompleteFirstNameMode.java,0.00,0.00,0.00,85.00,preferences,85.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionTextInputBinding.java,0.00,12.00,0.00,3.00,None,12.00
src\main\java\org\jabref\gui\autocompleter\BibEntrySuggestionProvider.java,0.00,85.00,0.00,0.00,logic,85.00
src\main\java\org\jabref\gui\autocompleter\ContentSelectorSuggestionProvider.java,5.00,65.00,2.00,3.00,logic,65.00
src\main\java\org\jabref\gui\autocompleter\EmptySuggestionProvider.java,5.00,60.00,2.00,3.00,logic,60.00
src\main\java\org\jabref\gui\autocompleter\FieldValueSuggestionProvider.java,5.00,35.00,1.00,4.00,None,35.00
src\main\java\org\jabref\gui\autocompleter\JournalsSuggestionProvider.java,5.00,30.00,1.00,5.00,None,30.00
src\main\java\org\jabref\gui\autocompleter\PersonNameSuggestionProvider.java,0.00,70.00,0.00,0.00,logic,70.00
src\main\java\org\jabref\gui\autocompleter\PersonNameStringConverter.java,10.00,0.00,0.00,0.00,None,10.00
src\main\java\org\jabref\gui\autocompleter\ReplaceStrategy.java,5.00,25.00,1.00,5.00,None,25.00
src\main\java\org\jabref\gui\autocompleter\StringSuggestionProvider.java,0.00,2.00,0.00,1.00,None,2.00
src\main\java\org\jabref\gui\autocompleter\SuggestionProviders.java,0.00,75.00,0.00,0.00,logic,75.00
src\main\java\org\jabref\gui\autocompleter\SuggestionProvider.java,5.00,85.00,2.00,3.00,logic,85.00
src\main\java\org\jabref\gui\autocompleter\WordSuggestionProvider.java,5.00,85.00,2.00,3.00,logic,85.00
src\main\java\org\jabref\gui\auximport\FromAuxDialog.java,5.00,15.00,1.00,3.00,None,15.00
src\main\java\org\jabref\gui\auximport\AuxParserResultViewModel.java,5.00,70.00,0.00,0.00,logic,70.00
src\main\java\org\jabref\gui\auximport\NewSubLibraryAction.java,0.00,15.00,0.00,0.00,None,15.00
src\main\java\org\jabref\gui\backup\BackupResolverDialog.java,5.00,20.00,1.00,7.00,None,20.00
src\main\java\org\jabref\gui\bibtexextractor\BibtexExtractor.java,5.00,85.00,5.00,5.00,logic,85.00
src\main\java\org\jabref\gui\bibtexextractor\BibtexExtractorViewModel.java,5.00,75.00,2.00,3.00,logic,75.00
src\main\java\org\jabref\gui\bibtexextractor\ExtractBibtexAction.java,0.00,84.00,0.00,0.00,logic,84.00
src\main\java\org\jabref\gui\bibtexextractor\ExtractBibtexDialog.java,5.00,90.00,0.00,5.00,logic,90.00
src\main\java\org\jabref\gui\citationkeypattern\GenerateCitationKeySingleAction.java,0.00,90.00,0.00,0.00,logic,90.00
