file_path,model,gui,cli,preferences,best_module,best_likelihood
buildSrc\src\copied\java\org\jabref\logic\journals\Abbreviation.java,85.00,0.00,0.00,0.00,model,85.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationFormat.java,55.00,5.00,20.00,20.00,model,55.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationParser.java,15.00,5.00,5.00,75.00,preferences,75.00
buildSrc\src\copied\java\org\jabref\logic\journals\AbbreviationWriter.java,0.00,0.00,0.00,85.00,preferences,85.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationPreferences.java,5.00,0.00,0.00,95.00,preferences,95.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,20.00,5.00,3.00,72.00,preferences,72.00
buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationLoader.java,5.00,0.00,0.00,95.00,preferences,95.00
src\main\java\org\jabref\cli\AuxCommandLine.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\ArgumentProcessor.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\JabRefCLI.java,0.00,0.00,99.00,0.00,cli,99.00
src\main\java\org\jabref\cli\Launcher.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\cli\SystemOutputPrinter.java,0.00,0.00,98.00,0.00,cli,98.00
src\main\java\org\jabref\gui\actions\Action.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\actions\ActionFactory.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\actions\ActionHelper.java,3.00,95.00,1.00,1.00,gui,95.00
src\main\java\org\jabref\gui\actions\JabRefAction.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\actions\Sources.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\actions\SimpleCommand.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\actions\StandardActions.java,0.00,99.00,0.00,0.00,gui,99.00
src\main\java\org\jabref\gui\autocompleter\AppendPersonNamesStrategy.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\AppendWordsStrategy.java,1.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\AutoCompleteFirstNameMode.java,0.00,95.00,0.00,5.00,gui,95.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletePreferences.java,0.00,0.00,0.00,95.00,preferences,95.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionInput.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionStrategy.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\AutoCompletionTextInputBinding.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\BibEntrySuggestionProvider.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\autocompleter\EmptySuggestionProvider.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\ContentSelectorSuggestionProvider.java,1.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\FieldValueSuggestionProvider.java,0.00,95.00,0.00,0.00,gui,95.00
src\main\java\org\jabref\gui\autocompleter\JournalsSuggestionProvider.java,0.00,98.00,0.00,0.00,gui,98.00
src\main\java\org\jabref\gui\autocompleter\PersonNameSuggestionProvider.java,0.00,95.00,0.00,0.00,gui,95.00
