file_path,MediaManagement,UserManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,MediaAccess,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,Packaging,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,Packaging,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,Packaging,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,70.00,20.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,MediaManagement,70.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\Audio.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\MediaAccessImpl.java,20.00,5.00,10.00,5.00,15.00,5.00,5.00,95.00,30.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediamanagement\src\edu\kit\ipd\sdq\mediastore\ejb\mediamanagement\MediaManagementImpl.java,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,98.00
Implementation\mediastore.ejb.packaging\src\edu\kit\ipd\sdq\mediastore\ejb\packaging\PackagingImpl.java,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,Packaging,99.00
Implementation\mediastore.ejb.tagwatermarking\src\edu\kit\ipd\sdq\mediastore\ejb\tagwatermarking\TagWatermarkingImpl.java,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,TagWatermarking,98.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\User.java,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,UserDBAdapter,95.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\UserDBAdapterImpl.java,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,UserDBAdapter,98.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\SecurityUtil.java,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,98.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\UserManagementImpl.java,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,98.00
