file_path,Apps,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,90.00,0.00,10.00,0.00,0.00,Apps,90.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,95.00,0.00,0.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,95.00,0.00,5.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,95.00,0.00,5.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,100.00,0.00,0.00,0.00,0.00,Apps,100.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,95.00,0.00,0.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,95.00,0.00,0.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,95.00,0.00,5.00,0.00,0.00,Apps,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.00,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,0.00,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,0.00,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,0.00,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,0.00,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,0.00,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConferenceEventListener.java,0.00,95.00,0.00,0.00,5.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,0.00,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
