file_path,Apps,BBB web,FSESL,FreeSWITCH,Presentation Conversion,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,95.00,0.00,0.00,0.00,5.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,95.00,3.00,0.00,0.00,2.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,95.00,5.00,0.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,95.00,5.00,0.00,0.00,0.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,95.00,3.00,0.00,0.00,2.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,95.00,2.00,0.00,0.00,3.00,Apps,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,98.00,1.00,0.00,0.00,1.00,Apps,98.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,95.00,3.00,0.00,0.00,2.00,Apps,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,5.00,0.00,10.00,85.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.00,0.00,5.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,10.00,5.00,15.00,90.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,5.00,0.00,10.00,85.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConferenceEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,5.00,0.00,10.00,85.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,0.00,0.00,5.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,0.00,0.00,0.00,100.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfMember.java,0.00,0.00,5.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningAndRecordingEvent.java,0.00,0.00,0.00,100.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,5.00,0.00,10.00,85.00,0.00,FreeSWITCH,85.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\AudioFloorChangedEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceStartRecordingEvent.java,2.00,1.00,5.00,92.00,0.00,FreeSWITCH,92.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceCallStateEvent.java,5.00,3.00,10.00,82.00,0.00,FreeSWITCH,82.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchStatusReplyEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConferenceEventListener.java,0.00,0.00,5.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserTalkingEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserJoinedEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLeftEvent.java,5.00,0.00,10.00,95.00,0.00,FreeSWITCH,95.00
