file_path,UserManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,None,5.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,0.00,0.00,0.00,0.00,0.00,0.00,98.00,2.00,MediaAccess,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,40.00,5.00,0.00,0.00,0.00,0.00,50.00,5.00,MediaAccess,50.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,0.00,0.00,0.00,5.00,10.00,90.00,20.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,98.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,UserManagement,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,Packaging,99.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,95.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,Packaging,99.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,95.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,None,20.00
