file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,TagWatermarking,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,90.00,5.00,3.00,0.00,0.00,0.00,2.00,0.00,Facade,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,95.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,Facade,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,95.00,2.00,1.00,1.00,0.00,0.00,1.00,0.00,Facade,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,5.00,95.00,0.00,0.00,0.00,0.00,10.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,0.00,5.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,5.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,5.00,0.00,0.00,0.00,5.00,85.00,5.00,MediaAccess,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,5.00,95.00,0.00,0.00,0.00,0.00,10.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,5.00,95.00,0.00,0.00,0.00,0.00,10.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,0.00,5.00,0.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,5.00,10.00,0.00,0.00,0.00,0.00,95.00,20.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,0.00,0.00,0.00,0.00,0.00,0.00,98.00,2.00,MediaAccess,98.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,0.00,0.00,95.00,5.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,0.00,10.00,0.00,0.00,70.00,0.00,15.00,5.00,TagWatermarking,70.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,5.00,10.00,0.00,0.00,80.00,0.00,3.00,2.00,TagWatermarking,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,0.00,0.00,95.00,5.00,0.00,0.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,60.00,25.00,0.00,0.00,10.00,0.00,3.00,1.00,Facade,60.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,0.00,0.00,95.00,5.00,0.00,0.00,0.00,0.00,UserManagement,95.00
