file_path,Storage,Common,E2E,Client,best_module,best_likelihood
src\client\java\teammates\client\connector\DatastoreClient.java,10.00,0.00,0.00,90.00,Client,90.00
src\client\java\teammates\client\connector\package-info.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\statistics\StatisticsPerInstitute.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\statistics\package-info.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\statistics\StatisticsBundle.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\statistics\CursorIterator.java,5.00,10.00,0.00,85.00,Client,85.00
src\client\java\teammates\client\scripts\statistics\FileStore.java,5.00,10.00,0.00,95.00,Client,95.00
src\client\java\teammates\client\scripts\DataMigrationForSanitizedDataInCourseAttributes.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForSampleGoogleIdInStudentAttributes.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForGoogleIdToGmail.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationEntitiesBaseScript.java,0.00,5.00,0.00,95.00,Client,95.00
src\client\java\teammates\client\scripts\DataMigrationForSanitizedDataInInstructorAttributes.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForConstSumForceUnevenDistribution.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForNullCommentGiverType.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForFeedbackSessionMismatchedTimezone.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForInstructorNullIsArchivedField.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForInstructorFeedbackResponseComments.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataBundleRegenerator.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForContributionQuestionDetailsIsZeroSum.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForTeamNameInResponseGiver.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForSanitizedInstructorName.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForStudentsAndTeamsRecipientType.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\GoogleIdMigrationBaseScript.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForSanitizedDataInStudentAttributes.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\DataMigrationForTextQuestionRecommendedLength.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\ListActiveInstructors.java,0.00,0.00,0.00,100.00,Client,100.00
src\client\java\teammates\client\scripts\IndexFeedbackSessionFields.java,0.00,0.00,0.00,100.00,Client,100.00
