file_path,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Shapes.java,0.00,95.00,0.00,0.00,Presentation Conversion,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathCommands.java,0.00,95.00,0.00,0.00,Presentation Conversion,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,0.00,95.00,0.00,0.00,Presentation Conversion,95.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Bezier.java,0.00,90.00,0.00,0.00,Presentation Conversion,90.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierWrapper.java,0.00,0.00,0.00,0.00,None,0.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\PathData.java,0.00,90.00,0.00,0.00,Presentation Conversion,90.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,0.00,85.00,0.00,0.00,Presentation Conversion,85.00
akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\Geom.java,0.00,95.00,0.00,0.00,Presentation Conversion,95.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\GetUsersCommand.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\EjectUserCommand.java,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\MuteUserCommand.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\RecordCommand.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningEvent.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceCallStateEvent.java,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfMember.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConferenceEventListener.java,99.00,0.00,0.00,0.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningAndRecordingEvent.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConferenceEvent.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\AudioFloorChangedEvent.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchStatusReplyEvent.java,99.00,0.00,0.00,1.00,FreeSWITCH,99.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceStartRecordingEvent.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserJoinedEvent.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUserLeftEvent.java,100.00,0.00,0.00,0.00,FreeSWITCH,100.00
