file_path,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,20.00,0.00,10.00,0.00,0.00,90.00,15.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,0.00,0.00,0.00,0.00,5.00,90.00,5.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,0.00,0.00,0.00,0.00,5.00,95.00,10.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,0.00,0.00,0.00,0.00,5.00,90.00,5.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,0.00,0.00,0.00,0.00,0.00,90.00,5.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,0.00,0.00,0.00,10.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,30.00,5.00,5.00,5.00,2.00,40.00,13.00,None,40.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,0.00,5.00,10.00,5.00,0.00,90.00,30.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,0.00,0.00,0.00,0.00,5.00,95.00,10.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,0.00,0.00,0.00,5.00,90.00,5.00,MediaAccess,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,0.00,0.00,95.00,0.00,0.00,0.00,5.00,Packaging,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,90.00,0.00,0.00,0.00,10.00,0.00,0.00,UserDBAdapter,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,0.00,0.00,95.00,0.00,0.00,0.00,0.00,Packaging,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,80.00,0.00,0.00,0.00,15.00,0.00,0.00,UserDBAdapter,80.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,0.00,0.00,99.00,0.00,1.00,0.00,0.00,Packaging,99.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,90.00,0.00,0.00,0.00,5.00,5.00,0.00,UserDBAdapter,90.00
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,5.00,0.00,0.00,0.00,0.00,75.00,10.00,MediaAccess,75.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\MediaAccessImpl.java,0.00,0.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\Audio.java,5.00,0.00,0.00,0.00,10.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediamanagement\src\edu\kit\ipd\sdq\mediastore\ejb\mediamanagement\MediaManagementImpl.java,0.00,0.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation\mediastore.ejb.packaging\src\edu\kit\ipd\sdq\mediastore\ejb\packaging\PackagingImpl.java,0.00,0.00,99.00,0.00,0.00,0.00,0.00,Packaging,99.00
Implementation\mediastore.ejb.tagwatermarking\src\edu\kit\ipd\sdq\mediastore\ejb\tagwatermarking\TagWatermarkingImpl.java,0.00,100.00,0.00,0.00,0.00,0.00,0.00,TagWatermarking,100.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\User.java,95.00,0.00,0.00,0.00,5.00,0.00,0.00,UserDBAdapter,95.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\UserDBAdapterImpl.java,98.00,0.00,0.00,0.00,2.00,0.00,0.00,UserDBAdapter,98.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\SecurityUtil.java,15.00,0.00,0.00,0.00,75.00,5.00,0.00,Database,75.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\UserManagementImpl.java,10.00,0.00,0.00,0.00,0.00,0.00,0.00,None,10.00
