file_path,Facade,MediaManagement,UserManagement,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementRemote.java,5.00,95.00,0.00,0.00,0.00,10.00,0.00,MediaManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeRemote.java,95.00,2.00,1.00,0.00,1.00,1.00,0.00,Facade,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessLocal.java,0.00,5.00,0.00,0.00,2.00,95.00,3.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacade.java,90.00,5.00,40.00,0.00,0.00,15.00,0.00,Facade,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IFacadeLocal.java,95.00,2.00,1.00,0.00,1.00,1.00,0.00,Facade,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceLocal.java,0.00,5.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenance.java,0.00,5.00,0.00,0.00,10.00,85.00,10.00,MediaAccess,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagement.java,5.00,90.00,0.00,0.00,0.00,15.00,10.00,MediaManagement,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessMaintenanceRemote.java,0.00,5.00,0.00,0.00,0.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaManagementLocal.java,5.00,90.00,0.00,0.00,0.00,5.00,0.00,MediaManagement,90.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccessRemote.java,5.00,5.00,0.00,0.00,0.00,95.00,5.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IMediaAccess.java,5.00,10.00,0.00,0.00,5.00,95.00,20.00,MediaAccess,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackaging.java,5.00,85.00,0.00,5.00,0.00,3.00,2.00,MediaManagement,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagement.java,5.00,0.00,95.00,0.00,10.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingRemote.java,85.00,5.00,1.00,1.00,1.00,4.00,3.00,Facade,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IPackagingLocal.java,0.00,85.00,0.00,5.00,0.00,5.00,5.00,MediaManagement,85.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementRemote.java,5.00,0.00,95.00,0.00,5.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.basic\src\edu\kit\ipd\sdq\mediastore\basic\interfaces\IUserManagementLocal.java,5.00,0.00,95.00,0.00,5.00,0.00,0.00,UserManagement,95.00
Implementation\mediastore.ejb.facade\src\edu\kit\ipd\sdq\mediastore\ejb\facade\FacadeImpl.java,95.00,2.00,3.00,0.00,0.00,0.00,0.00,Facade,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\Audio.java,0.00,0.00,0.00,0.00,5.00,95.00,0.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediaaccess\src\edu\kit\ipd\sdq\mediastore\ejb\mediaaccess\MediaAccessImpl.java,0.00,5.00,0.00,0.00,10.00,95.00,15.00,MediaAccess,95.00
Implementation\mediastore.ejb.mediamanagement\src\edu\kit\ipd\sdq\mediastore\ejb\mediamanagement\MediaManagementImpl.java,2.00,95.00,0.00,0.00,1.00,3.00,1.00,MediaManagement,95.00
Implementation\mediastore.ejb.packaging\src\edu\kit\ipd\sdq\mediastore\ejb\packaging\PackagingImpl.java,10.00,90.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,90.00
Implementation\mediastore.ejb.tagwatermarking\src\edu\kit\ipd\sdq\mediastore\ejb\tagwatermarking\TagWatermarkingImpl.java,0.00,95.00,0.00,0.00,0.00,5.00,0.00,MediaManagement,95.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\UserDBAdapterImpl.java,0.00,0.00,20.00,0.00,90.00,0.00,0.00,Database,90.00
Implementation\mediastore.ejb.userdbadapter\src\edu\kit\ipd\sdq\mediastore\ejb\userdbadapter\User.java,0.00,0.00,15.00,0.00,85.00,0.00,0.00,Database,85.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\SecurityUtil.java,0.00,0.00,99.00,0.00,1.00,0.00,0.00,UserManagement,99.00
Implementation\mediastore.ejb.usermanagement\ejbModule\edu\kit\ipd\sdq\mediastore\ejb\usermanagement\UserManagementImpl.java,0.00,0.00,99.00,0.00,1.00,0.00,0.00,UserManagement,99.00
