file_path,cli,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,35.33888244628906,16.20213508605957,59.65796661376953,68.6894302368164,21.397476196289062,114.91098022460938,utilities,114.91098022460938
fastmcp\tests\deprecated\test_elicitation.py,67.68692779541016,5.682480335235596,11.746726989746094,4.2620954513549805,35.12595748901367,13.049590110778809,cli,67.68692779541016
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,72.1048812866211,10.48289966583252,65.74420928955078,59.19670867919922,36.21625900268555,30.540912628173828,cli,72.1048812866211
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,125.22273254394531,13.148721694946289,36.02870559692383,74.48502349853516,22.735815048217773,125.30404663085938,utilities,125.30404663085938
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,71.88677978515625,5.99118709564209,55.41511154174805,71.59229278564453,9.0558443069458,42.4747428894043,cli,71.88677978515625
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,101.91973114013672,0.7233613133430481,2.5615460872650146,58.15421676635742,2.9093756675720215,23.310453414916992,cli,101.91973114013672
fastmcp\examples\testing_demo\server.py,15.393523216247559,64.2656021118164,45.92496871948242,59.732791900634766,33.67449188232422,16.841894149780273,prompts,64.2656021118164
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,75.10871887207031,168.76580810546875,141.7333221435547,67.55209350585938,118.94342041015625,47.30496597290039,prompts,168.76580810546875
fastmcp\examples\desktop.py,9.78084945678711,5.162158489227295,47.2763786315918,7.315558910369873,30.737873077392578,9.418139457702637,resources,47.2763786315918
fastmcp\tests\cli\test_mcp_server_config_integration.py,130.86289978027344,10.129656791687012,75.17900085449219,66.7803955078125,37.95219039916992,40.66944885253906,cli,130.86289978027344
fastmcp\tests\server\middleware\test_rate_limiting.py,80.12637329101562,6.1835808753967285,14.780074119567871,68.92710876464844,45.40581130981445,17.004100799560547,cli,80.12637329101562
fastmcp\tests\tools\tool_transform\test_args.py,77.870361328125,17.686996459960938,26.557384490966797,13.282379150390625,161.0453338623047,34.24875259399414,tools,161.0453338623047
fastmcp\tests\server\test_dependencies_advanced.py,79.10273742675781,65.43622589111328,67.69053649902344,61.86837387084961,116.73580932617188,30.37175941467285,tools,116.73580932617188
fastmcp\examples\diagnostics\client_with_tracing.py,77.02877807617188,158.294921875,146.22613525390625,66.47604370117188,111.65499114990234,32.42377471923828,prompts,158.294921875
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,46.498722076416016,75.86589050292969,85.82160949707031,65.73957824707031,66.27053833007812,51.2320671081543,resources,85.82160949707031
fastmcp\examples\atproto_mcp\demo.py,111.09715270996094,22.6430721282959,132.83343505859375,70.40089416503906,112.50814056396484,47.79275131225586,resources,132.83343505859375
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,149.32643127441406,105.59436798095703,119.40684509277344,94.22761535644531,113.78514099121094,76.8492431640625,cli,149.32643127441406
fastmcp\tests\server\test_logging.py,22.628032684326172,8.03178596496582,10.386994361877441,71.58470916748047,10.924884796142578,15.03454303741455,server,71.58470916748047
fastmcp\tests\client\client\test_mode_negotiation.py,63.84107208251953,9.58126449584961,17.184595108032227,63.878482818603516,39.18425750732422,23.789630889892578,server,63.878482818603516
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,127.8293228149414,13.145340919494629,25.40293312072754,73.05097198486328,40.65664291381836,28.085153579711914,cli,127.8293228149414
