file_path,configs,datasets,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\tests\policies\vla_jepa\test_world_model.py,2.7727303504943848,2.445537567138672,81.07023620605469,0.9125823974609375,7.806424140930176,policies,81.07023620605469
lerobot\src\lerobot\cameras\zmq\configuration_zmq.py,11.738577842712402,5.866923809051514,2.36529541015625,13.448929786682129,6.213144302368164,robot_devices,13.448929786682129
lerobot\src\lerobot\cameras\opencv\__init__.py,0.20876678824424744,0.20876678824424744,0.0,11.091257095336914,0.20876678824424744,robot_devices,11.091257095336914
lerobot\tests\policies\rtc\test_rtc_relative_actions.py,32.07827377319336,6.671658515930176,105.25898742675781,71.86070251464844,16.640352249145508,policies,105.25898742675781
lerobot\examples\lekiwi\replay.py,18.19693946838379,31.327848434448242,1.7176101207733154,58.296504974365234,5.811628818511963,robot_devices,58.296504974365234
lerobot\examples\so100_to_so100_EE\rollout.py,24.553808212280273,5.402792930603027,23.978145599365234,64.92696380615234,6.083244323730469,robot_devices,64.92696380615234
lerobot\src\lerobot\async_inference\robot_client.py,28.56144905090332,13.295595169067383,19.191606521606445,126.98048400878906,17.71257209777832,robot_devices,126.98048400878906
lerobot\tests\policies\pi0_pi05\test_pi05.py,27.646806716918945,37.11787796020508,98.81421661376953,32.04822540283203,10.677695274353027,policies,98.81421661376953
lerobot\tests\policies\test_gaussian_actor_config.py,28.689172744750977,37.14924621582031,89.81257629394531,29.148094177246094,13.34953498840332,policies,89.81257629394531
lerobot\tests\policies\lingbot_va\test_modules.py,12.350286483764648,13.826727867126465,89.48179626464844,30.628074645996094,16.80108642578125,policies,89.48179626464844
lerobot\tests\mocks\mock_serial_patch.py,3.653597831726074,3.0555875301361084,1.4031010866165161,1.4031010866165161,4.683361530303955,utilities,4.683361530303955
lerobot\tests\policies\groot\test_groot_train_random_crop.py,15.079442977905273,9.041887283325195,71.02845001220703,38.34336853027344,11.955157279968262,policies,71.02845001220703
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,32.50418472290039,43.69026184082031,86.1734619140625,81.99983978271484,17.936193466186523,policies,86.1734619140625
lerobot\examples\omx\record_grab.py,12.96733283996582,49.01881790161133,6.08835506439209,73.83025360107422,13.350519180297852,robot_devices,73.83025360107422
lerobot\src\lerobot\configs\policies.py,82.08631134033203,22.25490951538086,94.19316864013672,93.34762573242188,21.872631072998047,policies,94.19316864013672
lerobot\tests\policies\vla_jepa\test_action_head.py,22.342391967773438,5.1735124588012695,70.07046508789062,25.03819465637207,11.86635684967041,policies,70.07046508789062
lerobot\tests\processor\test_migration_detection.py,97.11859130859375,21.943634033203125,33.6667594909668,9.055075645446777,13.17836856842041,configs,97.11859130859375
lerobot\tests\fixtures\dataset_factories.py,12.346957206726074,110.76786041259766,7.785925388336182,83.72855377197266,18.41625213623047,datasets,110.76786041259766
lerobot\tests\policies\test_gaussian_actor_policy.py,32.095191955566406,75.71102142333984,71.55819702148438,17.89567756652832,16.636438369750977,datasets,75.71102142333984
lerobot\tests\fixtures\files.py,8.197267532348633,97.69419860839844,4.90080451965332,3.33600115776062,14.420931816101074,datasets,97.69419860839844
lerobot\tests\policies\pi0_pi05\test_pi0.py,26.815439224243164,36.397132873535156,94.17335510253906,32.686424255371094,9.900725364685059,policies,94.17335510253906
lerobot\src\lerobot\async_inference\__init__.py,0.2077755630016327,0.2077755630016327,0.0,8.959968566894531,2.889347553253174,robot_devices,8.959968566894531
lerobot\tests\policies\vla_jepa\conftest.py,24.04470443725586,12.822772026062012,85.31072998046875,33.063934326171875,9.17599105834961,policies,85.31072998046875
lerobot\examples\port_datasets\display_error_files.py,11.366436004638672,70.76880645751953,3.794984817504883,5.0463762283325195,18.24639892578125,datasets,70.76880645751953
lerobot\tests\datasets\test_quantiles_dataset_integration.py,3.621462106704712,94.34178924560547,2.7638609409332275,22.13736343383789,13.475296974182129,datasets,94.34178924560547
lerobot\tests\policies\test_relative_actions.py,4.820455551147461,83.8127212524414,74.7497787475586,7.837618350982666,12.533748626708984,datasets,83.8127212524414
lerobot\tests\policies\pi0_pi05\test_pi0_compile.py,19.286806106567383,3.9804725646972656,83.7697982788086,34.40913009643555,16.746387481689453,policies,83.7697982788086
lerobot\tests\utils\test_hub.py,23.875816345214844,9.49435806274414,8.376545906066895,10.710782051086426,14.351280212402344,configs,23.875816345214844
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,25.24617576599121,38.50653839111328,92.4608154296875,44.76371765136719,9.807634353637695,policies,92.4608154296875
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,17.136947631835938,14.711585998535156,8.700292587280273,26.62288475036621,11.074325561523438,robot_devices,26.62288475036621
lerobot\tests\mocks\mock_feetech.py,1.8601301908493042,10.178951263427734,5.406900882720947,1.1737048625946045,4.809779644012451,datasets,10.178951263427734
lerobot\src\lerobot\annotations\steerable_pipeline\validator.py,6.541857719421387,38.214115142822266,5.754710674285889,11.776803970336914,12.124317169189453,datasets,38.214115142822266
lerobot\tests\processor\test_batch_processor.py,21.647918701171875,12.373407363891602,11.985681533813477,81.52891540527344,9.433815956115723,robot_devices,81.52891540527344
lerobot\src\lerobot\cameras\zmq\camera_zmq.py,26.76885223388672,16.49983024597168,10.05903434753418,12.126761436462402,15.332436561584473,configs,26.76885223388672
lerobot\tests\mocks\mock_dynamixel.py,2.5274925231933594,10.593741416931152,13.974231719970703,1.4173415899276733,6.5284318923950195,policies,13.974231719970703
lerobot\examples\dataset\create_progress_videos.py,19.749204635620117,55.696380615234375,10.482671737670898,16.94757652282715,26.373645782470703,datasets,55.696380615234375
lerobot\tests\datasets\test_dataset_metadata.py,22.44021224975586,101.12842559814453,6.413845062255859,81.37415313720703,20.50174331665039,datasets,101.12842559814453
lerobot\tests\processor\test_policy_robot_bridge.py,23.263851165771484,6.715725898742676,26.22124481201172,62.137290954589844,2.284320116043091,robot_devices,62.137290954589844
lerobot\tests\processor\test_rename_processor.py,26.96902847290039,14.860268592834473,18.461990356445312,56.51518630981445,9.09462833404541,robot_devices,56.51518630981445
lerobot\examples\lekiwi\record.py,19.36346435546875,39.1295280456543,1.2120000123977661,63.8633918762207,11.375185012817383,robot_devices,63.8633918762207
