file_path,app,backends,bin,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\backends.py,5.00,90.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,backends,90.00
app\events.py,95.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,app,95.00
app\routes.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,app,95.00
app\defaults.py,92.00,0.00,0.00,1.00,0.00,2.00,3.00,1.00,1.00,0.00,app,92.00
app\registry.py,95.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,app,95.00
app\annotations.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,app,95.00
app\builtins.py,90.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,5.00,0.00,app,90.00
app\control.py,5.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,90.00,worker,90.00
app\log.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,app,95.00
app\autoretry.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\base.py,98.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,app,98.00
app\amqp.py,85.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,10.00,0.00,app,85.00
app\task.py,85.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,10.00,app,85.00
app\utils.py,15.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,80.00,0.00,utils,80.00
app\trace.py,25.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,65.00,worker,65.00
app\__init__.py,95.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,2.00,0.00,app,95.00
apps\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
apps\beat.py,5.00,0.00,95.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,bin,95.00
apps\multi.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,5.00,10.00,bin,95.00
apps\worker.py,5.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,5.00,10.00,bin,85.00
backends\database\models.py,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,backends,99.00
backends\database\__init__.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\database\session.py,0.00,95.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,0.00,backends,95.00
backends\azureblockblob.py,0.00,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\arangodb.py,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\consul.py,0.00,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\couchbase.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backends\dynamodb.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\cosmosdbsql.py,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\cache.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\couchdb.py,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\asynchronous.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,backends,95.00
backends\cassandra.py,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\elasticsearch.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\base.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\gcs.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\filesystem.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\__init__.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\rpc.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\mongodb.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backends\redis.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\s3.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
bin\list.py,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,bin,99.00
bin\call.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\purge.py,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,bin,99.00
bin\migrate.py,0.00,0.00,95.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\multi.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\celery.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\control.py,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,bin,99.00
bin\events.py,5.00,0.00,95.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\base.py,0.00,0.00,95.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,bin,95.00
bin\amqp.py,0.00,0.00,99.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,99.00
bin\beat.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\graph.py,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,bin,99.00
bin\result.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\shell.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\logtool.py,2.00,0.00,98.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,bin,98.00
bin\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
bin\upgrade.py,0.00,0.00,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,bin,99.00
bin\worker.py,0.00,0.00,99.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,bin,99.00
concurrency\base.py,5.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,95.00,worker,95.00
concurrency\thread.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,90.00,worker,90.00
concurrency\solo.py,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,87.00,worker,87.00
