file_path,cli,client,prompts,server,tools,utilities,best_module,best_likelihood
fastmcp_slim\fastmcp\cli\__init__.py,100.00,0.00,0.00,0.00,0.00,0.00,cli,100.00
fastmcp_slim\fastmcp\cli\cli.py,99.00,1.00,0.00,1.00,0.00,1.00,cli,99.00
fastmcp_slim\fastmcp\client\logging.py,0.00,90.00,0.00,5.00,0.00,5.00,client,90.00
fastmcp_slim\fastmcp\client\roots.py,0.00,98.00,0.00,2.00,0.00,0.00,client,98.00
fastmcp_slim\fastmcp\client\client.py,0.00,100.00,0.00,0.00,0.00,0.00,client,100.00
fastmcp_slim\fastmcp\client\__init__.py,15.00,0.00,0.00,5.00,0.00,80.00,utilities,80.00
fastmcp_slim\fastmcp\prompts\__init__.py,0.00,0.00,95.00,3.00,0.00,2.00,prompts,95.00
fastmcp_slim\fastmcp\resources\__init__.py,0.00,0.00,0.00,5.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\resources\types.py,0.00,0.00,0.00,95.00,0.00,5.00,server,95.00
fastmcp_slim\fastmcp\resources\template.py,0.00,2.00,0.00,95.00,0.00,3.00,server,95.00
fastmcp_slim\fastmcp\server\__init__.py,2.00,1.00,1.00,3.00,1.00,92.00,utilities,92.00
fastmcp_slim\fastmcp\server\context.py,0.00,0.00,0.00,95.00,0.00,5.00,server,95.00
fastmcp_slim\fastmcp\server\http.py,0.00,0.00,0.00,98.00,0.00,2.00,server,98.00
fastmcp_slim\fastmcp\server\server.py,0.00,0.00,5.00,95.00,5.00,0.00,server,95.00
fastmcp_slim\fastmcp\server\dependencies.py,0.00,0.00,0.00,90.00,5.00,5.00,server,90.00
fastmcp_slim\fastmcp\tools\__init__.py,0.00,0.00,0.00,5.00,90.00,5.00,tools,90.00
fastmcp_slim\fastmcp\utilities\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\utilities\logging.py,0.00,0.00,0.00,5.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\types.py,0.00,0.00,0.00,2.00,3.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\json_schema.py,0.00,0.00,0.00,5.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\tests.py,50.00,45.00,0.00,4.00,0.00,1.00,cli,50.00
