file_path,datasets,environments,policies,robot_devices,configs,best_module,best_likelihood
src\lerobot\async_inference\constants.py,0.00,85.00,10.00,0.00,5.00,environments,85.00
src\lerobot\configs\eval.py,0.00,10.00,15.00,0.00,75.00,configs,75.00
src\lerobot\configs\default.py,15.00,0.00,0.00,0.00,100.00,configs,100.00
src\lerobot\configs\train.py,5.00,3.00,5.00,0.00,98.00,configs,98.00
src\lerobot\configs\parser.py,0.00,2.00,3.00,0.00,95.00,configs,95.00
src\lerobot\configs\policies.py,1.00,1.00,90.00,1.00,7.00,policies,90.00
src\lerobot\configs\types.py,5.00,10.00,75.00,0.00,10.00,policies,75.00
src\lerobot\datasets\utils.py,95.00,2.00,2.00,1.00,0.00,datasets,95.00
src\lerobot\datasets\compute_stats.py,98.00,1.00,1.00,0.00,0.00,datasets,98.00
src\lerobot\datasets\video_utils.py,95.00,1.00,1.00,2.00,1.00,datasets,95.00
src\lerobot\datasets\lerobot_dataset.py,100.00,0.00,0.00,0.00,0.00,datasets,100.00
src\lerobot\datasets\sampler.py,98.00,1.00,1.00,0.00,0.00,datasets,98.00
src\lerobot\datasets\factory.py,95.00,0.00,2.00,0.00,3.00,datasets,95.00
src\lerobot\datasets\image_writer.py,95.00,2.00,1.00,2.00,0.00,datasets,95.00
src\lerobot\envs\__init__.py,0.00,95.00,3.00,0.00,2.00,environments,95.00
src\lerobot\envs\utils.py,0.00,98.00,1.00,0.00,1.00,environments,98.00
src\lerobot\envs\configs.py,0.00,98.00,0.00,2.00,10.00,environments,98.00
src\lerobot\envs\factory.py,0.00,95.00,0.00,0.00,5.00,environments,95.00
src\lerobot\policies\act\modeling_act.py,0.00,0.00,99.00,0.00,1.00,policies,99.00
src\lerobot\policies\act\configuration_act.py,0.00,0.00,95.00,0.00,5.00,policies,95.00
src\lerobot\policies\diffusion\modeling_diffusion.py,0.00,0.00,99.00,0.00,1.00,policies,99.00
src\lerobot\policies\diffusion\configuration_diffusion.py,0.00,0.00,80.00,0.00,20.00,policies,80.00
src\lerobot\policies\pi0\modeling_pi0.py,0.00,0.00,98.00,0.00,2.00,policies,98.00
src\lerobot\policies\pi0\configuration_pi0.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\policies\tdmpc\configuration_tdmpc.py,0.00,0.00,30.00,0.00,70.00,configs,70.00
src\lerobot\policies\tdmpc\modeling_tdmpc.py,0.00,0.00,99.00,0.00,1.00,policies,99.00
src\lerobot\policies\vqbet\modeling_vqbet.py,0.00,0.00,100.00,0.00,0.00,policies,100.00
src\lerobot\policies\vqbet\vqbet_utils.py,0.00,0.00,99.00,0.00,1.00,policies,99.00
src\lerobot\policies\vqbet\configuration_vqbet.py,0.00,0.00,90.00,0.00,10.00,policies,90.00
src\lerobot\policies\pretrained.py,2.00,0.00,98.00,0.00,3.00,policies,98.00
src\lerobot\policies\utils.py,10.00,0.00,90.00,0.00,5.00,policies,90.00
src\lerobot\policies\__init__.py,0.00,0.00,95.00,0.00,5.00,policies,95.00
src\lerobot\policies\factory.py,5.00,10.00,95.00,0.00,25.00,policies,95.00
src\lerobot\utils\io_utils.py,85.00,5.00,3.00,2.00,5.00,datasets,85.00
src\lerobot\utils\logging_utils.py,5.00,15.00,75.00,1.00,1.00,policies,75.00
src\lerobot\utils\constants.py,90.00,5.00,2.00,2.00,1.00,datasets,90.00
src\lerobot\utils\utils.py,5.00,10.00,5.00,5.00,75.00,configs,75.00
src\lerobot\utils\import_utils.py,5.00,10.00,10.00,15.00,80.00,configs,80.00
src\lerobot\utils\random_utils.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\utils\hub.py,10.00,0.00,95.00,0.00,5.00,policies,95.00
